BASIN_CODE,COUNT,CAPACITY,SB_CODE,COUNT,CAPACITY,MB_CODE,COUNT,CAPACITY
,,,,,,851,544,0.0038624
,,,,,,852,164,0.0011644
,,,,,,853,19,0.0001349
,,,,,,854,85,0.0006035
,,,,,,855,25,0.0001775
,,,,,,856,106,0.0007526
,,,,,,857,296,0.0021016
,,,,,,858,30,0.000213
,,,,,,859,173,0.0012283
,,,,,,860,631,0.0044801
,,,,,,861,606,0.0043026
,,,,,,862,954,0.0067734
,,,,,,901,757,0.0053747
,,,,,,902,717,0.0050907
,,,,,,903,161,0.0011431
,,,,,,904,112,0.0007952
,,,,,,905,209,0.0014839
,,,,,,906,404,0.0028684
,,,,,,907,517,0.0036707
,,,,,,908,123,0.0008733
,,,,,,909,120,0.000852
,,,,,,910,1219,0.0086549
,,,,,,911,405,0.0028755
,,,,,,912,444,0.0031524
,,,,,,913,273,0.0019383
,,,,,,914,807,0.0057297
,,,,,,915,318,0.0022578
,,,,,,916,39,0.0002769
,,,,,,917,123,0.0008733
,,,,,,918,90,0.000639
,,,,,,919,143,0.0010153
,,,,,,920,774,0.0054954
,,,,,,921,61,0.0004331
,,,,,,922,272,0.0019312
,,,,,,923,576,0.0040896
,,,,,,924,62,0.0004402
,,,,,,925,318,0.0022578
,,,,,,926,111,0.0007881
,,,,,,927,24,0.0001704
,,,,,,928,172,0.0012212
,,,,,,929,390,0.002769
,,,,,,930,474,0.0033654
,,,,,,931,234,0.0016614
,,,,,,932,2,0.0000142
,,,,,,933,6,0.0000426
,,,,,,934,19,0.0001349
,,,,,,935,69,0.0004899
,,,,,,936,156,0.0011076
,,,,,,937,183,0.0012993
,,,,,,938,76,0.0005396
,,,,,,939,5,0.0000355
,,,,,,940,2,0.0000142
,,,,,,941,3,0.0000213
,,,,,,943,29,0.0002059
,,,,,,944,18,0.0001278
,,,,,,945,270,0.001917
,,,,,,1002,72,0.0005112
,,,,,,1003,62,0.0004402
,,,,,,1004,659,0.0046789
,,,,,,1005,209,0.0014839
,,,,,,1006,117,0.0008307
,,,,,,1007,16,0.0001136
,,,,,,1008,366,0.0025986
,,,,,,1009,598,0.0042458
,,,,,,1010,17,0.0001207
,,,,,,1011,78,0.0005538
,,,,,,1012,35,0.0002485
,,,,,,1013,307,0.0021797
,,,,,,1014,444,0.0031524
,,,,,,1015,178,0.0012638
,,,,,,1016,104,0.0007384
,,,,,,1017,36,0.0002556
,,,,,,1018,2,0.0000142
,,,,,,1019,6,0.0000426
,,,,,,1020,97,0.0006887
,,,,,,1021,60,0.000426
,,,,,,1022,43,0.0003053
,,,,,,1023,143,0.0010153
,,,,,,1024,22,0.0001562
,,,,,,1025,299,0.0021229
,,,,,,1026,578,0.0041038
,,,,,,1027,110,0.000781
,,,,,,1028,31,0.0002201
,,,,,,1029,398,0.0028258
,,,,,,1030,13,0.0000923
,,,,,,1031,244,0.0017324
,,,,,,1032,155,0.0011005
,,,,,,1033,137,0.0009727
,,,,,,1034,458,0.0032518
,,,,,,1035,123,0.0008733
,,,,,,1036,14,0.0000994
,,,,,,1037,483,0.0034293
,,,,,,1038,297,0.0021087
,,,,,,1039,398,0.0028258
,,,,,,1040,152,0.0010792
,,,,,,1041,367,0.0026057
,,,,,,1042,317,0.0022507
,,,,,,1043,282,0.0020022
,,,,,,1044,649,0.0046079
,,,,,,1045,551,0.0039121
,,,,,,1046,678,0.0048138
,,,,,,1047,1326,0.0094146
,,,,,,1048,1482,0.0105222
,,,,,,1049,905,0.0064255
,,,,,,1050,797,0.0056587
,,,,,,1051,197,0.0013987
,,,,,,1052,1607,0.0114097
,,,,,,1053,473,0.0033583
,,,,,,1054,410,0.002911
,,,,,,1055,753,0.0053463
,,,,,,1056,988,0.0070148
,,,,,,1057,627,0.0044517
,,,,,,1058,452,0.0032092
,,,,,,1059,819,0.0058149
,,,,,,1060,992,0.0070432
,,,,,,1061,245,0.0017395
