BASIN_CODE,COUNT,CAPACITY,SB_CODE,COUNT,CAPACITY,MB_CODE,COUNT,CAPACITY
,,,,,,862,29,0.0102399
,,,,,,901,65,0.0229515
,,,,,,902,56,0.0197736
,,,,,,903,31,0.0109461
,,,,,,904,9,0.0031779
,,,,,,905,29,0.0102399
,,,,,,906,44,0.0155364
,,,,,,907,40,0.014124
,,,,,,908,8,0.0028248
,,,,,,909,4,0.0014124
,,,,,,910,35,0.0123585
,,,,,,911,87,0.0307197
,,,,,,912,39,0.0137709
,,,,,,913,7,0.0024717
,,,,,,914,33,0.0116523
,,,,,,915,4,0.0014124
,,,,,,916,2,0.0007062
,,,,,,917,1,0.0003531
,,,,,,918,2,0.0007062
,,,,,,919,6,0.0021186
,,,,,,920,14,0.0049434
,,,,,,922,8,0.0028248
,,,,,,923,38,0.0134178
,,,,,,924,1,0.0003531
,,,,,,925,21,0.0074151
,,,,,,926,2,0.0007062
,,,,,,928,16,0.0056496
,,,,,,929,7,0.0024717
,,,,,,930,33,0.0116523
,,,,,,931,8,0.0028248
,,,,,,936,8,0.0028248
,,,,,,937,8,0.0028248
,,,,,,938,1,0.0003531
,,,,,,945,1,0.0003531
,,,,,,1001,8,0.0028248
,,,,,,1002,16,0.0056496
,,,,,,1003,11,0.0038841
,,,,,,1004,69,0.0243639
,,,,,,1005,10,0.003531
,,,,,,1006,15,0.0052965
,,,,,,1007,29,0.0102399
,,,,,,1008,61,0.0215391
,,,,,,1009,105,0.0370755
,,,,,,1010,14,0.0049434
,,,,,,1011,51,0.0180081
,,,,,,1012,30,0.010593
,,,,,,1013,85,0.0300135
,,,,,,1014,73,0.0257763
,,,,,,1015,71,0.0250701
,,,,,,1016,40,0.014124
,,,,,,1017,53,0.0187143
,,,,,,1018,2,0.0007062
,,,,,,1019,34,0.0120054
,,,,,,1020,90,0.031779
,,,,,,1021,70,0.024717
,,,,,,1022,72,0.0254232
,,,,,,1023,33,0.0116523
,,,,,,1024,14,0.0049434
,,,,,,1025,62,0.0218922
,,,,,,1026,179,0.0632049
,,,,,,1027,45,0.0158895
,,,,,,1029,56,0.0197736
,,,,,,1030,10,0.003531
,,,,,,1031,9,0.0031779
,,,,,,1032,16,0.0056496
,,,,,,1033,16,0.0056496
,,,,,,1034,96,0.0338976
,,,,,,1035,25,0.0088275
,,,,,,1036,4,0.0014124
,,,,,,1037,88,0.0310728
,,,,,,1038,21,0.0074151
,,,,,,1039,41,0.0144771
,,,,,,1040,2,0.0007062
,,,,,,1041,9,0.0031779
,,,,,,1042,4,0.0014124
,,,,,,1043,27,0.0095337
,,,,,,1044,36,0.0127116
,,,,,,1045,54,0.0190674
,,,,,,1046,46,0.0162426
,,,,,,1047,46,0.0162426
,,,,,,1048,68,0.0240108
,,,,,,1049,29,0.0102399
,,,,,,1050,16,0.0056496
,,,,,,1051,19,0.0067089
,,,,,,1052,190,0.067089
