BASIN_CODE,COUNT,CAPACITY,SB_CODE,COUNT,CAPACITY,MB_CODE,COUNT,CAPACITY
,,,,,,1279,20,0.00706
,,,,,,1280,9,0.003177
,,,,,,1281,12,0.004236
,,,,,,1282,13,0.004589
,,,,,,1283,17,0.006001
,,,,,,1284,17,0.006001
,,,,,,1285,6,0.002118
,,,,,,1287,19,0.006707
,,,,,,1288,11,0.003883
,,,,,,1289,19,0.006707
,,,,,,1290,25,0.008825
,,,,,,1291,28,0.009884
,,,,,,1292,22,0.007766
,,,,,,1293,9,0.003177
,,,,,,1294,5,0.001765
,,,,,,1295,20,0.00706
,,,,,,1296,8,0.002824
,,,,,,1297,14,0.004942
,,,,,,1298,1,0.000353
,,,,,,1299,22,0.007766
,,,,,,1301,1,0.000353
,,,,,,1303,3,0.001059
,,,,,,1305,3,0.001059
,,,,,,1306,4,0.001412
,,,,,,1307,4,0.001412
,,,,,,1308,13,0.004589
,,,,,,1309,6,0.002118
,,,,,,1310,5,0.001765
,,,,,,1313,3,0.001059
,,,,,,1316,4,0.001412
,,,,,,1317,12,0.004236
,,,,,,1320,2,0.000706
,,,,,,1321,5,0.001765
,,,,,,1323,2,0.000706
,,,,,,1325,2,0.000706
,,,,,,1326,1,0.000353
,,,,,,1327,8,0.002824
,,,,,,1328,7,0.002471
,,,,,,1329,4,0.001412
,,,,,,1330,4,0.001412
,,,,,,1331,2,0.000706
,,,,,,1332,3,0.001059
,,,,,,1333,6,0.002118
,,,,,,1334,1,0.000353
,,,,,,1335,1,0.000353
,,,,,,1336,4,0.001412
,,,,,,1338,5,0.001765
,,,,,,1339,1,0.000353
,,,,,,1340,9,0.003177
,,,,,,1342,2,0.000706
,,,,,,1343,1,0.000353
,,,,,,1344,2,0.000706
,,,,,,1345,4,0.001412
,,,,,,1347,5,0.001765
,,,,,,1348,10,0.00353
,,,,,,1349,3,0.001059
,,,,,,1350,3,0.001059
,,,,,,1351,3,0.001059
,,,,,,1352,8,0.002824
,,,,,,1353,1,0.000353
,,,,,,1354,10,0.00353
,,,,,,1355,16,0.005648
,,,,,,1356,5,0.001765
,,,,,,1357,4,0.001412
,,,,,,1358,8,0.002824
,,,,,,1359,9,0.003177
,,,,,,1360,28,0.009884
,,,,,,1361,11,0.003883
,,,,,,1365,2,0.000706
,,,,,,1366,11,0.003883
,,,,,,1367,10,0.00353
,,,,,,1370,15,0.005295
,,,,,,1371,11,0.003883
,,,,,,1373,32,0.011296
,,,,,,1374,6,0.002118
,,,,,,1375,3,0.001059
,,,,,,1377,5,0.001765
,,,,,,1378,11,0.003883
,,,,,,1379,1,0.000353
,,,,,,(blank),,
,,,,,,Grand Total,9179,3.240187
