Konakondla; 1216904001010100;01.02.2016;9609;5000;13;65;
J. Rampuram;1216904016011800;01.02.2016;696;5000;6;30;
;;;10305;;19;95;
Antharaganga;1216903007020700;01.04.2016;927;5000;5;25;
;;;927;;5;25;
R.Kottala;1216903007020700;21.04.2016;884;5000;4;20;
;;;884;;4;20;
Eswarapalli;-;14.04.2016;480;5000;3;15;
Nelagonda;-;04/09/2015;2028;5000;8;40;
N. Venkatampalli;-;16.11.2015;385;5000;4;20;
Pulugutta palli;-;06.02.2016;1083;5000;10;50;
Gundala;-;23,02,2016;440;5000;4;20;
DONIMUKKALA;-;08.03.2016;468;5000;4;20;
Nakkanadoddi;-;18.03.2016;672;5000;4;20;
Kadiripalli;-;25/03/2016;839;5000;5;25;
Imampuram;-;01/04/2016;1017;5000;5;25;
Pulugutta palli;-;02/04/2016;276;5000;3;15;
Gurrabbadu;-;15/04/2016;1379;5000;5;25;
;;;9067;;55;275;
Molakalapenta;;27/04/2016;2400;08/09/1913;6;30;
;;;2400;;6;30;
;;;;;394;;
Malagundlapalli;1217337010041600 ;08.04.2016;614;5000;4;20;
Nagireddy Kunta Kottala Road Side & Ravula Cheruvu Thanda; 1217337004080600;28.04.2016;352;5000;3;15;
Darsimala;1217337010011500 ;01.05.2016;1324;5000;8;40;
;;;2290;;15;75;
Yerraipalli;1217331001030200;04.05.2016;1330;5000;5;25;
Ragavampalli;1217331003010100;01.04.2016;979;5000;3;15;
Jawalapuram;1217331007040700;01.04.2016;640;5000;5;25;
Kodekandla;1217331008040800;03.04.2016;730;5000;5;25;
D.Cherlopalli;1217331011011100;03.04.2016;1558;5000;8;40;
B.C Colony  H/o Mudhanapalli;1217331011041200;03.04.2016;1003;5000;3;15;
Ramanujampalli;1217331010021000;03.04.2016;140;5000;1;5;
Lingareddypalli;1217331001020200;01.04.2016;1021;5000;5;25;
 Nallaboyanapalli New S.C Colony; 1217331011031200;06.05.2016;567;5000;2;10;
;;;7968;;37;185;
AB Palli and AB Palli H.W;1216138014041200;01.03.2015;1368;5000;7;35;
Guddam palli thanda;1216138015031300;01.03.2015;988;5000;7;35;
First Ward  ( back side petrol bunk) Mudigubba ;1216138015041400;28.03.2016;580;5000;7;35;
SC Colony and NayiBhrmanacolony;1216138015041400;27.03.2016;450;5000;6;30;
Railway Gate Kottala and Vaddivari Quarters ;1216138015041400;27.03.2016;540;5000;6;30;
Dorigalliu Road;1216138015041400;05/04/2016;613;5000;4;20;
Nallyakunta palli;1216138011040900;05/04/2016;980;5000;6;30;
Sankepalli & Sankepalli  cross, Kammavaripalli ;1216138012011100;18/04/2016;1953;5000;18;90;
Ralla Anantapuram cross & Jk palli cross; 1216138011021000;01.05.2016;352;5000;3;15;
Damidi street & 2 nd Ward in Mudigubba Town;1216138015041400;05/04/2016;549;5000;6;30;
Chelimibavi street & 8th ward & 9th ward in Mudigubba Town;1216138015041400;05/06/2016;1216;5000;9;45;
Meachnic Kishore House Back side @ 13 th Ward in Mudigubba Town;1216138015041400;05/06/2016;385;5000;4;20;
;;;9974;;83;415;
Marrimakulapalli;1217330012021400;04.03.2016;1815;5000;8;40;
Ekapadampalli;1217330001050200;04.03.2016;980;5000;5;25;
Guddampalli ; 1217330006030800;14.04.2016;600;5000;5;25;
;;;3395;;18;90;
Pulakunta (Ayyappa Nagar);1216819008021100;02.04.2016;2693;5000;3;15;
;;;2693;;3;15;
D.Hirehal;1216801004010300;25.03.2016;8996;5000;12;60;
Obulapuram;1216801003010200;30.03.2016;3541;5000;10;50;
;;;12537;;22;110;
Hanumantanahalli;1216563003020300;11.3.2016;681;5000;1;5;
Ujjainipuram;1216563005060400;17.3.2016;161;5000;1;5;
;;;842;;2;10;
Kanchisamudram;1216456009011100;01.04.2016;2248;5000;5;25;
pulamathi;;07.04.2016;400;5000;3;15;
;;;2648;;8;40;
Agali;1216562008010700;11.04.2016;4007;5000;2;10;
Kondapuram;12171226014021700;23.08.2014;731;5000;6;30;
Dayyalakuntapalli; 1217126012031400;14.10.2014;604;5000;3;15;
Danduvaripalli;1217126013011600 ;01.04.2014;1061;5000;5;25;
Papinepalyam;1217113016041800;30.12.2014;427;5000;4;20;
Durgam; 1217127009011300;12.10.2014;739;5000;6;30;
Gunjepalli;1217127012041700;01.03.2015;448;5000;3;45;
C.Bandameedapalli; 1217111018021500;01.04.2014;1290;5000;5;75;
Nagulaguddam thanda;1217111001030200;12.03.2015;437;5000;4;20;
