,,,,GURAZALA,388,0.002716,,Amidala,18,0.000126,,,,,,,,,,639,39,0.000273
,,,,GURLA,1313,0.009191,,Amidalagondi,32,0.000224,,,,,,,,,,640,25,0.000175
,,,,GURRAMKONDA,167,0.001169,,Aminabada,3,0.000021,,,,,,,,,,641,27,0.000189
,,,,HALAHARVI,219,0.001533,,Amity,1,0.000007,,,,,,,,,,642,14,0.000098
,,,,HANUMANTHUNIPADU,294,0.002058,,Ammacheruvu,2,0.000014,,,,,,,,,,643,3,0.000021
,,,,HINDUPUR,230,0.00161,,Ammagaripalle,1,0.000007,,,,,,,,,,644,45,0.000315
,,,,HIRAMANDALAM,157,0.001099,,Ammana Brolu,1,0.000007,,,,,,,,,,645,25,0.000175
,,,,HOLAGUNDA,158,0.001106,,Ammani Gudi Padu,57,0.000399,,,,,,,,,,646,4,0.000028
,,,,I. POLAVARAM,20,0.00014,,Ammapalem,28,0.000196,,,,,,,,,,649,33,0.000231
,,,,IBRAHIMPATNAM,227,0.001589,,Ammapeta,6,0.000042,,,,,,,,,,650,32,0.000224
,,,,ICHCHAPURAM,30,0.00021,,Ammavari Palem,5,0.000035,,,,,,,,,,651,40,0.00028
,,,,INKOLLU,88,0.000616,,Ammavaripatteda,3,0.000021,,,,,,,,,,652,30,0.00021
,,,,IPUR,168,0.001176,,Ammavaripeta,23,0.000161,,,,,,,,,,653,24,0.000168
,,,,IRALA,232,0.001624,,Ampavilli,1,0.000007,,,,,,,,,,654,18,0.000126
,,,,JAGGAMPETA,479,0.003353,,Ampuram,2,0.000014,,,,,,,,,,655,175,0.001225
,,,,JAGGAYYAPETA,661,0.004627,,Amrutapuram,31,0.000217,,,,,,,,,,656,154,0.001078
,,,,JALADANKI,220,0.00154,,Amruthalur,69,0.000483,,,,,,,,,,657,11,0.000077
,,,,JALUMURU,147,0.001029,,Amruthapuram,1,0.000007,,,,,,,,,,701,262,0.001834
,,,,JAMI,530,0.00371,,Amudala,2,0.000014,,,,,,,,,,702,101,0.000707
,,,,JAMMALAMADUGU,168,0.001176,,Amudalapalli,15,0.000105,,,,,,,,,,703,206,0.001442
,,,,JANAKAVARAMPANGULURU,473,0.003311,,Amudalaputhur,29,0.000203,,,,,,,,,,704,471,0.003297
,,,,JANGAREDDIGUDEM,728,0.005096,,Anagallu,12,0.000084,,,,,,,,,,705,109,0.000763
,,,,JEELUGU MILLI,517,0.003619,,Anagarlapalle,4,0.000028,,,,,,,,,,706,352,0.002464
,,,,JIYYAMMAVALASA,1,0.000007,,ANAKAPALLI (M),356,0.002492,,,,,,,,,,707,134,0.000938
,,,,JUPADU BUNGALOW,26,0.000182,,ANAKAPALLI NARTH (M),1,0.000007,,,,,,,,,,708,203,0.001421
,,,,K KOTAPADU,485,0.003395,,ANAKAPALLI SOUTH (M),10,0.00007,,,,,,,,,,709,474,0.003318
,,,,K.V.B.PURAM,639,0.004473,,Anakarlapudi,13,0.000091,,,,,,,,,,711,136,0.000952
,,,,KADAPA,13,0.000091,,Anamanamur,24,0.000168,,,,,,,,,,712,555,0.003885
,,,,KADIAM,1,0.000007,,Anandapuram,81,0.000567,,,,,,,,,,713,283,0.001981
,,,,KADIRI,585,0.004095,,Anandaraopeta,22,0.000154,,,,,,,,,,714,218,0.001526
,,,,KAJULURU,5,0.000035,,Anantaiahgaripalle,24,0.000168,,,,,,,,,,715,270,0.00189
,,,,KAKINADA (FULLY URBAN),26,0.000182,,Anantapur (M),132,0.000924,,,,,,,,,,716,222,0.001554
,,,,KAKINADA (RURAL),50,0.00035,,Anantapur (Rural),92,0.000644,,,,,,,,,,717,100,0.0007
,,,,KAKUMANU,126,0.000882,,Anantapuram,5,0.000035,,,,,,,,,,718,309,0.002163
,,,,KALAKADA,56,0.000392,,ANANTHA PADMANABHAPURAM,8,0.000056,,,,,,,,,,719,275,0.001925
,,,,KALASAPADU,118,0.000826,,Anantha Sagaram,1,0.000007,,,,,,,,,,721,514,0.003598
,,,,KALIGIRI,403,0.002821,,Ananthagiri,17,0.000119,,,,,,,,,,722,310,0.00217
,,,,KALIKIRI,85,0.000595,,Ananthamadugu,7,0.000049,,,,,,,,,,723,473,0.003311
,,,,KALLUR,214,0.001498,,Ananthapadmanabha Puram,1,0.000007,,,,,,,,,,724,956,0.006692
,,,,KALUVOYA,442,0.003094,,Ananthapalle,225,0.001575,,,,,,,,,,725,240,0.00168
,,,,KALYANDURG,1265,0.008855,,Ananthapuram,103,0.000721,,,,,,,,,,726,130,0.00091
,,,,KAMALAPURAM,737,0.005159,,Anantharajupeta,120,0.00084,,,,,,,,,,727,811,0.005677
,,,,KAMAVARAPUKOTA,711,0.004977,,Anantharajupuram,19,0.000133,,,,,,,,,,729,51,0.000357
,,,,KAMBADUR,1094,0.007658,,Ananthasagaram,110,0.00077,,,,,,,,,,730,205,0.001435
,,,,KAMBHAMVARIPALLE,126,0.000882,,Ananthasamudram,9,0.000063,,,,,,,,,,731,17,0.000119
,,,,KANAGANAPALLE,1359,0.009513,,Ananthavaram,112,0.000784,,,,,,,,,,732,10,0.00007
,,,,KANCHIKACHERLA,174,0.001218,,Anaparthy,6,0.000042,,,,,,,,,,733,54,0.000378
,,,,KANCHILI,108,0.000756,,Anavaram,4,0.000028,,,,,,,,,,734,315,0.002205
,,,,KANDUKUR,290,0.00203,,Anchinayanikuppam,1,0.000007,,,,,,,,,,735,73,0.000511
,,,,KANEKAL,525,0.003675,,Andhavaram,40,0.00028,,,,,,,,,,736,71,0.000497
,,,,KANIGIRI,224,0.001568,,Andra,3,0.000021,,,,,,,,,,737,142,0.000994
,,,,KANKIPADU,39,0.000273,,Andugulapadu,15,0.000105,,,,,,,,,,738,287,0.002009
,,,,KARAMCHEDU,30,0.00021,,Andukuru,34,0.000238,,,,,,,,,,739,42,0.000294
,,,,KARAPA,36,0.000252,,Anegottam,1,0.000007,,,,,,,,,,740,12,0.000084
,,,,KAREMPUDI,294,0.002058,,Anemadugu,17,0.000119,,,,,,,,,,741,232,0.001624
,,,,KARLAPALEM,385,0.002695,,Angalakuduru,24,0.000168,,,,,,,,,,742,494,0.003458
