District,Count,Capacity,,Mandal,Count,Capacity,,Village,Count,Capacity,,Basin,Count,Capacity,,Mandal,Count,Capacity,,Sub basin,Count,Capacity
,,,,,,,,Chowdireddipalle,4,0.001412,,,,,,,,,,,,
,,,,,,,,Chowdur,1,0.000353,,,,,,,,,,,,
,,,,,,,,Chowlur,3,0.001059,,,,,,,,,,,,
,,,,,,,,Chowta Gogula Palle,2,0.000706,,,,,,,,,,,,
,,,,,,,,Chowtapa Charla,1,0.000353,,,,,,,,,,,,
,,,,,,,,Chowtapalle,2,0.000706,,,,,,,,,,,,
,,,,,,,,Chunchu Yerragudi,1,0.000353,,,,,,,,,,,,
,,,,,,,,Chundi,9,0.003177,,,,,,,,,,,,
,,,,,,,,Chuttagunta Ramapuram,1,0.000353,,,,,,,,,,,,
,,,,,,,,Chuttupalem,1,0.000353,,,,,,,,,,,,
,,,,,,,,D.B.R.Bylu,2,0.000706,,,,,,,,,,,,
,,,,,,,,D.Cherlopalle,7,0.002471,,,,,,,,,,,,
,,,,,,,,D.Hirehal,2,0.000706,,,,,,,,,,,,
,,,,,,,,D.Honnur,10,0.00353,,,,,,,,,,,,
,,,,,,,,Dabaru,1,0.000353,,,,,,,,,,,,
,,,,,,,,Daburuvaripalle,4,0.001412,,,,,,,,,,,,
,,,,,,,,Dadalur,3,0.001059,,,,,,,,,,,,
,,,,,,,,Dadanaguruvai Palle,1,0.000353,,,,,,,,,,,,
,,,,,,,,Daddawada,5,0.001765,,,,,,,,,,,,
,,,,,,,,Dadithota,1,0.000353,,,,,,,,,,,,
,,,,,,,,Dagadarthi,1,0.000353,,,,,,,,,,,,
,,,,,,,,Dagaravalasa,3,0.001059,,,,,,,,,,,,
,,,,,,,,Daggavolu,1,0.000353,,,,,,,,,,,,
,,,,,,,,Dainadu,2,0.000706,,,,,,,,,,,,
,,,,,,,,Dakkili,1,0.000353,,,,,,,,,,,,
,,,,,,,,Dakodu,1,0.000353,,,,,,,,,,,,
,,,,,,,,Damalcheruvu,8,0.002824,,,,,,,,,,,,
,,,,,,,,Damarapakam,6,0.002118,,,,,,,,,,,,
,,,,,,,,Damaraya Khandrika,1,0.000353,,,,,,,,,,,,
,,,,,,,,Damavaram,1,0.000353,,,,,,,,,,,,
,,,,,,,,Damodara Maharajapuram,4,0.001412,,,,,,,,,,,,
,,,,,,,,Dampetla,2,0.000706,,,,,,,,,,,,
,,,,,,,,Dancherla,3,0.001059,,,,,,,,,,,,
,,,,,,,,Dandapalle,2,0.000706,,,,,,,,,,,,
,,,,,,,,Dandavolu,1,0.000353,,,,,,,,,,,,
,,,,,,,,Dandavolu Upparapalle,2,0.000706,,,,,,,,,,,,
,,,,,,,,Dandikuppam,1,0.000353,,,,,,,,,,,,
,,,,,,,,Danduvaripalle,10,0.00353,,,,,,,,,,,,
,,,,,,,,Dappepalle,6,0.002118,,,,,,,,,,,,
,,,,,,,,Darsi,1,0.000353,,,,,,,,,,,,
,,,,,,,,Darsi Thimmakka Palle,5,0.001765,,,,,,,,,,,,
,,,,,,,,Darsiagraharam,2,0.000706,,,,,,,,,,,,
,,,,,,,,Darsigunta Peta,1,0.000353,,,,,,,,,,,,
,,,,,,,,Darsimala,3,0.001059,,,,,,,,,,,,
,,,,,,,,Dasegowniyur,1,0.000353,,,,,,,,,,,,
,,,,,,,,Dasugumada,1,0.000353,,,,,,,,,,,,
,,,,,,,,Davagudur,8,0.002824,,,,,,,,,,,,
,,,,,,,,Dekanakonda,2,0.000706,,,,,,,,,,,,
,,,,,,,,Demakethepalle,17,0.006001,,,,,,,,,,,,
,,,,,,,,Denepalle,1,0.000353,,,,,,,,,,,,
,,,,,,,,Denkada,2,0.000706,,,,,,,,,,,,
,,,,,,,,Devagudipalle,3,0.001059,,,,,,,,,,,,
,,,,,,,,Devaki Marri,1,0.000353,,,,,,,,,,,,
,,,,,,,,Devamachupalle,4,0.001412,,,,,,,,,,,,
,,,,,,,,Devammacheruvu,2,0.000706,,,,,,,,,,,,
,,,,,,,,Devanapuram,1,0.000353,,,,,,,,,,,,
,,,,,,,,Devanuppalapadu,1,0.000353,,,,,,,,,,,,
,,,,,,,,Devapatla,6,0.002118,,,,,,,,,,,,
,,,,,,,,Devara Palle,1,0.000353,,,,,,,,,,,,
,,,,,,,,Devarabanda,2,0.000706,,,,,,,,,,,,
,,,,,,,,Devaragudipalle,1,0.000353,,,,,,,,,,,,
,,,,,,,,Devarajugattu,2,0.000706,,,,,,,,,,,,
,,,,,,,,Devarakonda,5,0.001765,,,,,,,,,,,,
,,,,,,,,Devarapalle,1,0.000353,,,,,,,,,,,,
,,,,,,,,Devarapodilam,2,0.000706,,,,,,,,,,,,
,,,,,,,,Devaravemur,1,0.000353,,,,,,,,,,,,
,,,,,,,,Devathapuram,1,0.000353,,,,,,,,,,,,
,,,,,,,,Devubutchamma Peta,2,0.000706,,,,,,,,,,,,
,,,,,,,,Devulapalle,1,0.000353,,,,,,,,,,,,
,,,,,,,,Dhanukuvada,1,0.000353,,,,,,,,,,,,
,,,,,,,,Dharamavaram,16,0.005648,,,,,,,,,,,,
,,,,,,,,Dharmarao Cheruvupalle,6,0.002118,,,,,,,,,,,,
,,,,,,,,Dharmavaram,3,0.001059,,,,,,,,,,,,
,,,,,,,,Dharmavaram (M),1,0.000353,,,,,,,,,,,,
,,,,,,,,Dhone @ Dronachalam,2,0.000706,,,,,,,,,,,,
,,,,,,,,Dhulikuppa,1,0.000353,,,,,,,,,,,,
,,,,,,,,Diguvagottiveedu,4,0.001412,,,,,,,,,,,,
,,,,,,,,Diguvamandalapalle,1,0.000353,,,,,,,,,,,,
,,,,,,,,Diguvamasapalle,4,0.001412,,,,,,,,,,,,
,,,,,,,,Diguvapalem,1,0.000353,,,,,,,,,,,,
,,,,,,,,Diguvapalle,14,0.004942,,,,,,,,,,,,
,,,,,,,,Diguvuru,2,0.000706,,,,,,,,,,,,
,,,,,,,,Dimili,5,0.001765,,,,,,,,,,,,
,,,,,,,,Dimmagudi,1,0.000353,,,,,,,,,,,,
,,,,,,,,Dinnedevarapadu,1,0.000353,,,,,,,,,,,,
,,,,,,,,Dinnepadu,1,0.000353,,,,,,,,,,,,
,,,,,,,,Doddi Chintala,1,0.000353,,,,,,,,,,,,
,,,,,,,,Doddipalle,1,0.000353,,,,,,,,,,,,
,,,,,,,,Doddivaka,2,0.000706,,,,,,,,,,,,
,,,,,,,,Donelapalle,1,0.000353,,,,,,,,,,,,
,,,,,,,,Donimukkala,1,0.000353,,,,,,,,,,,,
,,,,,,,,Donkumanipalle,4,0.001412,,,,,,,,,,,,
,,,,,,,,Donnikota,15,0.005295,,,,,,,,,,,,
,,,,,,,,Doramamidi,1,0.000353,,,,,,,,,,,,
,,,,,,,,Dorigallu,3,0.001059,,,,,,,,,,,,
,,,,,,,,Dronadula,6,0.002118,,,,,,,,,,,,
,,,,,,,,Dubagunta,5,0.001765,,,,,,,,,,,,
,,,,,,,,Duddukur,1,0.000353,,,,,,,,,,,,
,,,,,,,,Dudekonda,6,0.002118,,,,,,,,,,,,
,,,,,,,,Dudyala,2,0.000706,,,,,,,,,,,,
,,,,,,,,Dullavaripalle,1,0.000353,,,,,,,,,,,,
,,,,,,,,Dunnavuru,2,0.000706,,,,,,,,,,,,
,,,,,,,,Dupadu,11,0.003883,,,,,,,,,,,,
,,,,,,,,Durgasamudram,2,0.000706,,,,,,,,,,,,
,,,,,,,,Durgiperi,2,0.000706,,,,,,,,,,,,
,,,,,,,,Duvvali,1,0.000353,,,,,,,,,,,,
,,,,,,,,Dyvala Ravuru,4,0.001412,,,,,,,,,,,,
,,,,,,,,East Gudur (Rural),2,0.000706,,,,,,,,,,,,
,,,,,,,,East Kodipalle,12,0.004236,,,,,,,,,,,,
,,,,,,,,East Polineni Palem,1,0.000353,,,,,,,,,,,,
,,,,,,,,Edamakallu,6,0.002118,,,,,,,,,,,,
,,,,,,,,Edara,3,0.001059,,,,,,,,,,,,
,,,,,,,,Edavalli,2,0.000706,,,,,,,,,,,,
,,,,,,,,Edduladoddi,2,0.000706,,,,,,,,,,,,
,,,,,,,,Eddulapalle,3,0.001059,,,,,,,,,,,,
,,,,,,,,Edigavaripalle,2,0.000706,,,,,,,,,,,,
,,,,,,,,Edubadu,3,0.001059,,,,,,,,,,,,
,,,,,,,,Edula Mustur,6,0.002118,,,,,,,,,,,,
,,,,,,,,Edupuram,1,0.000353,,,,,,,,,,,,
,,,,,,,,Edurudona,4,0.001412,,,,,,,,,,,,
,,,,,,,,Edurur,1,0.000353,,,,,,,,,,,,
,,,,,,,,Eduvaripalle,2,0.000706,,,,,,,,,,,,
,,,,,,,,Eguvagottiveedu,5,0.001765,,,,,,,,,,,,
,,,,,,,,Eguvanelatur,4,0.001412,,,,,,,,,,,,
,,,,,,,,Eguvaputturu,4,0.001412,,,,,,,,,,,,
,,,,,,,,Ekarlapalle,5,0.001765,,,,,,,,,,,,
,,,,,,,,Elakatur,7,0.002471,,,,,,,,,,,,
,,,,,,,,Elakkuntla,7,0.002471,,,,,,,,,,,,
,,,,,,,,Elanji,4,0.001412,,,,,,,,,,,,
,,,,,,,,Elavanellore,1,0.000353,,,,,,,,,,,,
,,,,,,,,Elchur,1,0.000353,,,,,,,,,,,,
,,,,,,,,Ella Samudram,1,0.000353,,,,,,,,,,,,
,,,,,,,,Ellamanda,10,0.00353,,,,,,,,,,,,
,,,,,,,,Elukuntla,3,0.001059,,,,,,,,,,,,
,,,,,,,,Emboy,1,0.000353,,,,,,,,,,,,
,,,,,,,,Enamadala,3,0.001059,,,,,,,,,,,,
,,,,,,,,Endluru,2,0.000706,,,,,,,,,,,,
,,,,,,,,Enugondapalem,8,0.002824,,,,,,,,,,,,
,,,,,,,,Eradikera,1,0.000353,,,,,,,,,,,,
,,,,,,,,Erikambattu,1,0.000353,,,,,,,,,,,,
,,,,,,,,Erlampalle,6,0.002118,,,,,,,,,,,,
,,,,,,,,Erraballe,1,0.000353,,,,,,,,,,,,
,,,,,,,,Erracheruvupalle,4,0.001412,,,,,,,,,,,,
,,,,,,,,Erragudi,1,0.000353,,,,,,,,,,,,
,,,,,,,,Erramadu,1,0.000353,,,,,,,,,,,,
,,,,,,,,Erramanchi,1,0.000353,,,,,,,,,,,,
,,,,,,,,Erramrajupalle,5,0.001765,,,,,,,,,,,,
,,,,,,,,Ethodu,1,0.000353,,,,,,,,,,,,
,,,,,,,,Etterangapalle,1,0.000353,,,,,,,,,,,,
,,,,,,,,Forest,282,0.099546,,,,,,,,,,,,
,,,,,,,,G. Venkatampalle,1,0.000353,,,,,,,,,,,,
,,,,,,,,G.Bheemavaram,1,0.000353,,,,,,,,,,,,
,,,,,,,,G.Kothapalle,1,0.000353,,,,,,,,,,,,
,,,,,,,,Gadanki,4,0.001412,,,,,,,,,,,,
,,,,,,,,Gaddamvaripalle,14,0.004942,,,,,,,,,,,,
,,,,,,,,Gadekal,3,0.001059,,,,,,,,,,,,
,,,,,,,,Gadela,2,0.000706,,,,,,,,,,,,
,,,,,,,,Gadidamvaripalle,1,0.000353,,,,,,,,,,,,
,,,,,,,,Gadikota,2,0.000706,,,,,,,,,,,,
,,,,,,,,Gadilavalasa,2,0.000706,,,,,,,,,,,,
,,,,,,,,Gajjala Konda,1,0.000353,,,,,,,,,,,,
,,,,,,,,Gajulapellore,1,0.000353,,,,,,,,,,,,
,,,,,,,,Galagala,1,0.000353,,,,,,,,,,,,
,,,,,,,,Galijerugulla,3,0.001059,,,,,,,,,,,,
,,,,,,,,Galivaripalle,10,0.00353,,,,,,,,,,,,
,,,,,,,,Galiveedu,10,0.00353,,,,,,,,,,,,
,,,,,,,,Gamkonda,3,0.001059,,,,,,,,,,,,
,,,,,,,,Ganapathipalle,1,0.000353,,,,,,,,,,,,
,,,,,,,,Ganapavaram,4,0.001412,,,,,,,,,,,,
,,,,,,,,Gandaboyanapalle,2,0.000706,,,,,,,,,,,,
,,,,,,,,Gandavaram,1,0.000353,,,,,,,,,,,,
,,,,,,,,Gandikovvur,1,0.000353,,,,,,,,,,,,
,,,,,,,,Gandla Seetharam Puram,3,0.001059,,,,,,,,,,,,
,,,,,,,,Gandladinne,4,0.001412,,,,,,,,,,,,
,,,,,,,,Gandlapenta,7,0.002471,,,,,,,,,,,,
,,,,,,,,Gandrajupalle,3,0.001059,,,,,,,,,,,,
,,,,,,,,Gandupalle,1,0.000353,,,,,,,,,,,,
,,,,,,,,Gandurupalle,1,0.000353,,,,,,,,,,,,
,,,,,,,,Ganga Palem,1,0.000353,,,,,,,,,,,,
,,,,,,,,Gangadona Konda,3,0.001059,,,,,,,,,,,,
,,,,,,,,Gangamamba Puram,2,0.000706,,,,,,,,,,,,
,,,,,,,,Gangamambapuram,3,0.001059,,,,,,,,,,,,
,,,,,,,,Gangampalle,5,0.001765,,,,,,,,,,,,
,,,,,,,,Ganganapalle,2,0.000706,,,,,,,,,,,,
,,,,,,,,Gangapalem,1,0.000353,,,,,,,,,,,,
,,,,,,,,Gangapuram,2,0.000706,,,,,,,,,,,,
,,,,,,,,Gangavaram,9,0.003177,,,,,,,,,,,,
,,,,,,,,Gangayapalle,3,0.001059,,,,,,,,,,,,
,,,,,,,,Ganginenipalem,1,0.000353,,,,,,,,,,,,
,,,,,,,,Ganginepalle,7,0.002471,,,,,,,,,,,,
,,,,,,,,Gangireddi Palle,7,0.002471,,,,,,,,,,,,
,,,,,,,,Gangulavari Cheruvu Palle,3,0.001059,,,,,,,,,,,,
,,,,,,,,Ganguvada,1,0.000353,,,,,,,,,,,,
,,,,,,,,Gani,1,0.000353,,,,,,,,,,,,
,,,,,,,,Ganivani Padu,4,0.001412,,,,,,,,,,,,
,,,,,,,,Ganjihalli,1,0.000353,,,,,,,,,,,,
,,,,,,,,Ganjipalem,1,0.000353,,,,,,,,,,,,
,,,,,,,,Ganna Varam,1,0.000353,,,,,,,,,,,,
,,,,,,,,Gannavaram,2,0.000706,,,,,,,,,,,,
,,,,,,,,Ganthimarri,2,0.000706,,,,,,,,,,,,
,,,,,,,,Ganugachintha,10,0.00353,,,,,,,,,,,,
,,,,,,,,Ganugapadu,3,0.001059,,,,,,,,,,,,
,,,,,,,,Garikipadu,1,0.000353,,,,,,,,,,,,
,,,,,,,,Garikipalem,1,0.000353,,,,,,,,,,,,
,,,,,,,,Garimenapenta,1,0.000353,,,,,,,,,,,,
,,,,,,,,Gariselapalle,3,0.001059,,,,,,,,,,,,
,,,,,,,,Garladinne,5,0.001765,,,,,,,,,,,,
,,,,,,,,Garlapadu,1,0.000353,,,,,,,,,,,,
,,,,,,,,Garnimitta,3,0.001059,,,,,,,,,,,,
,,,,,,,,Garudachedu,1,0.000353,,,,,,,,,,,,
,,,,,,,,Garudapuram,11,0.003883,,,,,,,,,,,,
,,,,,,,,Gattupalle,1,0.000353,,,,,,,,,,,,
,,,,,,,,Gedalapoluru,1,0.000353,,,,,,,,,,,,
,,,,,,,,Geddavalasa Narasimha Puram,1,0.000353,,,,,,,,,,,,
,,,,,,,,Gellapalledinne,4,0.001412,,,,,,,,,,,,
,,,,,,,,Gesikapalle,7,0.002471,,,,,,,,,,,,
,,,,,,,,Ghanasara,1,0.000353,,,,,,,,,,,,
,,,,,,,,Giddaluru,1,0.000353,,,,,,,,,,,,
,,,,,,,,Giddamakarajapuram,3,0.001059,,,,,,,,,,,,
,,,,,,,,Gilakapadu,1,0.000353,,,,,,,,,,,,
,,,,,,,,Gittangi,9,0.003177,,,,,,,,,,,,
,,,,,,,,Gnanamamba Puram  @   P.Khandriga,4,0.001412,,,,,,,,,,,,
,,,,,,,,Godavaripuram,2,0.000706,,,,,,,,,,,,
,,,,,,,,Godda,3,0.001059,,,,,,,,,,,,
,,,,,,,,Goddumarri,2,0.000706,,,,,,,,,,,,
,,,,,,,,Godduvelagala,5,0.001765,,,,,,,,,,,,
,,,,,,,,Goduguchinta,4,0.001412,,,,,,,,,,,,
,,,,,,,,Goduguchintha,13,0.004589,,,,,,,,,,,,
,,,,,,,,Gokarlapalle,1,0.000353,,,,,,,,,,,,
,,,,,,,,Gokavaram,1,0.000353,,,,,,,,,,,,
,,,,,,,,Golagam,2,0.000706,,,,,,,,,,,,
,,,,,,,,Goliyaputti,1,0.000353,,,,,,,,,,,,
,,,,,,,,Golla,10,0.00353,,,,,,,,,,,,
,,,,,,,,Golla Palle,1,0.000353,,,,,,,,,,,,
,,,,,,,,Gollapalem,1,0.000353,,,,,,,,,,,,
,,,,,,,,Gollapalle,17,0.006001,,,,,,,,,,,,
,,,,,,,,Gollapudi,2,0.000706,,,,,,,,,,,,
,,,,,,,,Gollavaripalem,2,0.000706,,,,,,,,,,,,
,,,,,,,,Gollavidipi,5,0.001765,,,,,,,,,,,,
,,,,,,,,Gondipalle,3,0.001059,,,,,,,,,,,,
,,,,,,,,Gondolu,1,0.000353,,,,,,,,,,,,
,,,,,,,,Gonepadu,3,0.001059,,,,,,,,,,,,
,,,,,,,,Gongivaripalle,3,0.001059,,,,,,,,,,,,
,,,,,,,,Gontuvanipalem,1,0.000353,,,,,,,,,,,,
,,,,,,,,Gonugunta,1,0.000353,,,,,,,,,,,,
,,,,,,,,Gooty Ananta Puram,2,0.000706,,,,,,,,,,,,
,,,,,,,,Gooty Erragudi,5,0.001765,,,,,,,,,,,,
,,,,,,,,Gopagudipalle,3,0.001059,,,,,,,,,,,,
,,,,,,,,Gopalapuram,1,0.000353,,,,,,,,,,,,
,,,,,,,,Gopavaram,2,0.000706,,,,,,,,,,,,
,,,,,,,,Gopepalle,6,0.002118,,,,,,,,,,,,
,,,,,,,,Gopichettipalle,4,0.001412,,,,,,,,,,,,
,,,,,,,,Gopidinne,9,0.003177,,,,,,,,,,,,
,,,,,,,,Gopivallabhapuram,3,0.001059,,,,,,,,,,,,
,,,,,,,,Goramamidi,1,0.000353,,,,,,,,,,,,
,,,,,,,,Gorantla,1,0.000353,,,,,,,,,,,,
,,,,,,,,Goridindla,3,0.001059,,,,,,,,,,,,
,,,,,,,,Gorivimakulapalle,8,0.002824,,,,,,,,,,,,
,,,,,,,,Gorlamudiveedu,11,0.003883,,,,,,,,,,,,
,,,,,,,,Gorre Padu,1,0.000353,,,,,,,,,,,,
,,,,,,,,Gorugunthala Padu,1,0.000353,,,,,,,,,,,,
,,,,,,,,Gosukonda Agraharam,1,0.000353,,,,,,,,,,,,
,,,,,,,,Gotlagattu,4,0.001412,,,,,,,,,,,,
,,,,,,,,Gotlur,1,0.000353,,,,,,,,,,,,
,,,,,,,,Gottiprolu,1,0.000353,,,,,,,,,,,,
,,,,,,,,Gottumukkala,1,0.000353,,,,,,,,,,,,
,,,,,,,,Gotukur,1,0.000353,,,,,,,,,,,,
,,,,,,,,Gounithimmepalle,7,0.002471,,,,,,,,,,,,
,,,,,,,,Govardhanapuram,2,0.000706,,,,,,,,,,,,
,,,,,,,,Govindapalle,1,0.000353,,,,,,,,,,,,
,,,,,,,,Govindapuram,10,0.00353,,,,,,,,,,,,
,,,,,,,,Govindawada,1,0.000353,,,,,,,,,,,,
,,,,,,,,Gowdanahalli,4,0.001412,,,,,,,,,,,,
,,,,,,,,Gowduguranti,3,0.001059,,,,,,,,,,,,
,,,,,,,,Gowrivaripalle,10,0.00353,,,,,,,,,,,,
,,,,,,,,Gramadatla,4,0.001412,,,,,,,,,,,,
,,,,,,,,Gudarevupalle,2,0.000706,,,,,,,,,,,,
,,,,,,,,Gudavalluru (Kondapuram),1,0.000353,,,,,,,,,,,,
,,,,,,,,Guddipa,2,0.000706,,,,,,,,,,,,
,,,,,,,,Gudibanda,8,0.002824,,,,,,,,,,,,
,,,,,,,,Gudimetla,2,0.000706,,,,,,,,,,,,
,,,,,,,,Gudipadu,10,0.00353,,,,,,,,,,,,
,,,,,,,,Gudipalle,2,0.000706,,,,,,,,,,,,
,,,,,,,,Gudlanayanipalle,1,0.000353,,,,,,,,,,,,
,,,,,,,,Gudluru,11,0.003883,,,,,,,,,,,,
,,,,,,,,Gudupalle,6,0.002118,,,,,,,,,,,,
,,,,,,,,Gugudu,2,0.000706,,,,,,,,,,,,
,,,,,,,,Gulapalem,2,0.000706,,,,,,,,,,,,
,,,,,,,,Gulimcherla,1,0.000353,,,,,,,,,,,,
,,,,,,,,Gulimikondla @ G.Kottala,1,0.000353,,,,,,,,,,,,
,,,,,,,,Gulladurthi,2,0.000706,,,,,,,,,,,,
,,,,,,,,Gullaseetharama Puram,6,0.002118,,,,,,,,,,,,
,,,,,,,,GUMADAM MUNICIPALITY,1,0.000353,,,,,,,,,,,,
,,,,,,,,Gummadigunta,1,0.000353,,,,,,,,,,,,
,,,,,,,,Gummagatta,1,0.000353,,,,,,,,,,,,
,,,,,,,,Gumparlapadu,4,0.001412,,,,,,,,,,,,
,,,,,,,,Gunada,2,0.000706,,,,,,,,,,,,
,,,,,,,,Gundala,1,0.000353,,,,,,,,,,,,
,,,,,,,,Gundemadakala,1,0.000353,,,,,,,,,,,,
,,,,,,,,Gundla Samudram,1,0.000353,,,,,,,,,,,,
,,,,,,,,Gundlakonda,2,0.000706,,,,,,,,,,,,
,,,,,,,,Gundlamadugu,1,0.000353,,,,,,,,,,,,
,,,,,,,,Gundlapalle,12,0.004236,,,,,,,,,,,,
,,,,,,,,Gundlasagaram,1,0.000353,,,,,,,,,,,,
,,,,,,,,Gundloor,1,0.000353,,,,,,,,,,,,
,,,,,,,,Gundluru,1,0.000353,,,,,,,,,,,,
,,,,,,,,Gundrajukuppam,10,0.00353,,,,,,,,,,,,
,,,,,,,,Gundugallu,4,0.001412,,,,,,,,,,,,
,,,,,,,,Gundupapala,1,0.000353,,,,,,,,,,,,
,,,,,,,,Gunidam,1,0.000353,,,,,,,,,,,,
,,,,,,,,Gunimorubagal,3,0.001059,,,,,,,,,,,,
,,,,,,,,Gunipalle,1,0.000353,,,,,,,,,,,,
,,,,,,,,Gunjarlapalle,2,0.000706,,,,,,,,,,,,
,,,,,,,,Gunjepalle,1,0.000353,,,,,,,,,,,,
,,,,,,,,Gunjugudem,6,0.002118,,,,,,,,,,,,
,,,,,,,,Gunnikuntla,3,0.001059,,,,,,,,,,,,
,,,,,,,,Guntachennam Palle,1,0.000353,,,,,,,,,,,,
,,,,,,,,Guntimadugu,1,0.000353,,,,,,,,,,,,
,,,,,,,,Guntipalle,5,0.001765,,,,,,,,,,,,
,,,,,,,,Guntu Palle,9,0.003177,,,,,,,,,,,,
,,,,,,,,Guntupalle,4,0.001412,,,,,,,,,,,,
,,,,,,,,Gunupadu,1,0.000353,,,,,,,,,,,,
,,,,,,,,Gunupuru,1,0.000353,,,,,,,,,,,,
,,,,,,,,Guravaigudem,5,0.001765,,,,,,,,,,,,
,,,,,,,,Gurije Palle,7,0.002471,,,,,,,,,,,,
,,,,,,,,Gurjala,1,0.000353,,,,,,,,,,,,
,,,,,,,,Gurrala Madugu,2,0.000706,,,,,,,,,,,,
,,,,,,,,Gurrambailu,2,0.000706,,,,,,,,,,,,
,,,,,,,,Gurramkonda,2,0.000706,,,,,,,,,,,,
,,,,,,,,Gurrampadu,1,0.000353,,,,,,,,,,,,
,,,,,,,,Gurrappadia,5,0.001765,,,,,,,,,,,,
,,,,,,,,Gurrapusala,7,0.002471,,,,,,,,,,,,
,,,,,,,,Gurrapuvalasa,3,0.001059,,,,,,,,,,,,
,,,,,,,,Gurukavaripalle,3,0.001059,,,,,,,,,,,,
,,,,,,,,Guruvinaidupeta,1,0.000353,,,,,,,,,,,,
,,,,,,,,Guttapalem,3,0.001059,,,,,,,,,,,,
,,,,,,,,Guttapalle,1,0.000353,,,,,,,,,,,,
,,,,,,,,Guttavalli,1,0.000353,,,,,,,,,,,,
,,,,,,,,Gutturu,1,0.000353,,,,,,,,,,,,
,,,,,,,,Gutupalle,2,0.000706,,,,,,,,,,,,
,,,,,,,,Guvvalakunta,1,0.000353,,,,,,,,,,,,
,,,,,,,,Gyarampalle,1,0.000353,,,,,,,,,,,,
,,,,,,,,Haddubhangi,2,0.000706,,,,,,,,,,,,
,,,,,,,,Halaharvi,1,0.000353,,,,,,,,,,,,
,,,,,,,,Hanakanahal,7,0.002471,,,,,,,,,,,,
,,,,,,,,Hanumantha Puram,3,0.001059,,,,,,,,,,,,
,,,,,,,,Hanumanthagundam,1,0.000353,,,,,,,,,,,,
,,,,,,,,Hanumanthulova,2,0.000706,,,,,,,,,,,,
,,,,,,,,Haresamudram,5,0.001765,,,,,,,,,,,,
,,,,,,,,Haripuram,2,0.000706,,,,,,,,,,,,
,,,,,,,,Harivaram,3,0.001059,,,,,,,,,,,,
,,,,,,,,Hasanapuram,9,0.003177,,,,,,,,,,,,
,,,,,,,,Hastakaveri,1,0.000353,,,,,,,,,,,,
,,,,,,,,Hathi Belgal,2,0.000706,,,,,,,,,,,,
,,,,,,,,Hazee Puram,4,0.001412,,,,,,,,,,,,
,,,,,,,,Hazis Puram,3,0.001059,,,,,,,,,,,,
,,,,,,,,Hebbatam,2,0.000706,,,,,,,,,,,,
,,,,,,,,Hemavathi,1,0.000353,,,,,,,,,,,,
,,,,,,,,HILL,1,0.000353,,,,,,,,,,,,
,,,,,,,,Himakuntla,2,0.000706,,,,,,,,,,,,
,,,,,,,,Hirdehal,1,0.000353,,,,,,,,,,,,
,,,,,,,,Hosur,1,0.000353,,,,,,,,,,,,
,,,,,,,,Hulebeedu,2,0.000706,,,,,,,,,,,,
,,,,,,,,Hulikal,3,0.001059,,,,,,,,,,,,
,,,,,,,,Hulikera,8,0.002824,,,,,,,,,,,,
,,,,,,,,Hulikeradevarahalli,2,0.000706,,,,,,,,,,,,
,,,,,,,,Hussain Puram,3,0.001059,,,,,,,,,,,,
,,,,,,,,Hussainpuram,3,0.001059,,,,,,,,,,,,
,,,,,,,,I.S.Jagannadhapuram,2,0.000706,,,,,,,,,,,,
,,,,,,,,Igudur,1,0.000353,,,,,,,,,,,,
,,,,,,,,Ilavera,9,0.003177,,,,,,,,,,,,
,,,,,,,,Illuru,1,0.000353,,,,,,,,,,,,
,,,,,,,,Illurukothapalle,1,0.000353,,,,,,,,,,,,
,,,,,,,,Immadi Cheruvu,3,0.001059,,,,,,,,,,,,
,,,,,,,,Inagalore,5,0.001765,,,,,,,,,,,,
,,,,,,,,Inagalur,8,0.002824,,,,,,,,,,,,
,,,,,,,,Inamkothuru,1,0.000353,,,,,,,,,,,,
,,,,,,,,Indireswaram,1,0.000353,,,,,,,,,,,,
,,,,,,,,Indravathi,1,0.000353,,,,,,,,,,,,
,,,,,,,,Indugapalle,1,0.000353,,,,,,,,,,,,
,,,,,,,,Ingilapalle,1,0.000353,,,,,,,,,,,,
,,,,,,,,Injedu,2,0.000706,,,,,,,,,,,,
,,,,,,,,Inukurthy,2,0.000706,,,,,,,,,,,,
,,,,,,,,Ippagunta,2,0.000706,,,,,,,,,,,,
,,,,,,,,Ipperu,4,0.001412,,,,,,,,,,,,
,,,,,,,,Ipppam Thangal,2,0.000706,,,,,,,,,,,,
,,,,,,,,Irasalagundam,1,0.000353,,,,,,,,,,,,
,,,,,,,,Irikipenta,1,0.000353,,,,,,,,,,,,
,,,,,,,,Irisiganipalle,1,0.000353,,,,,,,,,,,,
,,,,,,,,Irlapadu,2,0.000706,,,,,,,,,,,,
,,,,,,,,Iruguvai,10,0.00353,,,,,,,,,,,,
,,,,,,,,Isakalapalem,2,0.000706,,,,,,,,,,,,
,,,,,,,,Iskadamerla,4,0.001412,,,,,,,,,,,,
,,,,,,,,Isukathageli,2,0.000706,,,,,,,,,,,,
,,,,,,,,Isukatripuravaram,6,0.002118,,,,,,,,,,,,
,,,,,,,,Ithampadu,2,0.000706,,,,,,,,,,,,
,,,,,,,,Itigullapadu,5,0.001765,,,,,,,,,,,,
,,,,,,,,Itika,1,0.000353,,,,,,,,,,,,
