District,Count,Capacity,,Mandal,Count,Capacity,,Village,Count,Capacity,,Basin,Count,Capacity,,Mandal,Count,Capacity,,Sub basin,Count,Capacity
,,,,CHITTOOR,23,0.008119,,Ammavaripeta,9,0.003177,,,,,,,,,,456,1,0.000353
,,,,CHITVEL,28,0.009884,,Ampolu,1,0.000353,,,,,,,,,,501,3,0.001059
,,,,CHODAVARAM,1,0.000353,,Anamanamur,2,0.000706,,,,,,,,,,503,20,0.00706
,,,,CHOWDEPALLE,40,0.01412,,Anantaiahgaripalle,1,0.000353,,,,,,,,,,504,14,0.004942
,,,,CUMBUM,11,0.003883,,Anantapur (M),1,0.000353,,,,,,,,,,505,12,0.004236
,,,,D.HIREHAL,11,0.003883,,Anantha Palle,2,0.000706,,,,,,,,,,506,3,0.001059
,,,,DAGADARTHI,11,0.003883,,Ananthamadugu,1,0.000353,,,,,,,,,,507,8,0.002824
,,,,DAKKILI,17,0.006001,,Ananthapuram,2,0.000706,,,,,,,,,,508,4,0.001412
,,,,DARSI,16,0.005648,,Ananthasagaram,3,0.001059,,,,,,,,,,509,11,0.003883
,,,,DATTIRAJERU,7,0.002471,,Ananthavaram,8,0.002824,,,,,,,,,,512,2,0.000706
,,,,DENKADA,8,0.002824,,Anepudi (Nadimi Khandrika),2,0.000706,,,,,,,,,,516,1,0.000353
,,,,DEVANAKONDA,44,0.015532,,Angaskal,1,0.000353,,,,,,,,,,604,5,0.001765
,,,,DEVARAPALLE,6,0.002118,,Animela,1,0.000353,,,,,,,,,,605,6,0.002118
,,,,DHARMAVARAM,41,0.014473,,Anjaneyapuram,2,0.000706,,,,,,,,,,606,2,0.000706
,,,,DHONE,13,0.004589,,Ankalammagudur,2,0.000706,,,,,,,,,,608,1,0.000353
,,,,DONAKONDA,20,0.00706,,Ankampalle,3,0.001059,,,,,,,,,,612,3,0.001059
,,,,DORAVARISATRAM,21,0.007413,,Ankanagodu Gunuru,1,0.000353,,,,,,,,,,613,2,0.000706
,,,,DORNALA,12,0.004236,,Ankepalle,4,0.001412,,,,,,,,,,614,8,0.002824
,,,,DORNIPADU,1,0.000353,,Anna Varam,4,0.001412,,,,,,,,,,615,31,0.010943
,,,,DUTTALUR,9,0.003177,,Annambaka,1,0.000353,,,,,,,,,,616,3,0.001059
,,,,DWARAKA TIRUMALA,3,0.001059,,Annampeta,5,0.001765,,,,,,,,,,618,1,0.000353
,,,,ETCHERLA,32,0.011296,,Annapuram,2,0.000706,,,,,,,,,,619,4,0.001412
,,,,G.KONDURU,10,0.00353,,Annasamudram,5,0.001765,,,,,,,,,,621,3,0.001059
,,,,GADIVEMULA,1,0.000353,,Annavaram,1,0.000353,,,,,,,,,,622,8,0.002824
,,,,GAJAPATHINAGARAM,9,0.003177,,Anneboinapalle,1,0.000353,,,,,,,,,,624,1,0.000353
,,,,GALIVEEDU,39,0.013767,,Annur,4,0.001412,,,,,,,,,,625,6,0.002118
,,,,GAMPALAGUDEM,5,0.001765,,Annurkasabagayat,1,0.000353,,,,,,,,,,626,10,0.00353
,,,,GANDLAPENTA,60,0.02118,,Anthakapalle,1,0.000353,,,,,,,,,,627,2,0.000706
,,,,GANGADHARANELLORE,19,0.006707,,Antikonda,1,0.000353,,,,,,,,,,629,12,0.004236
,,,,GANGAVARAM,38,0.013414,,Anumalakonda,1,0.000353,,,,,,,,,,722,1,0.000353
,,,,GANGUVARISIGADAM,8,0.002824,,Anumasamudram,1,0.000353,,,,,,,,,,727,6,0.002118
,,,,GANTYADA,14,0.004942,,Anumasamudrampeta,2,0.000706,,,,,,,,,,730,2,0.000706
,,,,GARA,3,0.001059,,Anumollanka,1,0.000353,,,,,,,,,,733,2,0.000706
,,,,GARIVIDI,12,0.004236,,Anumpalle,2,0.000706,,,,,,,,,,735,1,0.000353
,,,,GARLADINNE,28,0.009884,,Anumula Palle,2,0.000706,,,,,,,,,,736,4,0.001412
,,,,GIDDALUR,43,0.015179,,Anumunilanka,1,0.000353,,,,,,,,,,758,3,0.001059
,,,,GOKAVARAM,2,0.000706,,Anupalle,17,0.006001,,,,,,,,,,803,11,0.003883
,,,,GONEGANDLA,4,0.001412,,Appapuram,1,0.000353,,,,,,,,,,804,52,0.018356
,,,,GOOTY,27,0.009531,,Apparacheruvu,3,0.001059,,,,,,,,,,805,24,0.008472
,,,,GOPAVARAM,5,0.001765,,Appasamudram,4,0.001412,,,,,,,,,,806,30,0.01059
,,,,GORANTLA,80,0.02824,,Appecherla,3,0.001059,,,,,,,,,,808,57,0.020121
,,,,GUDIBANDA,34,0.012002,,Appilepalle,1,0.000353,,,,,,,,,,809,29,0.010237
,,,,GUDIPALA,12,0.004236,,Appinapalle,2,0.000706,,,,,,,,,,810,49,0.017297
,,,,GUDLURU,36,0.012708,,Aradigunta,10,0.00353,,,,,,,,,,811,13,0.004589
,,,,GUDUPALLE,41,0.014473,,Arakabhadra,1,0.000353,,,,,,,,,,812,41,0.014473
,,,,GUDUR,35,0.012355,,Arakativemula,1,0.000353,,,,,,,,,,813,12,0.004236
,,,,GUMMAGATTA,14,0.004942,,Aramadaka,2,0.000706,,,,,,,,,,814,5,0.001765
,,,,GUMMALAKSHMIPURAM,9,0.003177,,Aranyam Khandriga,3,0.001059,,,,,,,,,,816,15,0.005295
