District,Count,Capacity,,Mandal,Count,Capacity,,Village,Count,Capacity,,Basin,Count,Capacity,,Subbasin,Count,Capacity,,Microbasin,Count,Capacity
,,,,CHENNUR,2,0.000706,,Amadagur,4,0.001412,,,,,,80,34,0.012002,,333,15,0.005295
,,,,CHILAKALURIPET,2,0.000706,,Amakam,3,0.001059,,,,,,81,1272,0.449016,,334,4,0.001412
,,,,CHILAMATHUR,61,0.021533,,Amalakudia,2,0.000706,,,,,,(blank),,,,335,10,0.00353
,,,,CHIMAKURTHI,3,0.001059,,Amalapadu,2,0.000706,,,,,,Grand Total,10797,3.811341,,337,4,0.001412
,,,,CHINAGANJAM,1,0.000353,,Amarapuram,2,0.000706,,,,,,,,,,339,2,0.000706
,,,,CHINNAGOTTIGALLU,64,0.022592,,Amatam Ravivalasa,2,0.000706,,,,,,,,,,340,13,0.004589
,,,,CHINNAMANDEM,56,0.019768,,Ambapuram,1,0.000353,,,,,,,,,,401,7,0.002471
,,,,CHINTALAPUDI,5,0.001765,,Ambavaram,5,0.001765,,,,,,,,,,403,1,0.000353
,,,,CHINTHAKOMMADINNE,9,0.003177,,Ambodharapalle,2,0.000706,,,,,,,,,,404,9,0.003177
,,,,CHIPPAGIRI,41,0.014473,,Ambugam,4,0.001412,,,,,,,,,,405,7,0.002471
,,,,CHITTAMUR,1,0.000353,,Amidala,2,0.000706,,,,,,,,,,406,1,0.000353
,,,,CHITTOOR,9,0.003177,,Amidalagondi,1,0.000353,,,,,,,,,,410,3,0.001059
,,,,CHITVEL,4,0.001412,,Amiti,1,0.000353,,,,,,,,,,412,7,0.002471
,,,,CHODAVARAM,2,0.000706,,Amity,5,0.001765,,,,,,,,,,413,7,0.002471
,,,,CHOWDEPALLE,78,0.027534,,Ammagaripalle,3,0.001059,,,,,,,,,,414,16,0.005648
,,,,CUMBUM,30,0.01059,,Ammani Gudi Padu,5,0.001765,,,,,,,,,,415,8,0.002824
,,,,D.HIREHAL,8,0.002824,,Ammapalem,2,0.000706,,,,,,,,,,417,1,0.000353
,,,,DAGADARTHI,3,0.001059,,Ammavari Palem,1,0.000353,,,,,,,,,,418,4,0.001412
,,,,DARSI,44,0.015532,,Ampolu,7,0.002471,,,,,,,,,,419,4,0.001412
,,,,DATTIRAJERU,13,0.004589,,Ampuram,3,0.001059,,,,,,,,,,421,3,0.001059
,,,,DENKADA,41,0.014473,,Amrutapuram,1,0.000353,,,,,,,,,,422,4,0.001412
,,,,DEVANAKONDA,94,0.033182,,Amudala,8,0.002824,,,,,,,,,,501,3,0.001059
,,,,DEVARAPALLE,8,0.002824,,Anamanamur,1,0.000353,,,,,,,,,,503,14,0.004942
,,,,DEVIPATNAM,8,0.002824,,Anantapur (Rural),2,0.000706,,,,,,,,,,505,10,0.00353
,,,,DHARMAVARAM,18,0.006354,,Anantapuram,1,0.000353,,,,,,,,,,506,6,0.002118
,,,,DHONE,25,0.008825,,ANANTHA PADMANABHAPURAM,1,0.000353,,,,,,,,,,507,44,0.015532
,,,,DONAKONDA,48,0.016944,,Anantha Palle,1,0.000353,,,,,,,,,,508,1,0.000353
,,,,DORAVARISATRAM,6,0.002118,,Ananthagiri,3,0.001059,,,,,,,,,,510,11,0.003883
,,,,DORNALA,24,0.008472,,Ananthapuram,8,0.002824,,,,,,,,,,512,5,0.001765
,,,,DORNIPADU,10,0.00353,,Anantharajupeta,2,0.000706,,,,,,,,,,516,5,0.001765
,,,,DURGI,9,0.003177,,Ananthavaram,20,0.00706,,,,,,,,,,541,1,0.000353
,,,,DUVVUR,2,0.000706,,Andhavaram,2,0.000706,,,,,,,,,,603,13,0.004589
,,,,DWARAKA TIRUMALA,5,0.001765,,Angallu,1,0.000353,,,,,,,,,,604,5,0.001765
,,,,ETCHERLA,38,0.013414,,Angeri Cheruvu,1,0.000353,,,,,,,,,,605,10,0.00353
,,,,G.KONDURU,7,0.002471,,Anguru,1,0.000353,,,,,,,,,,606,12,0.004236
,,,,GAJAPATHINAGARAM,23,0.008119,,Aniganidoddi,1,0.000353,,,,,,,,,,608,6,0.002118
,,,,GALIVEEDU,87,0.030711,,Anikalla Palle,4,0.001412,,,,,,,,,,611,8,0.002824
,,,,GAMPALAGUDEM,16,0.005648,,Animela,1,0.000353,,,,,,,,,,612,1,0.000353
