District,Count,Capacity,,Mandal,Count,Capacity,,Village,Count,Capacity,,Basin,Count,Capacity,,Subbasin,Count,Capacity,,Microbasin,Count,Capacity
,,,,,,,,Chinna Orampadu,4,0.001412,,,,,,,,,,1358,9,0.003177
,,,,,,,,Chinna Venthurla,1,0.000353,,,,,,,,,,1359,14,0.004942
,,,,,,,,Chinnachepalle,1,0.000353,,,,,,,,,,1360,2,0.000706
,,,,,,,,Chinnachigullarevu,2,0.000706,,,,,,,,,,1361,14,0.004942
,,,,,,,,Chinnadimili,3,0.001059,,,,,,,,,,1362,4,0.001412
,,,,,,,,Chinnagollapalle,3,0.001059,,,,,,,,,,1365,14,0.004942
,,,,,,,,Chinnagotti Gallu,4,0.001412,,,,,,,,,,1366,2,0.000706
,,,,,,,,Chinnahothur,1,0.000353,,,,,,,,,,1367,19,0.006707
,,,,,,,,Chinnahyta,3,0.001059,,,,,,,,,,1370,17,0.006001
,,,,,,,,Chinnajonnavalasa,1,0.000353,,,,,,,,,,1371,14,0.004942
,,,,,,,,Chinnakampalle,1,0.000353,,,,,,,,,,1372,10,0.00353
,,,,,,,,Chinnakhojiria,2,0.000706,,,,,,,,,,1373,59,0.020827
,,,,,,,,Chinnalavunipalle,1,0.000353,,,,,,,,,,1374,10,0.00353
,,,,,,,,Chinnalaxmipuram,1,0.000353,,,,,,,,,,1375,9,0.003177
,,,,,,,,Chinnamallipuram,1,0.000353,,,,,,,,,,1376,2,0.000706
,,,,,,,,Chinnamandem,4,0.001412,,,,,,,,,,1377,18,0.006354
,,,,,,,,Chinnamanthur,1,0.000353,,,,,,,,,,1378,13,0.004589
,,,,,,,,Chinnamareddi Khandriga,6,0.002118,,,,,,,,,,1379,9,0.003177
,,,,,,,,Chinnaobba,13,0.004589,,,,,,,,,,(blank),,
,,,,,,,,Chinnapandur,1,0.000353,,,,,,,,,,Grand Total,10797,3.811341
,,,,,,,,Chinnaparthikunta,1,0.000353,,,,,,,,,,,,
,,,,,,,,Chinnapendekal,2,0.000706,,,,,,,,,,,,
,,,,,,,,Chinnaramannagaripalle,13,0.004589,,,,,,,,,,,,
,,,,,,,,Chinnarayudupeta,2,0.000706,,,,,,,,,,,,
,,,,,,,,Chinnarigokarla Palle,1,0.000353,,,,,,,,,,,,
,,,,,,,,Chinnasunnapuram,2,0.000706,,,,,,,,,,,,
,,,,,,,,Chinnayyagunta,4,0.001412,,,,,,,,,,,,
,,,,,,,,Chintada,5,0.001765,,,,,,,,,,,,
,,,,,,,,Chintagum Palle,2,0.000706,,,,,,,,,,,,
,,,,,,,,Chintagunta,1,0.000353,,,,,,,,,,,,
,,,,,,,,Chintakunta,7,0.002471,,,,,,,,,,,,
,,,,,,,,Chintala Chelika,1,0.000353,,,,,,,,,,,,
,,,,,,,,Chintala Palem,1,0.000353,,,,,,,,,,,,
,,,,,,,,Chintalagara,1,0.000353,,,,,,,,,,,,
,,,,,,,,Chintalapalle,2,0.000706,,,,,,,,,,,,
,,,,,,,,Chintalapeta,2,0.000706,,,,,,,,,,,,
,,,,,,,,Chintalapudi,1,0.000353,,,,,,,,,,,,
,,,,,,,,Chintamakulapalle,13,0.004589,,,,,,,,,,,,
,,,,,,,,Chintaparthi,15,0.005295,,,,,,,,,,,,
,,,,,,,,Chintarajupalle,5,0.001765,,,,,,,,,,,,
,,,,,,,,Chintarlapalle,1,0.000353,,,,,,,,,,,,
,,,,,,,,Chinthagum Palle,9,0.003177,,,,,,,,,,,,
,,,,,,,,Chinthakampalle,7,0.002471,,,,,,,,,,,,
,,,,,,,,Chinthakunta,3,0.001059,,,,,,,,,,,,
,,,,,,,,Chinthala Palle,6,0.002118,,,,,,,,,,,,
,,,,,,,,Chinthalabadavanja,1,0.000353,,,,,,,,,,,,
,,,,,,,,Chinthalagunta,1,0.000353,,,,,,,,,,,,
,,,,,,,,Chinthalavaripalle,2,0.000706,,,,,,,,,,,,
,,,,,,,,Chinthapenta,1,0.000353,,,,,,,,,,,,
,,,,,,,,Chinthapudi,3,0.001059,,,,,,,,,,,,
,,,,,,,,Chiramana,2,0.000706,,,,,,,,,,,,
,,,,,,,,Chiramandoddi,1,0.000353,,,,,,,,,,,,
,,,,,,,,Chirla Dinne,11,0.003883,,,,,,,,,,,,
,,,,,,,,Chirrikura Padu,3,0.001059,,,,,,,,,,,,
,,,,,,,,Chirutanapalle,1,0.000353,,,,,,,,,,,,
,,,,,,,,Chitlur,2,0.000706,,,,,,,,,,,,
,,,,,,,,Chitrachedu,1,0.000353,,,,,,,,,,,,
,,,,,,,,Chitrakota Boddavalasa,8,0.002824,,,,,,,,,,,,
,,,,,,,,Chittapara,1,0.000353,,,,,,,,,,,,
,,,,,,,,Chittapur,1,0.000353,,,,,,,,,,,,
,,,,,,,,Chittecherla,10,0.00353,,,,,,,,,,,,
,,,,,,,,Chittela,1,0.000353,,,,,,,,,,,,
,,,,,,,,Chittivalasa,8,0.002824,,,,,,,,,,,,
,,,,,,,,Chityala,1,0.000353,,,,,,,,,,,,
,,,,,,,,Chiyyavaram,3,0.001059,,,,,,,,,,,,
,,,,,,,,Chiyyedu,3,0.001059,,,,,,,,,,,,
,,,,,,,,Chodasamudram,1,0.000353,,,,,,,,,,,,
,,,,,,,,Chodavaram,7,0.002471,,,,,,,,,,,,
,,,,,,,,Chokkandlapalle,1,0.000353,,,,,,,,,,,,
,,,,,,,,Cholasamudram,2,0.000706,,,,,,,,,,,,
,,,,,,,,Cholemarri,1,0.000353,,,,,,,,,,,,
,,,,,,,,Chollaveedu,4,0.001412,,,,,,,,,,,,
,,,,,,,,Chora,1,0.000353,,,,,,,,,,,,
,,,,,,,,Chorlangi,2,0.000706,,,,,,,,,,,,
,,,,,,,,Chouta Bheemavaram,2,0.000706,,,,,,,,,,,,
,,,,,,,,Chouta Palem,4,0.001412,,,,,,,,,,,,
,,,,,,,,Chowdepalle,3,0.001059,,,,,,,,,,,,
,,,,,,,,Chowduvada,1,0.000353,,,,,,,,,,,,
,,,,,,,,Chowlur,2,0.000706,,,,,,,,,,,,
,,,,,,,,Chowta Gogula Palle,1,0.000353,,,,,,,,,,,,
,,,,,,,,Chowtapa Charla,3,0.001059,,,,,,,,,,,,
,,,,,,,,Chowtapalle,2,0.000706,,,,,,,,,,,,
,,,,,,,,Chunchu Yerragudi,2,0.000706,,,,,,,,,,,,
,,,,,,,,Chunchulur,1,0.000353,,,,,,,,,,,,
,,,,,,,,Chundi,12,0.004236,,,,,,,,,,,,
,,,,,,,,Chutti,3,0.001059,,,,,,,,,,,,
,,,,,,,,Cuddaba,2,0.000706,,,,,,,,,,,,
,,,,,,,,Cumbum,1,0.000353,,,,,,,,,,,,
,,,,,,,,D. Nelivada,1,0.000353,,,,,,,,,,,,
,,,,,,,,D.B.R.Bylu,2,0.000706,,,,,,,,,,,,
,,,,,,,,D.Cherlopalle,6,0.002118,,,,,,,,,,,,
,,,,,,,,D.Hirehal,2,0.000706,,,,,,,,,,,,
,,,,,,,,D.Honnur,7,0.002471,,,,,,,,,,,,
,,,,,,,,Dabarusingi,1,0.000353,,,,,,,,,,,,
,,,,,,,,Daburuvaripalle,1,0.000353,,,,,,,,,,,,
,,,,,,,,Dadalur,1,0.000353,,,,,,,,,,,,
,,,,,,,,Dadanaguruvai Palle,1,0.000353,,,,,,,,,,,,
,,,,,,,,Daddawada,5,0.001765,,,,,,,,,,,,
,,,,,,,,Dadireddi Pallle,1,0.000353,,,,,,,,,,,,
,,,,,,,,Dadithota,4,0.001412,,,,,,,,,,,,
,,,,,,,,Dakaravalasa,6,0.002118,,,,,,,,,,,,
,,,,,,,,Dakshina Brahmana Palle,1,0.000353,,,,,,,,,,,,
,,,,,,,,Dalemrajuvalasa,2,0.000706,,,,,,,,,,,,
,,,,,,,,Daleswaram,2,0.000706,,,,,,,,,,,,
,,,,,,,,Dali valasa,1,0.000353,,,,,,,,,,,,
,,,,,,,,Damalcheruvu,2,0.000706,,,,,,,,,,,,
,,,,,,,,Damarasingi,5,0.001765,,,,,,,,,,,,
,,,,,,,,Damavaram,1,0.000353,,,,,,,,,,,,
,,,,,,,,Damodara Maharajapuram,1,0.000353,,,,,,,,,,,,
,,,,,,,,Damuluru,2,0.000706,,,,,,,,,,,,
,,,,,,,,Dancherla,3,0.001059,,,,,,,,,,,,
,,,,,,,,Dandapalle,7,0.002471,,,,,,,,,,,,
,,,,,,,,Dandemvalasa,1,0.000353,,,,,,,,,,,,
,,,,,,,,Dandikuppam,4,0.001412,,,,,,,,,,,,
,,,,,,,,Dandugopalapuram,7,0.002471,,,,,,,,,,,,
,,,,,,,,Danduvaripalle,11,0.003883,,,,,,,,,,,,
,,,,,,,,Dantalavanipenta,2,0.000706,,,,,,,,,,,,
,,,,,,,,Dantha,2,0.000706,,,,,,,,,,,,
,,,,,,,,Dappepalle,11,0.003883,,,,,,,,,,,,
,,,,,,,,Darivada,7,0.002471,,,,,,,,,,,,
,,,,,,,,Darsi Thimmakka Palle,5,0.001765,,,,,,,,,,,,
,,,,,,,,Darsiagraharam,2,0.000706,,,,,,,,,,,,
,,,,,,,,Darsimala,3,0.001059,,,,,,,,,,,,
,,,,,,,,Dasalla Palle,1,0.000353,,,,,,,,,,,,
,,,,,,,,Dasarapalle,1,0.000353,,,,,,,,,,,,
,,,,,,,,Dasaripalem,1,0.000353,,,,,,,,,,,,
,,,,,,,,Dasegowniyur,4,0.001412,,,,,,,,,,,,
,,,,,,,,Dasupuram,1,0.000353,,,,,,,,,,,,
,,,,,,,,Deenabandhupuram,6,0.002118,,,,,,,,,,,,
,,,,,,,,Deenabandupuram,1,0.000353,,,,,,,,,,,,
,,,,,,,,Degalahal,12,0.004236,,,,,,,,,,,,
,,,,,,,,Dekanakonda,3,0.001059,,,,,,,,,,,,
,,,,,,,,Demakethepalle,1,0.000353,,,,,,,,,,,,
,,,,,,,,Denepalle,1,0.000353,,,,,,,,,,,,
,,,,,,,,Denkada,12,0.004236,,,,,,,,,,,,
,,,,,,,,Devadi,2,0.000706,,,,,,,,,,,,
,,,,,,,,Devadoddi,4,0.001412,,,,,,,,,,,,
,,,,,,,,Devagudipalle,5,0.001765,,,,,,,,,,,,
,,,,,,,,Devalampet,2,0.000706,,,,,,,,,,,,
,,,,,,,,Devalcheruvu,5,0.001765,,,,,,,,,,,,
,,,,,,,,Devamada,1,0.000353,,,,,,,,,,,,
,,,,,,,,Devanakonda,2,0.000706,,,,,,,,,,,,
,,,,,,,,Devanapuram,1,0.000353,,,,,,,,,,,,
,,,,,,,,Devanuppalapadu,2,0.000706,,,,,,,,,,,,
,,,,,,,,Devapatla,10,0.00353,,,,,,,,,,,,
,,,,,,,,Devarabanda,1,0.000353,,,,,,,,,,,,
,,,,,,,,Devaragudipalle,5,0.001765,,,,,,,,,,,,
,,,,,,,,Devarakonda,8,0.002824,,,,,,,,,,,,
,,,,,,,,Devaram,1,0.000353,,,,,,,,,,,,
,,,,,,,,Devarapalle,1,0.000353,,,,,,,,,,,,
,,,,,,,,Devavaram,16,0.005648,,,,,,,,,,,,
,,,,,,,,Devulapalle,5,0.001765,,,,,,,,,,,,
,,,,,,,,Devunikanapaka,2,0.000706,,,,,,,,,,,,
,,,,,,,,Devunikollam,1,0.000353,,,,,,,,,,,,
,,,,,,,,Dhanukuvada,2,0.000706,,,,,,,,,,,,
,,,,,,,,Dharmapuram,2,0.000706,,,,,,,,,,,,
,,,,,,,,Dharmapuri,2,0.000706,,,,,,,,,,,,
,,,,,,,,Dharmarao Cheruvupalle,1,0.000353,,,,,,,,,,,,
,,,,,,,,Dharmasagaram,2,0.000706,,,,,,,,,,,,
,,,,,,,,Dharmavaram,1,0.000353,,,,,,,,,,,,
,,,,,,,,Dhone @ Dronachalam,4,0.001412,,,,,,,,,,,,
,,,,,,,,Dhulikuppa,1,0.000353,,,,,,,,,,,,
,,,,,,,,Diguva Sivada,1,0.000353,,,,,,,,,,,,
,,,,,,,,Diguvagottiveedu,6,0.002118,,,,,,,,,,,,
,,,,,,,,Diguvapadu,1,0.000353,,,,,,,,,,,,
,,,,,,,,Diguvapalle,10,0.00353,,,,,,,,,,,,
,,,,,,,,Diguvaveedhi,1,0.000353,,,,,,,,,,,,
,,,,,,,,Diguvuru,1,0.000353,,,,,,,,,,,,
,,,,,,,,Dimili,4,0.001412,,,,,,,,,,,,
,,,,,,,,Dimmidijola,1,0.000353,,,,,,,,,,,,
,,,,,,,,Dinnepadu,3,0.001059,,,,,,,,,,,,
,,,,,,,,Dippakayalapadu,3,0.001059,,,,,,,,,,,,
,,,,,,,,Dirasavancha,1,0.000353,,,,,,,,,,,,
,,,,,,,,Dirisavancha,8,0.002824,,,,,,,,,,,,
,,,,,,,,Doddavaram,2,0.000706,,,,,,,,,,,,
,,,,,,,,Doddi Chintala,7,0.002471,,,,,,,,,,,,
,,,,,,,,Doddipalle,10,0.00353,,,,,,,,,,,,
,,,,,,,,Dokiseela,1,0.000353,,,,,,,,,,,,
,,,,,,,,Dolagovindapuram,1,0.000353,,,,,,,,,,,,
,,,,,,,,Domalapalle,1,0.000353,,,,,,,,,,,,
,,,,,,,,Dommigani Gadabavalasa,1,0.000353,,,,,,,,,,,,
,,,,,,,,Donakonda,2,0.000706,,,,,,,,,,,,
,,,,,,,,Donimukkala,2,0.000706,,,,,,,,,,,,
,,,,,,,,Donkada,1,0.000353,,,,,,,,,,,,
,,,,,,,,Donkalakotha Patnam,1,0.000353,,,,,,,,,,,,
,,,,,,,,Donkumanipalle,5,0.001765,,,,,,,,,,,,
,,,,,,,,Donnikota,66,0.023298,,,,,,,,,,,,
,,,,,,,,Doramamidi,1,0.000353,,,,,,,,,,,,
,,,,,,,,Dorigallu,2,0.000706,,,,,,,,,,,,
,,,,,,,,Dornala,2,0.000706,,,,,,,,,,,,
,,,,,,,,Dornipadu,1,0.000353,,,,,,,,,,,,
,,,,,,,,Dosalapadu,1,0.000353,,,,,,,,,,,,
,,,,,,,,Doulathapuram,1,0.000353,,,,,,,,,,,,
,,,,,,,,Dronadula,4,0.001412,,,,,,,,,,,,
,,,,,,,,Duddekunta,1,0.000353,,,,,,,,,,,,
,,,,,,,,Dudekonda,2,0.000706,,,,,,,,,,,,
,,,,,,,,Dudyala,5,0.001765,,,,,,,,,,,,
,,,,,,,,DUGGADA,1,0.000353,,,,,,,,,,,,
,,,,,,,,Duggumarri,1,0.000353,,,,,,,,,,,,
,,,,,,,,Dummeda,1,0.000353,,,,,,,,,,,,
,,,,,,,,Dumpalagattu,1,0.000353,,,,,,,,,,,,
,,,,,,,,Dunnavuru,1,0.000353,,,,,,,,,,,,
,,,,,,,,Dupadu,3,0.001059,,,,,,,,,,,,
,,,,,,,,Duppalavalasa,1,0.000353,,,,,,,,,,,,
,,,,,,,,Durgarajapuram,6,0.002118,,,,,,,,,,,,
,,,,,,,,Durgasamudram,2,0.000706,,,,,,,,,,,,
,,,,,,,,Durgi,7,0.002471,,,,,,,,,,,,
,,,,,,,,Eachaneri,9,0.003177,,,,,,,,,,,,
,,,,,,,,East Kodipalle,7,0.002471,,,,,,,,,,,,
,,,,,,,,Edamakallu,2,0.000706,,,,,,,,,,,,
,,,,,,,,Edara,5,0.001765,,,,,,,,,,,,
,,,,,,,,Edavali,1,0.000353,,,,,,,,,,,,
,,,,,,,,Edavalli,4,0.001412,,,,,,,,,,,,
,,,,,,,,Edduladoddi,5,0.001765,,,,,,,,,,,,
,,,,,,,,Eddulapalle,3,0.001059,,,,,,,,,,,,
,,,,,,,,Eddupenta,4,0.001412,,,,,,,,,,,,
,,,,,,,,Edubadu,2,0.000706,,,,,,,,,,,,
,,,,,,,,Edula Mustur,1,0.000353,,,,,,,,,,,,
,,,,,,,,Edulagudem,1,0.000353,,,,,,,,,,,,
,,,,,,,,Edupuram,1,0.000353,,,,,,,,,,,,
,,,,,,,,Edurapalle,1,0.000353,,,,,,,,,,,,
,,,,,,,,Edurudona,2,0.000706,,,,,,,,,,,,
,,,,,,,,Edurupadu,2,0.000706,,,,,,,,,,,,
,,,,,,,,Edurur,2,0.000706,,,,,,,,,,,,
,,,,,,,,Eguvagottiveedu,14,0.004942,,,,,,,,,,,,
,,,,,,,,Eguvanelatur,1,0.000353,,,,,,,,,,,,
,,,,,,,,Ekarlapalle,10,0.00353,,,,,,,,,,,,
,,,,,,,,Elakkuntla,2,0.000706,,,,,,,,,,,,
,,,,,,,,Elamandyam,1,0.000353,,,,,,,,,,,,
,,,,,,,,Elavanellore,2,0.000706,,,,,,,,,,,,
,,,,,,,,Elchur,1,0.000353,,,,,,,,,,,,
,,,,,,,,Ellamanda,6,0.002118,,,,,,,,,,,,
,,,,,,,,Ellapalle,2,0.000706,,,,,,,,,,,,
,,,,,,,,Ellareddipalle,1,0.000353,,,,,,,,,,,,
,,,,,,,,Ellutla,3,0.001059,,,,,,,,,,,,
,,,,,,,,Elukuntla,3,0.001059,,,,,,,,,,,,
,,,,,,,,Emboy,1,0.000353,,,,,,,,,,,,
,,,,,,,,Empedu,6,0.002118,,,,,,,,,,,,
,,,,,,,,Enamadala,2,0.000706,,,,,,,,,,,,
,,,,,,,,Endluru,2,0.000706,,,,,,,,,,,,
,,,,,,,,Enugondapalem,27,0.009531,,,,,,,,,,,,
,,,,,,,,Enugupalem,1,0.000353,,,,,,,,,,,,
,,,,,,,,Eradikera,2,0.000706,,,,,,,,,,,,
,,,,,,,,Erlampalle,1,0.000353,,,,,,,,,,,,
,,,,,,,,Errabommanapalle,1,0.000353,,,,,,,,,,,,
,,,,,,,,Erracheruvupalle,8,0.002824,,,,,,,,,,,,
,,,,,,,,Erragudi,1,0.000353,,,,,,,,,,,,
,,,,,,,,Erragudidinne,1,0.000353,,,,,,,,,,,,
,,,,,,,,Erramanchi,5,0.001765,,,,,,,,,,,,
,,,,,,,,Erramatam,1,0.000353,,,,,,,,,,,,
,,,,,,,,Errampalle,2,0.000706,,,,,,,,,,,,
,,,,,,,,Eswarapalle Chowduvada,4,0.001412,,,,,,,,,,,,
,,,,,,,,Ethamukkala,1,0.000353,,,,,,,,,,,,
,,,,,,,,Ethodu,12,0.004236,,,,,,,,,,,,
,,,,,,,,Eturu,1,0.000353,,,,,,,,,,,,
,,,,,,,,Forest,257,0.090721,,,,,,,,,,,,
,,,,,,,,G.Bheemavaram,1,0.000353,,,,,,,,,,,,
,,,,,,,,G.JagannadhaPuram,1,0.000353,,,,,,,,,,,,
,,,,,,,,G.Jambuladinne,2,0.000706,,,,,,,,,,,,
,,,,,,,,G.Kothapalle,1,0.000353,,,,,,,,,,,,
,,,,,,,,G.Singavaram,2,0.000706,,,,,,,,,,,,
,,,,,,,,Gaddamvaripalle,5,0.001765,,,,,,,,,,,,
,,,,,,,,Gaddapuvalasa,3,0.001059,,,,,,,,,,,,
,,,,,,,,Gadela,1,0.000353,,,,,,,,,,,,
,,,,,,,,Gadikota,7,0.002471,,,,,,,,,,,,
,,,,,,,,Gadisingupuram,1,0.000353,,,,,,,,,,,,
,,,,,,,,Gajapathinagarm,14,0.004942,,,,,,,,,,,,
,,,,,,,,Gajarampalle,1,0.000353,,,,,,,,,,,,
,,,,,,,,Gajjala Konda,2,0.000706,,,,,,,,,,,,
,,,,,,,,Gajulapellore,5,0.001765,,,,,,,,,,,,
,,,,,,,,Galijerugulla,9,0.003177,,,,,,,,,,,,
,,,,,,,,Galivaripalle,3,0.001059,,,,,,,,,,,,
,,,,,,,,Galiveedu,9,0.003177,,,,,,,,,,,,
,,,,,,,,Gambheeram,1,0.000353,,,,,,,,,,,,
,,,,,,,,Gamkonda,5,0.001765,,,,,,,,,,,,
,,,,,,,,Gamparai,1,0.000353,,,,,,,,,,,,
,,,,,,,,Ganapavaram,1,0.000353,,,,,,,,,,,,
,,,,,,,,Gandaboyanapalle,1,0.000353,,,,,,,,,,,,
,,,,,,,,Gandaluru,3,0.001059,,,,,,,,,,,,
,,,,,,,,Gandigundam,2,0.000706,,,,,,,,,,,,
,,,,,,,,Gandikovvur,3,0.001059,,,,,,,,,,,,
,,,,,,,,Gandla Seetharam Puram,1,0.000353,,,,,,,,,,,,
,,,,,,,,Gandladinne,3,0.001059,,,,,,,,,,,,
,,,,,,,,Gandlapenta,1,0.000353,,,,,,,,,,,,
,,,,,,,,Gandrajupalle,4,0.001412,,,,,,,,,,,,
,,,,,,,,Ganesuni Palle,3,0.001059,,,,,,,,,,,,
,,,,,,,,Ganga Palem,2,0.000706,,,,,,,,,,,,
,,,,,,,,Gangadharanellore,3,0.001059,,,,,,,,,,,,
,,,,,,,,Gangamambapuram,1,0.000353,,,,,,,,,,,,
,,,,,,,,Gangampalle,9,0.003177,,,,,,,,,,,,
,,,,,,,,Ganganapalle,3,0.001059,,,,,,,,,,,,
,,,,,,,,Gangannapadu,1,0.000353,,,,,,,,,,,,
,,,,,,,,Gangaperuru,1,0.000353,,,,,,,,,,,,
,,,,,,,,Gangarajapuram,7,0.002471,,,,,,,,,,,,
,,,,,,,,Gangaram,1,0.000353,,,,,,,,,,,,
,,,,,,,,Gangasani Agraharam,1,0.000353,,,,,,,,,,,,
,,,,,,,,Gangavaram,8,0.002824,,,,,,,,,,,,
,,,,,,,,Gangayapalle,1,0.000353,,,,,,,,,,,,
,,,,,,,,Ganginepalle,1,0.000353,,,,,,,,,,,,
,,,,,,,,Gangolu,1,0.000353,,,,,,,,,,,,
,,,,,,,,Ganguvada,1,0.000353,,,,,,,,,,,,
,,,,,,,,Ganigera,8,0.002824,,,,,,,,,,,,
,,,,,,,,Ganna Varam,2,0.000706,,,,,,,,,,,,
,,,,,,,,Gannavaram,4,0.001412,,,,,,,,,,,,
,,,,,,,,Gannepalle,4,0.001412,,,,,,,,,,,,
,,,,,,,,Gantyada,1,0.000353,,,,,,,,,,,,
,,,,,,,,Ganuga Penta,6,0.002118,,,,,,,,,,,,
,,,,,,,,Ganugapenta,9,0.003177,,,,,,,,,,,,
,,,,,,,,Garbham,4,0.001412,,,,,,,,,,,,
,,,,,,,,Garellavalasa,1,0.000353,,,,,,,,,,,,
,,,,,,,,Gargeyapuram,3,0.001059,,,,,,,,,,,,
,,,,,,,,Garigalapalle,1,0.000353,,,,,,,,,,,,
,,,,,,,,Garikapeta,3,0.001059,,,,,,,,,,,,
,,,,,,,,Garikipalem,1,0.000353,,,,,,,,,,,,
,,,,,,,,Garimana Penta,2,0.000706,,,,,,,,,,,,
,,,,,,,,Garimellakotha Valasa,1,0.000353,,,,,,,,,,,,
,,,,,,,,Garimenapenta,7,0.002471,,,,,,,,,,,,
,,,,,,,,Garinivalasa,1,0.000353,,,,,,,,,,,,
,,,,,,,,Gariselapalle,1,0.000353,,,,,,,,,,,,
,,,,,,,,Garisingi,3,0.001059,,,,,,,,,,,,
,,,,,,,,Garladinne,1,0.000353,,,,,,,,,,,,
,,,,,,,,Garnimitta,1,0.000353,,,,,,,,,,,,
,,,,,,,,Garudachedu,1,0.000353,,,,,,,,,,,,
,,,,,,,,Garudapuram,1,0.000353,,,,,,,,,,,,
,,,,,,,,Garugubilli,1,0.000353,,,,,,,,,,,,
,,,,,,,,Garugupalle,1,0.000353,,,,,,,,,,,,
,,,,,,,,Gathalavalasa,2,0.000706,,,,,,,,,,,,
,,,,,,,,Gavaravaram,1,0.000353,,,,,,,,,,,,
,,,,,,,,Gedalapoluru,3,0.001059,,,,,,,,,,,,
,,,,,,,,Geddakancharam,1,0.000353,,,,,,,,,,,,
,,,,,,,,Gesikapalle,22,0.007766,,,,,,,,,,,,
,,,,,,,,Ghanasara,5,0.001765,,,,,,,,,,,,
,,,,,,,,Giddalur,1,0.000353,,,,,,,,,,,,
,,,,,,,,Giddaluru,1,0.000353,,,,,,,,,,,,
,,,,,,,,Giddamakarajapuram,14,0.004942,,,,,,,,,,,,
,,,,,,,,Gidijala,2,0.000706,,,,,,,,,,,,
,,,,,,,,Gobburuvaripalle,1,0.000353,,,,,,,,,,,,
,,,,,,,,Gochekka,1,0.000353,,,,,,,,,,,,
,,,,,,,,Godavaripuram,2,0.000706,,,,,,,,,,,,
,,,,,,,,Godduvelagala,3,0.001059,,,,,,,,,,,,
,,,,,,,,Godicherla,3,0.001059,,,,,,,,,,,,
,,,,,,,,Godlaveedu,1,0.000353,,,,,,,,,,,,
,,,,,,,,Goguladinne,1,0.000353,,,,,,,,,,,,
,,,,,,,,Gokarlapalle,1,0.000353,,,,,,,,,,,,
,,,,,,,,Gokarnapalle,2,0.000706,,,,,,,,,,,,
,,,,,,,,Gokarnapuram,5,0.001765,,,,,,,,,,,,
,,,,,,,,Golagam,7,0.002471,,,,,,,,,,,,
,,,,,,,,Goliyaputti,2,0.000706,,,,,,,,,,,,
,,,,,,,,Golla,5,0.001765,,,,,,,,,,,,
,,,,,,,,Golla Palle,3,0.001059,,,,,,,,,,,,
,,,,,,,,Gollagutta,3,0.001059,,,,,,,,,,,,
,,,,,,,,Gollalagudur,1,0.000353,,,,,,,,,,,,
,,,,,,,,Gollalapalem,3,0.001059,,,,,,,,,,,,
,,,,,,,,Gollamudi,1,0.000353,,,,,,,,,,,,
,,,,,,,,Gollapalem,1,0.000353,,,,,,,,,,,,
,,,,,,,,Gollapalle,19,0.006707,,,,,,,,,,,,
,,,,,,,,Gollapuram,2,0.000706,,,,,,,,,,,,
,,,,,,,,Gollasaradhi,2,0.000706,,,,,,,,,,,,
,,,,,,,,Gollavidipi,3,0.001059,,,,,,,,,,,,
,,,,,,,,Gongivaripalle,1,0.000353,,,,,,,,,,,,
,,,,,,,,Gonipeta,11,0.003883,,,,,,,,,,,,
,,,,,,,,Gonumakulapalle,3,0.001059,,,,,,,,,,,,
,,,,,,,,Gooty (Rural),1,0.000353,,,,,,,,,,,,
,,,,,,,,Gooty Ananta Puram,1,0.000353,,,,,,,,,,,,
,,,,,,,,Gooty Erragudi,4,0.001412,,,,,,,,,,,,
,,,,,,,,Gopagudipalle,8,0.002824,,,,,,,,,,,,
,,,,,,,,Gopakeli,2,0.000706,,,,,,,,,,,,
,,,,,,,,Gopalapatnam,1,0.000353,,,,,,,,,,,,
,,,,,,,,Gopalapuram,4,0.001412,,,,,,,,,,,,
,,,,,,,,Gopalarayudupeta,2,0.000706,,,,,,,,,,,,
,,,,,,,,Gopavaram,6,0.002118,,,,,,,,,,,,
,,,,,,,,Gopavarapugudem,1,0.000353,,,,,,,,,,,,
,,,,,,,,Gopepalle,1,0.000353,,,,,,,,,,,,
,,,,,,,,Gopichettipalle,1,0.000353,,,,,,,,,,,,
,,,,,,,,Gopidinne,2,0.000706,,,,,,,,,,,,
,,,,,,,,Gopivallabhapuram,1,0.000353,,,,,,,,,,,,
,,,,,,,,Goridindla,3,0.001059,,,,,,,,,,,,
,,,,,,,,Gorivimakulapalle,7,0.002471,,,,,,,,,,,,
,,,,,,,,Gorre Padu,1,0.000353,,,,,,,,,,,,
,,,,,,,,Gosaveedu,1,0.000353,,,,,,,,,,,,
,,,,,,,,Gosukonda Agraharam,2,0.000706,,,,,,,,,,,,
,,,,,,,,Gotiwada,1,0.000353,,,,,,,,,,,,
,,,,,,,,Gotlagattu,1,0.000353,,,,,,,,,,,,
,,,,,,,,Gotlam,2,0.000706,,,,,,,,,,,,
,,,,,,,,Gotlamitta,6,0.002118,,,,,,,,,,,,
,,,,,,,,Gottipalle,2,0.000706,,,,,,,,,,,,
,,,,,,,,Gottivalasa,2,0.000706,,,,,,,,,,,,
,,,,,,,,Gottumukkala,3,0.001059,,,,,,,,,,,,
,,,,,,,,Gotur,1,0.000353,,,,,,,,,,,,
,,,,,,,,Gounithimmepalle,2,0.000706,,,,,,,,,,,,
,,,,,,,,Govardhanagiri,1,0.000353,,,,,,,,,,,,
,,,,,,,,Govardhanapuram,12,0.004236,,,,,,,,,,,,
,,,,,,,,Govindapalle,1,0.000353,,,,,,,,,,,,
