752,15,0.005295
753,5,0.001765
755,70,0.02471
757,3,0.001059
758,51,0.018003
759,327,0.115431
760,2,0.000706
761,1,0.000353
763,162,0.057186
764,6,0.002118
803,4,0.001412
804,9,0.003177
805,18,0.006354
806,10,0.00353
807,5,0.001765
808,49,0.017297
809,18,0.006354
810,35,0.012355
811,10,0.00353
812,16,0.005648
813,8,0.002824
814,17,0.006001
817,95,0.033535
819,51,0.018003
820,16,0.005648
821,33,0.011649
823,35,0.012355
824,39,0.013767
825,25,0.008825
826,30,0.01059
827,44,0.015532
828,48,0.016944
829,11,0.003883
830,13,0.004589
831,76,0.026828
832,147,0.051891
833,16,0.005648
834,97,0.034241
835,7,0.002471
836,70,0.02471
837,94,0.033182
838,18,0.006354
839,97,0.034241
841,5,0.001765
845,11,0.003883
846,3,0.001059
848,13,0.004589
849,1,0.000353
854,14,0.004942
856,2,0.000706
857,59,0.020827
859,10,0.00353
860,4,0.001412
861,19,0.006707
862,16,0.005648
901,74,0.026122
902,106,0.037418
903,34,0.012002
906,9,0.003177
907,58,0.020474
908,27,0.009531
909,14,0.004942
910,28,0.009884
911,153,0.054009
912,160,0.05648
913,24,0.008472
914,71,0.025063
915,56,0.019768
920,4,0.001412
922,30,0.01059
923,6,0.002118
924,131,0.046243
928,23,0.008119
930,25,0.008825
931,13,0.004589
937,8,0.002824
1001,20,0.00706
1002,2,0.000706
1003,12,0.004236
1004,36,0.012708
1005,6,0.002118
1006,5,0.001765
1007,12,0.004236
1008,13,0.004589
1009,59,0.020827
1010,7,0.002471
1011,53,0.018709
1012,20,0.00706
1013,2,0.000706
1014,20,0.00706
1015,19,0.006707
1016,3,0.001059
1017,2,0.000706
1018,4,0.001412
1019,7,0.002471
1020,6,0.002118
1022,1,0.000353
1024,2,0.000706
1025,1,0.000353
1026,13,0.004589
1027,17,0.006001
1028,9,0.003177
1029,54,0.019062
1030,3,0.001059
1031,10,0.00353
1032,11,0.003883
1033,8,0.002824
1034,18,0.006354
1035,12,0.004236
1036,10,0.00353
1037,16,0.005648
1038,4,0.001412
1039,86,0.030358
1040,29,0.010237
1041,2,0.000706
1042,4,0.001412
1043,14,0.004942
1044,56,0.019768
1045,22,0.007766
1046,5,0.001765
1047,5,0.001765
1048,49,0.017297
1049,4,0.001412
1050,8,0.002824
1051,11,0.003883
1052,4,0.001412
1053,8,0.002824
1054,15,0.005295
1055,5,0.001765
1056,14,0.004942
1057,16,0.005648
1058,10,0.00353
1059,99,0.034947
1060,17,0.006001
1061,1,0.000353
1062,21,0.007413
1066,2,0.000706
1067,3,0.001059
1068,33,0.011649
1069,28,0.009884
1070,10,0.00353
1071,30,0.01059
1072,15,0.005295
1073,15,0.005295
1075,9,0.003177
1101,7,0.002471
1103,2,0.000706
1104,15,0.005295
1106,1,0.000353
1108,1,0.000353
1109,10,0.00353
1110,6,0.002118
1111,22,0.007766
1112,6,0.002118
1113,5,0.001765
1114,4,0.001412
1115,33,0.011649
1118,4,0.001412
1119,13,0.004589
1122,8,0.002824
1123,2,0.000706
1124,5,0.001765
1125,7,0.002471
1126,10,0.00353
1127,3,0.001059
1129,1,0.000353
1131,4,0.001412
1132,1,0.000353
1133,5,0.001765
1134,2,0.000706
1135,11,0.003883
1136,15,0.005295
1138,10,0.00353
1139,6,0.002118
1140,5,0.001765
1141,11,0.003883
1142,12,0.004236
1143,2,0.000706
1144,1,0.000353
1145,6,0.002118
1147,19,0.006707
1148,5,0.001765
1149,27,0.009531
1150,3,0.001059
1151,28,0.009884
1152,29,0.010237
1153,10,0.00353
1155,2,0.000706
1157,1,0.000353
1159,4,0.001412
1160,2,0.000706
1161,14,0.004942
