Seethampeta;Puttigam; 0100713001030100;21.04.16;160;5;2;5
Mandasa;Puttulogam;0100233056041400;29.04.2016;514;5;1;
Santhabommali;R.Sunnapalli; 0100329020021700;12.04.2016;271;5;1;
Santhabommali;R.Sunnapalli;100329020021700;25.05.2015;271;5.KL;1;5
Mandasa;Raikola;0100233022051400;29.04.2016;185;5;1;
Santhabommali;Rajapuram; 0100429020011700;12.04.2016;119;5;1;
Santhabommali;Rajapuram;100429020011700;25.05.2015;119;5.KL;1;5
Seethampeta;Rajugadiguda; 0100713002010101;21.04.16;61;5;2;5
Palasa;Ramakrishnapuram Colony;0100232007020200;27.04.2016;65;5;1;
Seethampeta;Ramanagaram; 0100713010010700;25.04.16;265;5;2;5
Seethampeta;Ramanna  guda;0100713071071800;20.04.16;120;5;2;10
Mandasa;Ramarai;0100233056031400;29.04.2016;404;5;1;
Kotabommali;Ramayyapeta;0100428010030800;13.04.2016;612;5;4;
Nandigam;Rampuram;0100330086012800;06.05.2016;380;5;2;
Sompeta;Ranigam(Andalapeta);0100234038022300;05.05.2016;721;5;3;
Pathapatnam;Rankini;0100625031051600;24.04.2016;379;5;2;
Palasa;Regulapadu;0100332071031900;22.04.2016;348;5;0.5;
Polaki;Regupadu;0100421010020800;25.04.2016;843;5;1;
Mandasa;Sabakota;0100233011041000;24.04.2016;396;5;1;
Seethampeta;Salabanpadu; 0100713002020104;21.04.16;83;5;2;5
Santhabommali;Sandipeta; 0100329021011800;12.04.2016;463;5;0.5;
Seethampeta;Sankili; 0100713003150300;20.04.16;220;5;2;5
Santhabommali;Seetharampuram;100329012040900;23/5/2015;321;5.KL;2;10
Mandasa;Singupuram;0100233011011000;24.04.2016;225;5;1;
Palasa;Siripuram;100232013050600;25.05.2015;271;5.KL;0.5;2.5
Kotabommali;Somanadhapuram;0100428016061500;22.04.2016;393;5;1;
Seethampeta;Sunnaiduguda; 0100713046121500;21.04.16;61;5;2;5
Vajrapukotturu;Suryamanipuram(D.Cheepurupalli);0100331058025900;01.05.2016;242;5;1;
Seethampeta;Tabelluvalasa; 0112913004110400;21.04.16;89;5;2;5
Mandasa;Tangaraputti;0100233022061400;29.04.2016;184;5;1;
