District,count,,Mandal,Count,,Village,Count,,Basin,Count,,Subbasin,Count,,Microbasin,Count
,,,PEDAPARUPUDI,877,,Baguvalasa,15,,,,,,,,1104,355
,,,PEDAVEGI,41,,Bahubalendrunigudem,8,,,,,,,,1105,271
,,,PEDDA KADUBUR,3131,,Bairaganipalle (Rural),1,,,,,,,,1106,1938
,,,PEDDAMANDYAM,1,,Bairupalle,8,,,,,,,,1107,1865
,,,PEDDAMUDIUM,26,,Bakarapuram,1,,,,,,,,1108,938
,,,PENAMALURU,1482,,Bala Puram,60,,,,,,,,1115,210
,,,PENDLIMARRI,68,,Baladur,29,,,,,,,,1121,12
,,,PENDURTHI,10,,Balagudaba,2,,,,,,,,1124,74
,,,PENUGANCHIPROLU,1115,,Balapanur,52,,,,,,,,1126,169
,,,PODILI,3546,,Balavenkata Puram,21,,,,,,,,1127,1139
,,,PONNALURU,926,,Balayapalle,228,,,,,,,,1128,565
,,,PORUMAMILLA,16,,Balive,138,,,,,,,,1129,66
,,,PRODDATUR,69,,Ballakrishnapuram,4,,,,,,,,1130,469
,,,PULIVENDLA,67,,Ballavaram,16,,,,,,,,1131,1373
,,,PULLALACHERUVU,4642,,Ballekallu,126,,,,,,,,1132,648
,,,PUSAPATIREGA,28,,Balli Palle,131,,,,,,,,1133,964
,,,RACHERLA,2364,,Ballikurava,44,,,,,,,,1134,611
,,,RAJAM,1,,Balliparru,61,,,,,,,,1135,7
,,,RAJAMPET,3,,Ballur,58,,,,,,,,1137,11
,,,RAJUPALEM,11,,Balusupadu,43,,,,,,,,1141,646
,,,RAMABHADRAPURAM,84,,Banaganapalle,224,,,,,,,,1142,1955
,,,RAMACHANDRAPURAM,5,,Banavanur,24,,,,,,,,1143,1326
,,,RAMAKUPPAM,58,,Banavasi,244,,,,,,,,1144,19
,,,RANASTALAM,6,,Bandaluppi,21,,,,,,,,1145,1
,,,RAYACHOTI,2,,Bandameedi Agraharam,1,,,,,,,,1146,42
,,,RAYAVARAM,6,,Bandarlapalle,4,,,,,,,,1147,1001
,,,REDDIGUDEM,1315,,Bandarugudem,28,,,,,,,,1149,1134
,,,REGIDIAMADALAVALASA,1,,Bandellapaya,129,,,,,,,,1150,64
,,,RENIGUNTA,1,,Bandi Atmakur,345,,,,,,,,1157,60
,,,ROMPICHERLA,3,,Bandipalem,18,,,,,,,,1159,221
,,,RUDRAVARAM,4468,,Bandiveligandla,28,,,,,,,,1160,222
,,,SALUR,440,,Bandlamudi,178,,,,,,,,1161,413
,,,SAMBEPALLE,648,,Bangarammapeta,1,,,,,,,,1176,1824
,,,SANJAMALA,1762,,Bangaruvalasa,1,,,,,,,,1177,26
,,,SANTHAKAVITI,1,,Bankuruvalasa,2,,,,,,,,1227,8
,,,SANTHAMAGULURU,494,,Bannur,336,,,,,,,,1228,9
,,,SANTHANUTHALA PADU,420,,Bantakunta,26,,,,,,,,1266,20
,,,SANTHIPURAM,230,,Bantanahal,14,,,,,,,,1280,3
,,,SAVALYAPURAM,1,,Bantumakkuva,1,,,,,,,,1287,38
,,,SEETHANAGARAM,39,,Banumukkala,118,,,,,,,,1290,80
,,,SIDHOUT,2617,,Bapaladoddi,75,,,,,,,,1301,1016
,,,SINGARAYAKONDA,360,,Bapatla West (Rural),1,,,,,,,,1302,3123
,,,SIRVEL,2974,,Bapirajugudem,1,,,,,,,,1303,1330
,,,SRI AVADHUTHA KASINAYANA,2020,,Bapulapadu,59,,,,,,,,1304,5443
,,,TALUPULA,2,,Bapuram,41,,,,,,,,1305,3145
,,,TANGUTUR,595,,Barlapudi,46,,,,,,,,1306,2284
,,,TARLUPADU,2353,,Barli,6,,,,,,,,1307,1819
,,,THALLUR,6635,,Basaladoddi,117,,,,,,,,1308,481
,,,THERLAM,437,,Basapuram,102,,,,,,,,1309,1274
,,,THOTLAVALLURU,3687,,Basarakodu,112,,,,,,,,1310,1748
,,,THULLUR,2,,Basava Puram,45,,,,,,,,1311,196
,,,TIRUVURU,2206,,Basavapuram,192,,,,,,,,1312,720
,,,TRIPURANTHAKAM,5415,,Basine Palle,334,,,,,,,,1313,3100
,,,TUGGALI,1492,,Basireddy Palem,118,,,,,,,,1314,1106
,,,ULAVAPADU,2707,,Bastipadu,480,,,,,,,,1315,2356
,,,UNGUTURU,1242,,Batchalakurapadu,121,,,,,,,,1316,1929
,,,UYYALAWADA,1533,,Bathalur,143,,,,,,,,1317,1986
,,,VALLUR,52,,Bathinapadu,1,,,,,,,,1318,3282
,,,VANGARA,4,,Bathulavarigudem,95,,,,,,,,1319,489
,,,VARARAMACHANDRAPURAM,3,,Bathulurupadu,17,,,,,,,,1320,2088
,,,VARIKUNTAPADU,153,,Batra Bommalapuram,51,,,,,,,,1321,2414
,,,VATSAVAI,1250,,Battepadu,99,,,,,,,,1322,772
,,,VAYALPAD,7,,Battupalle,79,,,,,,,,1323,3675
,,,VEERAPUNAYUNIPALLE,2021,,Bayya Varam,11,,,,,,,,1324,830
,,,VEERULLAPADU,874,,Bayyapu Kodur,75,,,,,,,,1325,1825
,,,VELDURTHI,3151,,Bedusu Palle,63,,,,,,,,1326,409
,,,VELGODE,1265,,Beeravolu,87,,,,,,,,1327,2375
,,,VELIGANDLA,1202,,Beggilipalle,23,,,,,,,,1328,3029
,,,VEMPALLE,1048,,Belagallu,359,,,,,,,,1329,2283
,,,VEMULA,1134,,Beldona,10,,,,,,,,1330,355
,,,VENKATAGIRIKOTA,175,,Bellakogila,28,,,,,,,,1331,2168
,,,VETAPALEM,573,,Bellamkondavari Palem,317,,,,,,,,1332,520
,,,VIDAPANAKAL,7,,Bellavaram,141,,,,,,,,1333,1557
,,,VIJAYAWADA (RURAL),991,,Belumsingavaram,90,,,,,,,,1334,2077
,,,VIJAYAWADA (URBAN),71,,Bendanakuppam,2,,,,,,,,1335,1135
,,,VINUKONDA,3,,Benigeri,48,,,,,,,,1336,3432
,,,VISAKHAPATNAM,19,,Bennayanuru,15,,,,,,,,1337,856
,,,VISAKHAPATNAM(U),1,,Bestawaripeta,45,,,,,,,,1338,1692
,,,VISSANNAPET,3356,,Bethamcherla,243,,,,,,,,1339,3975
,,,VIZIANAGARAM,6,,Bethavolu  (Rural),1,,,,,,,,1340,1909
,,,VOLETIVARIPALEM,1063,,Bevinhal,68,,,,,,,,1341,3057
,,,VONTIMITTA,2149,,Bhagiradhipuram,5,,,,,,,,1342,1817
,,,VUYYURU,1723,,Bhagirathipuram Agraharam,3,,,,,,,,1343,1603
,,,YADIKI,17,,Bhanumukkala,251,,,,,,,,1344,230
,,,YEDDANAPUDI,37,,Bhatla Machavaram,36,,,,,,,,1345,1185
,,,YEMMIGANUR,4255,,Bhatla Palle,27,,,,,,,,1347,1259
,,,YERRAGONDAPALEM,4287,,Bhatla Penumarru,63,,,,,,,,1348,2386
,,,YERRAGUNTLA,953,,Bheemavaram,275,,,,,,,,1349,1127
,,,ZARUGUMILLI,670,,Bheemunipadu,5,,,,,,,,1350,2649
,,,(blank),,,Bhimavaram,74,,,,,,,,1351,829
,,,Grand Total,322577,,Bhimavarappadu,97,,,,,,,,1352,2203
,,,,,,Bhogapuram,2,,,,,,,,1353,1559
,,,,,,Bhogolu,209,,,,,,,,1354,713
,,,,,,Bhojanam,100,,,,,,,,1355,1174
,,,,,,Bhojarajapuram,2,,,,,,,,1356,284
,,,,,,Bhoolokapathivarakattu,42,,,,,,,,1357,485
,,,,,,Bhumanapalle,20,,,,,,,,1358,2283
,,,,,,Bhupana Guntla,26,,,,,,,,1359,1895
,,,,,,Bhupanapadu,1,,,,,,,,1360,556
,,,,,,Bhupathi Palle,341,,,,,,,,1361,743
,,,,,,Bhushanagulla (Rural),35,,,,,,,,1362,761
,,,,,,Bhusura Palle,47,,,,,,,,1364,19
,,,,,,Bhyripuram,16,,,,,,,,1365,871
,,,,,,Bijinavemula,108,,,,,,,,1366,764
,,,,,,Bilakala Gudur,266,,,,,,,,1367,2091
,,,,,,Bilehal,112,,,,,,,,1370,23
,,,,,,Billalapuram,11,,,,,,,,1371,934
,,,,,,Billalavalasa,7,,,,,,,,1372,707
,,,,,,Billanapalle,104,,,,,,,,1373,744
,,,,,,Billapadu (Rural),12,,,,,,,,1374,2453
,,,,,,Billekallu,181,,,,,,,,1375,1448
,,,,,,Bingini Palle,85,,,,,,,,1376,208
,,,,,,Birudugadda,16,,,,,,,,1377,649
,,,,,,Bisanatham,9,,,,,,,,1378,926
,,,,,,Biyyalavalasa,1,,,,,,,,1379,3150
,,,,,,Bobbarlanka,95,,,,,,,,(blank),
,,,,,,Bobbe Palle,101,,,,,,,,Grand Total,322577
,,,,,,Bobbellapadu,19,,,,,,,,,
,,,,,,Bobbili (M),2,,,,,,,,,
,,,,,,Bobbilivalasa,4,,,,,,,,,
,,,,,,Boda Padu,2,,,,,,,,,
,,,,,,Bodanampadu,145,,,,,,,,,
,,,,,,Bodavada,69,,,,,,,,,
,,,,,,Bodavula Dinne,3,,,,,,,,,
,,,,,,Boddanapalle,211,,,,,,,,,
,,,,,,Boddapadu,170,,,,,,,,,
,,,,,,Boddikura Padu,295,,,,,,,,,
,,,,,,Bodduvani Palem,187,,,,,,,,,
,,,,,,Bodduvanipalle,57,,,,,,,,,
,,,,,,Bodemmanur,56,,,,,,,,,
,,,,,,Boganampadu,111,,,,,,,,,
,,,,,,Bogolu,253,,,,,,,,,
,,,,,,Bokinala,30,,,,,,,,,
,,,,,,Bokkudupalle,3,,,,,,,,,
,,,,,,Bolla Palle,2,,,,,,,,,
,,,,,,Bollapadu,69,,,,,,,,,
,,,,,,Bollavaram,604,,,,,,,,,
,,,,,,Bollu Palle,90,,,,,,,,,
,,,,,,Bolugota,40,,,,,,,,,
,,,,,,Bommanampadu,21,,,,,,,,,
,,,,,,Bomminampadu,1,,,,,,,,,
,,,,,,Bommireddi Palle,108,,,,,,,,,
,,,,,,Bommuluru,115,,,,,,,,,
,,,,,,Bompalle,154,,,,,,,,,
,,,,,,Bonamala,3,,,,,,,,,
,,,,,,Bondala Padu,239,,,,,,,,,
,,,,,,Bondaladinne,67,,,,,,,,,
,,,,,,Bondalagunta,1,,,,,,,,,
,,,,,,Bondapalle,60,,,,,,,,,
,,,,,,Bondimadugula,142,,,,,,,,,
,,,,,,Bontalakoduru,11,,,,,,,,,
,,,,,,Bontha Vari Palle,27,,,,,,,,,
,,,,,,Bonthagunta Palle,6,,,,,,,,,
,,,,,,Boppadam,34,,,,,,,,,
,,,,,,Borabanda,1,,,,,,,,,
,,,,,,Boravancha,304,,,,,,,,,
,,,,,,Botla Gudur,55,,,,,,,,,
,,,,,,Boyada Gumpula,286,,,,,,,,,
,,,,,,Boyala Palle (S.H.O),65,,,,,,,,,
,,,,,,Boyala Tadipatri,67,,,,,,,,,
,,,,,,Boyala Uppalur,44,,,,,,,,,
,,,,,,Boyalakuntla,201,,,,,,,,,
,,,,,,Boyarevula,212,,,,,,,,,
,,,,,,Brahmabotlapalem,8,,,,,,,,,
,,,,,,Brahmana Palle,80,,,,,,,,,
,,,,,,Brahmanadoddi,536,,,,,,,,,
,,,,,,Brahmanakotkur,57,,,,,,,,,
,,,,,,Brahmanapalle,130,,,,,,,,,
,,,,,,Brundavanam,7,,,,,,,,,
,,,,,,Buchavaram,13,,,,,,,,,
,,,,,,Budamkayala Padu,2,,,,,,,,,
,,,,,,Budarayavalasa,45,,,,,,,,,
,,,,,,Budavada,182,,,,,,,,,
,,,,,,Budawada,43,,,,,,,,,
,,,,,,Buddavaram,25,,,,,,,,,
,,,,,,Budidapadu,41,,,,,,,,,
,,,,,,Budur,70,,,,,,,,,
,,,,,,Buduruvada,3,,,,,,,,,
,,,,,,Bugganapalli,199,,,,,,,,,
,,,,,,Bujanur,259,,,,,,,,,
,,,,,,Bukkapuram,604,,,,,,,,,
,,,,,,Burada Venkatapuram,1,,,,,,,,,
,,,,,,Buradapeta,16,,,,,,,,,
,,,,,,Burandoddi,469,,,,,,,,,
,,,,,,Burjavalasa (Near)  Amity,47,,,,,,,,,
,,,,,,Burravarigollala Palem,2,,,,,,,,,
,,,,,,Burugugudem,385,,,,,,,,,
,,,,,,Burugula,34,,,,,,,,,
,,,,,,Busayavalasa,2,,,,,,,,,
,,,,,,Butalakarrivalasa,54,,,,,,,,,
,,,,,,Buthumillipadu,1,,,,,,,,,
,,,,,,Bychigeri,191,,,,,,,,,
,,,,,,Byluppala,72,,,,,,,,,
,,,,,,Byrapuram,157,,,,,,,,,
,,,,,,Bytamanjulur,26,,,,,,,,,
,,,,,,C G Anantha Bhotla Vari Khandrika,15,,,,,,,,,
