District,count,,Mandal,Count,,Village,Count,,Basin,Count,,Subbasin,Count,,Microbasin,Count
,,,,,,Guravajipeta,153,,,,,,,,,
,,,,,,Gurazada,33,,,,,,,,,
,,,,,,Gurije Palle,347,,,,,,,,,
,,,,,,Gurijepalle,60,,,,,,,,,
,,,,,,Gurivindagunta,10,,,,,,,,,
,,,,,,Gurivindapalle,113,,,,,,,,,
,,,,,,Gurjepalle,2,,,,,,,,,
,,,,,,Gurla,8,,,,,,,,,
,,,,,,Gurrajupalem,57,,,,,,,,,
,,,,,,Gurrala Lanka,21,,,,,,,,,
,,,,,,Gurrala Madugu,28,,,,,,,,,
,,,,,,Gurraladoddi,36,,,,,,,,,
,,,,,,Gurrappadia,140,,,,,,,,,
,,,,,,Gurrapusala,686,,,,,,,,,
,,,,,,Gurrapuvalasa,1,,,,,,,,,
,,,,,,Gurujala,148,,,,,,,,,
,,,,,,Guruvareddy Palem,15,,,,,,,,,
,,,,,,Guruvinaidupeta,1,,,,,,,,,
,,,,,,Guruvinayuni Pedavalasa,3,,,,,,,,,
,,,,,,Gushini,104,,,,,,,,,
,,,,,,Gutchimi,1,,,,,,,,,
,,,,,,Guttapadu,4,,,,,,,,,
,,,,,,Guttapalle,35,,,,,,,,,
,,,,,,Gutupalle,208,,,,,,,,,
,,,,,,Guvvalakunta,33,,,,,,,,,
,,,,,,Hagaruru Thimmapuram,130,,,,,,,,,
,,,,,,Hajisahebpeta,1,,,,,,,,,
,,,,,,Halaharvi,221,,,,,,,,,
,,,,,,Haligera,82,,,,,,,,,
,,,,,,Halvi,105,,,,,,,,,
,,,,,,Hampa,146,,,,,,,,,
,,,,,,Hanavalu,36,,,,,,,,,
,,,,,,Handri Khairawadi,108,,,,,,,,,
,,,,,,Hanumanagutti,122,,,,,,,,,
,,,,,,Hanumantha Puram,56,,,,,,,,,
,,,,,,Hanumanthagundam,1,,,,,,,,,
,,,,,,Hanumanthapuram,103,,,,,,,,,
,,,,,,Hanumanthunigudem,58,,,,,,,,,
,,,,,,Hanumanthunipadu,71,,,,,,,,,
,,,,,,Hardagiri,43,,,,,,,,,
,,,,,,Harivaram,328,,,,,,,,,
,,,,,,Hathi Belgal,110,,,,,,,,,
,,,,,,Haveli Mutyalampadu,30,,,,,,,,,
,,,,,,Hazarat Gudem,24,,,,,,,,,
,,,,,,Hazee Puram,204,,,,,,,,,
,,,,,,Hazis Puram,177,,,,,,,,,
,,,,,,Hebbatam,28,,,,,,,,,
,,,,,,Hiramandalam,3,,,,,,,,,
,,,,,,Hissara Murvari,1110,,,,,,,,,
,,,,,,Holagunda,537,,,,,,,,,
,,,,,,Honnur,49,,,,,,,,,
,,,,,,Hosur,25,,,,,,,,,
,,,,,,Hulebeedu,73,,,,,,,,,
,,,,,,Hulikanvi,119,,,,,,,,,
,,,,,,Husainapuram,16,,,,,,,,,
,,,,,,Hussain Puram,67,,,,,,,,,
,,,,,,Hussainapuram,197,,,,,,,,,
,,,,,,Huvvanur,30,,,,,,,,,
,,,,,,Ibharampuram,37,,,,,,,,,
,,,,,,Ibrahimbad,28,,,,,,,,,
,,,,,,Ibrahimpatnam,54,,,,,,,,,
,,,,,,Idamadaka,16,,,,,,,,,
,,,,,,Idugullapalle,4,,,,,,,,,
,,,,,,Idupulapaya,130,,,,,,,,,
,,,,,,Idupur,204,,,,,,,,,
,,,,,,Ikkurru,1,,,,,,,,,
,,,,,,Ilapavuluru,353,,,,,,,,,
,,,,,,Ilavera,35,,,,,,,,,
,,,,,,Illuru,19,,,,,,,,,
,,,,,,Illurukothapalle,177,,,,,,,,,
,,,,,,Iluru,125,,,,,,,,,
,,,,,,Immadi Cheruvu,84,,,,,,,,,
,,,,,,Inamanamellur,175,,,,,,,,,
,,,,,,Inampudi,26,,,,,,,,,
,,,,,,Inapuru,65,,,,,,,,,
,,,,,,Indireswaram,54,,,,,,,,,
,,,,,,Indla Cheruvu,170,,,,,,,,,
,,,,,,Indugapalle,37,,,,,,,,,
,,,,,,Indukur,133,,,,,,,,,
,,,,,,Indukuru,1,,,,,,,,,
,,,,,,Indupalle,157,,,,,,,,,
,,,,,,Inimerla,221,,,,,,,,,
,,,,,,Injedu,150,,,,,,,,,
,,,,,,Inkollu,2,,,,,,,,,
,,,,,,Ippagunta,1,,,,,,,,,
,,,,,,Ippalavalasa,30,,,,,,,,,
,,,,,,Ipuru Palem (Rural),60,,,,,,,,,
,,,,,,Iranbanda,401,,,,,,,,,
,,,,,,Irangal,100,,,,,,,,,
,,,,,,Irasalagundam,77,,,,,,,,,
,,,,,,Iskadamerla,40,,,,,,,,,
,,,,,,Iskala,156,,,,,,,,,
,,,,,,Isukatripuravaram,474,,,,,,,,,
,,,,,,Isvi,121,,,,,,,,,
,,,,,,Itamvalasa,30,,,,,,,,,
,,,,,,Ithavaram,50,,,,,,,,,
,,,,,,Itigullapadu,273,,,,,,,,,
,,,,,,Itikala,34,,,,,,,,,
,,,,,,Itikarlapalle,57,,,,,,,,,
,,,,,,J.Hosahalli,62,,,,,,,,,
,,,,,,Jabarlapudi,52,,,,,,,,,
,,,,,,Jadavari Kothavalasa,2,,,,,,,,,
,,,,,,Jafala Puram,52,,,,,,,,,
,,,,,,Jagadurthi,52,,,,,,,,,
,,,,,,Jagamreddi Khandrika,34,,,,,,,,,
,,,,,,Jagannadha Puram,47,,,,,,,,,
,,,,,,Jagannadhapuram,115,,,,,,,,,
,,,,,,Jagarlamudi,1,,,,,,,,,
,,,,,,Jaggaiahpet,31,,,,,,,,,
,,,,,,Jaggambotla Krishnapuram,87,,,,,,,,,
,,,,,,Jaggavaram,1,,,,,,,,,
,,,,,,Jaggudoravalasa,6,,,,,,,,,
,,,,,,Jakkampudi,21,,,,,,,,,
,,,,,,Jakkasanikuntla,143,,,,,,,,,
,,,,,,Jakkulanekkalam,3,,,,,,,,,
,,,,,,Jaladurgam,1082,,,,,,,,,
,,,,,,Jalakanur,130,,,,,,,,,
,,,,,,Jalibenchi,95,,,,,,,,,
,,,,,,Jallivani Pullala Cheruvu,219,,,,,,,,,
,,,,,,Jalvadi,127,,,,,,,,,
,,,,,,Jambapuram,28,,,,,,,,,
,,,,,,Jambuladinne,35,,,,,,,,,
,,,,,,Jammadivalasa,11,,,,,,,,,
,,,,,,Jammalamadaka,80,,,,,,,,,
,,,,,,Jammana Palle,126,,,,,,,,,
,,,,,,Jammigumpala  @  K.S.Palem,32,,,,,,,,,
,,,,,,Jammu,31,,,,,,,,,
,,,,,,Jampapuram,44,,,,,,,,,
,,,,,,Jamukuladinne,3,,,,,,,,,
,,,,,,Janakavaram Panguluru,86,,,,,,,,,
,,,,,,Janardhanapuram,2,,,,,,,,,
,,,,,,Janardhanavaram,302,,,,,,,,,
,,,,,,Jangalapalle,293,,,,,,,,,
,,,,,,Jangalavalasa,4,,,,,,,,,
,,,,,,Jangam Narasaya Palle,25,,,,,,,,,
,,,,,,Jangamaheswarapuram,190,,,,,,,,,
,,,,,,Jangamgudem,120,,,,,,,,,
,,,,,,Jangamguntla,37,,,,,,,,,
,,,,,,Jangamreddi Palle,112,,,,,,,,,
,,,,,,Jannivalasa,10,,,,,,,,,
,,,,,,Jarajam,18,,,,,,,,,
,,,,,,JARAJAPUPETA,17,,,,,,,,,
,,,,,,Jarravaripalle,3,,,,,,,,,
,,,,,,Jarugukonda,3,,,,,,,,,
,,,,,,Jayanthi,170,,,,,,,,,
,,,,,,Jayanthipuram,23,,,,,,,,,
,,,,,,Jayavaram,5,,,,,,,,,
,,,,,,Jeegiram,2,,,,,,,,,
,,,,,,Jeenepalle,1,,,,,,,,,
,,,,,,Jilledubudakala,62,,,,,,,,,
,,,,,,Jillela,18,,,,,,,,,
,,,,,,Jillelamudi,55,,,,,,,,,
,,,,,,Jillella,12,,,,,,,,,
,,,,,,Jinjeru,7,,,,,,,,,
,,,,,,Jodiverrivanipalle,2,,,,,,,,,
,,,,,,Joharapuram,111,,,,,,,,,
,,,,,,Joladarasi,40,,,,,,,,,
,,,,,,Jonna Thali Agraharam,37,,,,,,,,,
,,,,,,Jonnagiri,211,,,,,,,,,
,,,,,,Jonnalagadda,13,,,,,,,,,
,,,,,,Jounipalle,1,,,,,,,,,
,,,,,,Jowkulapalle,46,,,,,,,,,
,,,,,,Jowkupalle,7,,,,,,,,,
,,,,,,Jujjavaram,13,,,,,,,,,
,,,,,,Jujjuru,129,,,,,,,,,
,,,,,,Julakallu,13,,,,,,,,,
,,,,,,Julepalle,17,,,,,,,,,
,,,,,,Junuthala,259,,,,,,,,,
,,,,,,Jupudi,60,,,,,,,,,
,,,,,,Jutur,482,,,,,,,,,
,,,,,,Juvvanapudi,21,,,,,,,,,
,,,,,,Juvvi Gunta,44,,,,,,,,,
,,,,,,Jwalapuram,51,,,,,,,,,
,,,,,,Jyothi,182,,,,,,,,,
,,,,,,K. Palavalasa,30,,,,,,,,,
,,,,,,K.Bitragunta,61,,,,,,,,,
,,,,,,K.Markapuram,83,,,,,,,,,
,,,,,,K.Rajupalem,134,,,,,,,,,
,,,,,,K.Thimmapuram,59,,,,,,,,,
,,,,,,K.Uppalapadu,79,,,,,,,,,
,,,,,,K.Velamavanipalle,31,,,,,,,,,
,,,,,,Kachapuram,37,,,,,,,,,
,,,,,,Kachavaram,10,,,,,,,,,
,,,,,,Kachivaripalle,1,,,,,,,,,
,,,,,,Kadamalakalva,329,,,,,,,,,
,,,,,,Kadapalle,23,,,,,,,,,
,,,,,,Kadapayapalle,63,,,,,,,,,
,,,,,,Kadasani Kothapalle,16,,,,,,,,,
,,,,,,Kadavakollu,28,,,,,,,,,
,,,,,,Kadavakuduru,236,,,,,,,,,
,,,,,,Kadidoddi,26,,,,,,,,,
,,,,,,Kadimetla,894,,,,,,,,,
,,,,,,Kadiriobanapalle,2,,,,,,,,,
,,,,,,Kadithota,29,,,,,,,,,
,,,,,,Kadivella,129,,,,,,,,,
,,,,,,Kadumur,76,,,,,,,,,
,,,,,,Kagam,9,,,,,,,,,
,,,,,,Kaggallu,13,,,,,,,,,
,,,,,,Kagitalagudem,7,,,,,,,,,
,,,,,,Kakanur,234,,,,,,,,,
,,,,,,Kakaravai,26,,,,,,,,,
,,,,,,Kakarawada,43,,,,,,,,,
,,,,,,Kakarla,245,,,,,,,,,
,,,,,,Kakarlamudi,1,,,,,,,,,
,,,,,,Kakinayanichigurla Palle,11,,,,,,,,,
,,,,,,Kakulapadu,3,,,,,,,,,
,,,,,,Kakutur,6,,,,,,,,,
,,,,,,Kalachetla,176,,,,,,,,,
,,,,,,Kalagara,408,,,,,,,,,
,,,,,,Kalagatla,28,,,,,,,,,
,,,,,,Kalakada,1,,,,,,,,,
,,,,,,Kalamaladoddi,5,,,,,,,,,
,,,,,,Kalamalla,59,,,,,,,,,
,,,,,,Kalanuthala,261,,,,,,,,,
,,,,,,Kalaturu,123,,,,,,,,,
,,,,,,Kalavacherla,11,,,,,,,,,
,,,,,,Kalavakuru,227,,,,,,,,,
,,,,,,Kalavala Palle,28,,,,,,,,,
,,,,,,Kalavalagundu,13,,,,,,,,,
,,,,,,Kalavalla,54,,,,,,,,,
,,,,,,Kalavapamula,167,,,,,,,,,
,,,,,,Kalibanda,5,,,,,,,,,
,,,,,,Kallubavi,75,,,,,,,,,
,,,,,,Kallukunta,171,,,,,,,,,
,,,,,,Kallur,267,,,,,,,,,
,,,,,,Kallurupalle,23,,,,,,,,,
,,,,,,Kalugotla,876,,,,,,,,,
,,,,,,Kalugotlapalle,19,,,,,,,,,
,,,,,,Kaluri Acharyula Agraharam,5,,,,,,,,,
,,,,,,Kaluzuwwalapadu,87,,,,,,,,,
,,,,,,Kalva,399,,,,,,,,,
,,,,,,Kalvatala,89,,,,,,,,,
,,,,,,Kamaganikuntla,238,,,,,,,,,
,,,,,,Kamalapuram,416,,,,,,,,,
,,,,,,Kamalapuri,57,,,,,,,,,
,,,,,,Kamandoddi,256,,,,,,,,,
,,,,,,Kamannavalasa,1,,,,,,,,,
,,,,,,Kamavaram,231,,,,,,,,,
,,,,,,Kambadahal,373,,,,,,,,,
,,,,,,Kambaladinne,147,,,,,,,,,
,,,,,,Kambalapadu,288,,,,,,,,,
,,,,,,Kambalapalle,10,,,,,,,,,
,,,,,,Kambampadu,655,,,,,,,,,
,,,,,,Kambhalapadu,325,,,,,,,,,
,,,,,,Kambham Padu,2,,,,,,,,,
,,,,,,Kame Palle,72,,,,,,,,,
,,,,,,Kamepalle,20,,,,,,,,,
,,,,,,Kaminahal,3,,,,,,,,,
,,,,,,Kaminenipalle,121,,,,,,,,,
,,,,,,Kammarachedu,9,,,,,,,,,
,,,,,,Kampamalla,74,,,,,,,,,
,,,,,,Kanakavalli,19,,,,,,,,,
,,,,,,Kanakaveedu,72,,,,,,,,,
,,,,,,Kanala,83,,,,,,,,,
,,,,,,Kanalapalle,70,,,,,,,,,
,,,,,,Kanamapacharla Palle,9,,,,,,,,,
,,,,,,Kanasanapalle,87,,,,,,,,,
,,,,,,Kanchela,96,,,,,,,,,
,,,,,,Kanchi Palle,244,,,,,,,,,
,,,,,,Kanchikacherla,1,,,,,,,,,
,,,,,,Kanchipuram,17,,,,,,,,,
,,,,,,Kandalampadu,89,,,,,,,,,
,,,,,,Kandalla Palle,29,,,,,,,,,
,,,,,,Kandamakuntla,86,,,,,,,,,
,,,,,,Kandanathi,349,,,,,,,,,
,,,,,,Kandlagunta,3,,,,,,,,,
,,,,,,Kandukur,339,,,,,,,,,
,,,,,,Kandula Puram,46,,,,,,,,,
,,,,,,Kandulapadam,27,,,,,,,,,
,,,,,,Kandulapadu,92,,,,,,,,,
,,,,,,Kandulur,34,,,,,,,,,
,,,,,,Kandurivari Agraharam,12,,,,,,,,,
,,,,,,Kangundi R.F,2,,,,,,,,,
,,,,,,Kanigiri (U),22,,,,,,,,,
,,,,,,Kanimella,15,,,,,,,,,
,,,,,,Kanimerla,109,,,,,,,,,
,,,,,,Kanimetta,6,,,,,,,,,
,,,,,,Kankanala Palle,928,,,,,,,,,
,,,,,,Kankanam Padu,96,,,,,,,,,
,,,,,,Kankatava,5,,,,,,,,,
,,,,,,Kankipadu,43,,,,,,,,,
,,,,,,Kannamadakala,134,,,,,,,,,
,,,,,,Kanneveedu,10,,,,,,,,,
,,,,,,KANNURU,83,,,,,,,,,
,,,,,,Kanumalla,8,,,,,,,,,
,,,,,,Kanumolu,34,,,,,,,,,
,,,,,,Kanumuru,263,,,,,,,,,
,,,,,,Kanuparthi,61,,,,,,,,,
,,,,,,Kapati,345,,,,,,,,,
,,,,,,Kapavaram,12,,,,,,,,,
,,,,,,Kapileswarapuram,111,,,,,,,,,
,,,,,,Kappaladoddi,6,,,,,,,,,
,,,,,,Kappatralla,158,,,,,,,,,
,,,,,,Kaptanupalem,1,,,,,,,,,
,,,,,,Kapulapalle,147,,,,,,,,,
,,,,,,Kapusambham,62,,,,,,,,,
,,,,,,Karada,9,,,,,,,,,
,,,,,,Karadiguddam,42,,,,,,,,,
,,,,,,Karakagudem,4,,,,,,,,,
,,,,,,Karakam,79,,,,,,,,,
,,,,,,Karamchedu,23,,,,,,,,,
,,,,,,Karani,70,,,,,,,,,
,,,,,,Karasuvalasa,6,,,,,,,,,
,,,,,,Karavadi,36,,,,,,,,,
,,,,,,Karedu,1614,,,,,,,,,
,,,,,,Karimaddala,40,,,,,,,,,
,,,,,,Karivemula,115,,,,,,,,,
,,,,,,Karivena,225,,,,,,,,,
,,,,,,Karlagatta,1,,,,,,,,,
,,,,,,Karlam,158,,,,,,,,,
,,,,,,Karrivalasa,2,,,,,,,,,
,,,,,,Karrollapadu,40,,,,,,,,,
,,,,,,Karumanchi,100,,,,,,,,,
,,,,,,Karumani Palle,40,,,,,,,,,
,,,,,,Kasapuram,4,,,,,,,,,
,,,,,,Kasarabada,34,,,,,,,,,
,,,,,,Kasidoravalasa,5,,,,,,,,,
,,,,,,Kasyapuram,14,,,,,,,,,
,,,,,,Kata Kani Palle,405,,,,,,,,,
,,,,,,Katarakonda,77,,,,,,,,,
,,,,,,Kataruvani Palle,14,,,,,,,,,
,,,,,,Katedoddi,43,,,,,,,,,
,,,,,,Kateneniyerragudi,49,,,,,,,,,
,,,,,,Kathaluru,109,,,,,,,,,
,,,,,,Katheragandla,415,,,,,,,,,
,,,,,,Kathugutavengannagaripalle,3,,,,,,,,,
,,,,,,Katragunta,9,,,,,,,,,
,,,,,,Katrenipadu,619,,,,,,,,,
,,,,,,Katrenipalle,10,,,,,,,,,
,,,,,,Katriki,3,,,,,,,,,
,,,,,,Kattakinda Palli,49,,,,,,,,,
,,,,,,Katuru,433,,,,,,,,,
,,,,,,Kavala Kuntla,226,,,,,,,,,
,,,,,,Kavirayanivalasa,9,,,,,,,,,
,,,,,,Kavuluru,47,,,,,,,,,
,,,,,,Kaza,33,,,,,,,,,
,,,,,,Keerthi Padu,10,,,,,,,,,
,,,,,,Keerthipalle,36,,,,,,,,,
,,,,,,Keerthirayanigudem,249,,,,,,,,,
,,,,,,Keesara,27,,,,,,,,,
,,,,,,Kella,51,,,,,,,,,
,,,,,,Kellam Palle,153,,,,,,,,,
,,,,,,Kempasamudram,2,,,,,,,,,
,,,,,,Kenamakulapalle,1,,,,,,,,,
,,,,,,Keratam,6,,,,,,,,,
,,,,,,Kesali,2,,,,,,,,,
,,,,,,Kesarapalle,49,,,,,,,,,
,,,,,,Kesavabhotla Palem,24,,,,,,,,,
,,,,,,Kethagudipi,106,,,,,,,,,
,,,,,,Kethanakonda,7,,,,,,,,,
,,,,,,Kethavaram,96,,,,,,,,,
,,,,,,Kethaveeruni Padu,47,,,,,,,,,
,,,,,,Khajipuram,9,,,,,,,,,
,,,,,,Khambham Padu (East),27,,,,,,,,,
,,,,,,Khavirivalasa,4,,,,,,,,,
,,,,,,Khyruppala,203,,,,,,,,,
,,,,,,Kitchada,19,,,,,,,,,
,,,,,,Kitchamambapuram,3,,,,,,,,,
,,,,,,Kocheruvu,453,,,,,,,,,
,,,,,,Kodali,139,,,,,,,,,
,,,,,,Kodavalivari Palem,9,,,,,,,,,
,,,,,,Kodavatikallu,47,,,,,,,,,
,,,,,,Kodigudla Padu (West),145,,,,,,,,,
,,,,,,Kodukarakavalasa,5,,,,,,,,,
,,,,,,Kodumur,150,,,,,,,,,
,,,,,,Koduru,557,,,,,,,,,
,,,,,,Kodurupadu,38,,,,,,,,,
,,,,,,Kogilathota,106,,,,,,,,,
,,,,,,Koilkuntla,84,,,,,,,,,
,,,,,,Kokanarayanapalem,1,,,,,,,,,
,,,,,,Kokatam,59,,,,,,,,,
,,,,,,Kokilampadu,111,,,,,,,,,
,,,,,,Kokkarachedu,118,,,,,,,,,
,,,,,,Kokkerancha,95,,,,,,,,,
,,,,,,Kokkiligadda,407,,,,,,,,,
,,,,,,Kokkirapadu,4,,,,,,,,,
,,,,,,Kolabhimunipadu,112,,,,,,,,,
,,,,,,Kolachanakota,36,,,,,,,,,
,,,,,,Kolala Pudi,236,,,,,,,,,
,,,,,,Kolavennu,253,,,,,,,,,
,,,,,,Kolimigundla,80,,,,,,,,,
,,,,,,Kollikulla,52,,,,,,,,,
,,,,,,Kollivalasa,1,,,,,,,,,
,,,,,,Kolukula,174,,,,,,,,,
,,,,,,Kolumulapalle,175,,,,,,,,,
,,,,,,Komaravolu,21,,,,,,,,,
,,,,,,Komarolu,941,,,,,,,,,
,,,,,,Komarunipalle,60,,,,,,,,,
,,,,,,Kommaddi,168,,,,,,,,,
,,,,,,Kommala Padu,90,,,,,,,,,
,,,,,,Kommemarri,232,,,,,,,,,
,,,,,,Kommi,19,,,,,,,,,
,,,,,,Kommunuru,233,,,,,,,,,
,,,,,,Kommuru,5,,,,,,,,,
,,,,,,Kona Palle,27,,,,,,,,,
,,,,,,Konagani Vari Palem,2,,,,,,,,,
,,,,,,Konaguda,1,,,,,,,,,
,,,,,,Konakanamitla,227,,,,,,,,,
,,,,,,Konakanchi,90,,,,,,,,,
,,,,,,Konampalle,5,,,,,,,,,
,,,,,,Konanki,36,,,,,,,,,
,,,,,,Konapuram,5,,,,,,,,,
,,,,,,Konarajupalle,83,,,,,,,,,
,,,,,,Konatalapalle,68,,,,,,,,,
,,,,,,Konathamatmakuru,4,,,,,,,,,
,,,,,,Konathanapadu,57,,,,,,,,,
,,,,,,Konayapalem,77,,,,,,,,,
,,,,,,Konda Lakshmipuram,6,,,,,,,,,
,,,,,,Konda Manjulur,91,,,,,,,,,
,,,,,,Konda Reddi Palle,98,,,,,,,,,
,,,,,,Kondabaina Palle,17,,,,,,,,,
,,,,,,Kondadadi,6,,,,,,,,,
,,,,,,Kondadevupalle,1,,,,,,,,,
,,,,,,Kondagumpam,2,,,,,,,,,
,,,,,,Kondaigudem,26,,,,,,,,,
,,,,,,Kondajutur,110,,,,,,,,,
,,,,,,Kondakaraka Valasa @ Janavarivalasa,11,,,,,,,,,
,,,,,,Kondakenguva,5,,,,,,,,,
,,,,,,Kondamayapalle,17,,,,,,,,,
,,,,,,Kondamur,57,,,,,,,,,
,,,,,,Kondapalavalasa,1,,,,,,,,,
,,,,,,KONDAPALEM,1,,,,,,,,,
,,,,,,Kondapalle,13,,,,,,,,,
,,,,,,Kondaparva,295,,,,,,,,,
,,,,,,Kondapatur,3,,,,,,,,,
,,,,,,Kondapavuluru,74,,,,,,,,,
,,,,,,Kondapeta,2,,,,,,,,,
,,,,,,Kondapi,43,,,,,,,,,
,,,,,,Kondapi Gadiyaram Vari Khandrika,61,,,,,,,,,
,,,,,,Kondappagaripalle,3,,,,,,,,,
,,,,,,Kondapuram,551,,,,,,,,,
,,,,,,Kondareddi Palle,36,,,,,,,,,
,,,,,,Kondareddipalem,9,,,,,,,,,
,,,,,,Kondasambham,56,,,,,,,,,
,,,,,,Kondasamudram,40,,,,,,,,,
,,,,,,Kondasunkesula,9,,,,,,,,,
,,,,,,Kondataduru,8,,,,,,,,,
,,,,,,Kondavelagada,76,,,,,,,,,
,,,,,,Kondaya Palem,19,,,,,,,,,
,,,,,,Kondikandukur,2,,,,,,,,,
,,,,,,Kondiparru,8,,,,,,,,,
,,,,,,Kondupalle,1,,,,,,,,,
,,,,,,Konduru,184,,,,,,,,,
,,,,,,Konerukuppam,13,,,,,,,,,
,,,,,,Kongala Veedu,34,,,,,,,,,
,,,,,,Konganapadu,79,,,,,,,,,
,,,,,,Kongaram,6,,,,,,,,,
,,,,,,Kongatam,8,,,,,,,,,
,,,,,,Konidedu,244,,,,,,,,,
,,,,,,Konidela,66,,,,,,,,,
,,,,,,Konidena,79,,,,,,,,,
,,,,,,Konijedu,47,,,,,,,,,
,,,,,,Konijerla,84,,,,,,,,,
,,,,,,Koniki,2,,,,,,,,,
,,,,,,Konkepudi,19,,,,,,,,,
,,,,,,Konuru,33,,,,,,,,,
,,,,,,Koppaka,21,,,,,,,,,
,,,,,,Kopparam,41,,,,,,,,,
,,,,,,Koppera Padu,61,,,,,,,,,
,,,,,,Koradapeta,5,,,,,,,,,
,,,,,,Koratamaddi,204,,,,,,,,,
,,,,,,Korisapadu,31,,,,,,,,,
,,,,,,Korlagunta,166,,,,,,,,,
,,,,,,Korlakunta,54,,,,,,,,,
,,,,,,Korlam,44,,,,,,,,,
,,,,,,Korlamadugu,32,,,,,,,,,
,,,,,,Korlamanda,335,,,,,,,,,
,,,,,,Kornipadu,5,,,,,,,,,
,,,,,,Korraguntapalem,8,,,,,,,,,
,,,,,,Korrapolur,185,,,,,,,,,
,,,,,,Korumanipalle,152,,,,,,,,,
,,,,,,Kosigi,361,,,,,,,,,
,,,,,,Kosuru,143,,,,,,,,,
,,,,,,Kota,3,,,,,,,,,
,,,,,,Kotagandredu,86,,,,,,,,,
,,,,,,Kotakonda,265,,,,,,,,,
,,,,,,Kotala Palle,9,,,,,,,,,
,,,,,,Kotamakanepalle,17,,,,,,,,,
,,,,,,Kotapadu,767,,,,,,,,,
,,,,,,Kotasirlam,4,,,,,,,,,
,,,,,,Kotathippala,20,,,,,,,,,
,,,,,,Kotcherla Kota,372,,,,,,,,,
,,,,,,Kotekal,304,,,,,,,,,
,,,,,,Kotha Buruju,208,,,,,,,,,
,,,,,,Kotha Kandukur,510,,,,,,,,,
,,,,,,Kotha Kota,258,,,,,,,,,
,,,,,,Kotha Peta (Rural),23,,,,,,,,,
,,,,,,Kothagudem,133,,,,,,,,,
,,,,,,Kothakota,1065,,,,,,,,,
,,,,,,Kothapalle,525,,,,,,,,,
,,,,,,Kothapeta,144,,,,,,,,,
,,,,,,Kothuru,6,,,,,,,,,
,,,,,,Kotikalapudi,178,,,,,,,,,
,,,,,,Kotikipenta,10,,,,,,,,,
,,,,,,Kotipalle,4,,,,,,,,,
,,,,,,Kottakki,21,,,,,,,,,
,,,,,,Kottala,55,,,,,,,,,
,,,,,,Kottavalasa,1,,,,,,,,,
,,,,,,Kottuparuvu,35,,,,,,,,,
,,,,,,Kotturu,38,,,,,,,,,
,,,,,,Kovilam Padu,26,,,,,,,,,
,,,,,,Kowlur,48,,,,,,,,,
,,,,,,Kowtaram,3,,,,,,,,,
,,,,,,Kowthalam,96,,,,,,,,,
,,,,,,Kowthavari Agraharam,47,,,,,,,,,
,,,,,,Koyyagurapadu,21,,,,,,,,,
,,,,,,Koyyam,79,,,,,,,,,
,,,,,,Koyyuru,60,,,,,,,,,
,,,,,,Krishna Puram,27,,,,,,,,,
,,,,,,Krishnagiri,245,,,,,,,,,
,,,,,,Krishnapalle,3,,,,,,,,,
,,,,,,Krishnapuram,156,,,,,,,,,
,,,,,,Krishnaraopalem,71,,,,,,,,,
,,,,,,Krishnarayapuram,2,,,,,,,,,
,,,,,,Krishnavaram,47,,,,,,,,,
,,,,,,Krislipadu,113,,,,,,,,,
,,,,,,Kristam Palle,8,,,,,,,,,
,,,,,,Kristam Setti Palle,345,,,,,,,,,
,,,,,,Kruthivennu,5,,,,,,,,,
,,,,,,Kuchipudi,317,,,,,,,,,
,,,,,,Kudapa,44,,,,,,,,,
,,,,,,Kudaravalli,2,,,,,,,,,
,,,,,,Kuderu,124,,,,,,,,,
,,,,,,Kudumalur,52,,,,,,,,,
,,,,,,Kuduru,12,,,,,,,,,
,,,,,,Kukatla Palle,74,,,,,,,,,
,,,,,,Kulumala,36,,,,,,,,,
,,,,,,Kumarakalva,259,,,,,,,,,
,,,,,,Kumaram,23,,,,,,,,,
,,,,,,Kumbalanur,60,,,,,,,,,
,,,,,,Kummamuru,274,,,,,,,,,
,,,,,,Kummarakuntla,65,,,,,,,,,
,,,,,,Kunambandavalasa,8,,,,,,,,,
,,,,,,Kunaparajuparva,57,,,,,,,,,
,,,,,,Kunavaram,3,,,,,,,,,
,,,,,,Kunayavalasa,4,,,,,,,,,
,,,,,,Kunchepalle,208,,,,,,,,,
,,,,,,Kunchigumadam,9,,,,,,,,,
,,,,,,Kunda Nellore,1,,,,,,,,,
,,,,,,Kundanagurthi,3,,,,,,,,,
,,,,,,Kundavari Kandrika,20,,,,,,,,,
,,,,,,Kunderu,194,,,,,,,,,
,,,,,,Kunduru,46,,,,,,,,,
,,,,,,Kunduru (East),1,,,,,,,,,
,,,,,,Kunikinapadu,60,,,,,,,,,
,,,,,,Kunkalamarru,10,,,,,,,,,
,,,,,,Kunkanur,123,,,,,,,,,
,,,,,,Kunkupadu,49,,,,,,,,,
,,,,,,Kuntamukkala,220,,,,,,,,,
,,,,,,Kuntanahal,6,,,,,,,,,
,,,,,,Kunukuntla,7,,,,,,,,,
,,,,,,Kuppagal,91,,,,,,,,,
,,,,,,Kuppam,177,,,,,,,,,
,,,,,,Kuppiganipalle,1,,,,,,,,,
,,,,,,Kuppili,4,,,,,,,,,
,,,,,,Kurada,4,,,,,,,,,
,,,,,,Kurakallapalle,1,,,,,,,,,
,,,,,,Kurichedu,99,,,,,,,,,
