FID,Shape,RWHS_Proposed_FID,FID_1_1,FID_1_1_1,FID_1_1__1,FID_1_1__2,FID_1_1__3,dmcode,dcode91,mcode91,DNAME,DMNAME,MANDAL_,loctn_d,dsply_n,RWHS_C,RWHS_Cap,fp,fp_cap,cd,cd_cap,others,others_cap,miTank,MITANK_CAP,PT,PT_CAP
54,Polygon,54,54,54,54,54,54,1231,12,31,ANANTAPUR,BATHALAPALLE,Bathalapalle,49,BATHALAPALLE,15,0.005295,1026,0.007182,115,0.040595,18,0.006354,68,0.815377,33,0.011649
55,Polygon,55,55,55,55,55,55,706,7,6,GUNTUR,BELLAMKONDA,Bellamkonda,275,BELLAMKONDA,0,0,212,0.001484,1,0.000353,0,0,4,0.052174,0,0
56,Polygon,56,56,56,56,56,56,1216,12,16,ANANTAPUR,BELUGUPPA,Beluguppa,25,BELUGUPPA,14,0.004942,764,0.005348,148,0.052244,32,0.011296,38,0.165734,25,0.008825
57,Polygon,57,57,57,57,57,57,833,8,33,PRAKASAM,BESTAWARIPETA,Bestawaripeta,305,BESTAVARIPETA,46,0.016238,426,0.002982,161,0.056833,87,0.030711,29,0.33941,40,0.01412
58,Polygon,58,58,58,58,58,58,1330,13,30,KURNOOL,BETHAMCHERLA,Bethamcherla,590,BETHAMCHERLA,61,0.021533,146,0.001022,133,0.046949,34,0.012002,2,0.031445,11,0.003883
59,Polygon,59,59,59,59,59,59,461,4,61,EAST GODAVARI,NELLIPAKA,Nellipaka,525,NELLIPAKA,0,0,0,0,0,0,0,0,48,0.085757,0,0
60,Polygon,60,60,60,60,60,60,114,1,14,SRIKAKULAM,BHAMINI,Bhamini,598,BHAMINI,14,0.004942,146,0.001022,114,0.040242,20,0.00706,256,0.57502,4,0.001412
61,Polygon,61,61,61,61,61,61,751,7,51,GUNTUR,BHATTIPROLU,Bhattiprolu,397,BHATTIPROLU,0,0,219,0.001533,0,0,0,0,0,0,0,0
62,Polygon,62,62,62,62,62,62,327,3,27,VISHAKAPATNAM,BHEEMUNIPATNAM,Bheemunipatnam,519,BHEEMUNIPATNAM,12,0.004236,81,0.000567,27,0.009531,7,0.002471,38,0.112818,0,0
63,Polygon,63,63,63,63,63,63,520,5,20,WEST GODAVARI,BHIMADOLE,Bhimadole,420,BHIMADOLE,0,0,659,0.004613,4,0.001412,0,0,36,0.244954,0,0
64,Polygon,64,64,64,64,64,64,536,5,36,WEST GODAVARI,BHIMAVARAM,Bhimavaram,452,BHEEMAVARAM,0,0,0,0,0,0,0,0,0,0,0,0
65,Polygon,65,65,65,65,65,65,226,2,26,VIZIANAGARAM,BHOGAPURAM,Bhogapuram,561,BHOGHAPURAM,0,0,539,0.003773,66,0.023298,9,0.003177,83,0.147038,1,0.000353
66,Polygon,66,66,66,66,66,66,434,4,34,EAST GODAVARI,BICCAVOLU,Biccavolu,485,BICCAVOLU,0,0,29,0.000203,0,0,0,0,25,1.022748,0,0
67,Polygon,67,67,67,67,67,67,210,2,10,VIZIANAGARAM,BOBBILI,Bobbili,549,BOBBILI,0,0,1781,0.012467,62,0.021886,33,0.011649,17,0.046052,16,0.005648
68,Polygon,68,68,68,68,68,68,906,9,6,NELLORE,BOGOLE,Bogole,215,BOGOLE,0,0,91,0.000637,2,0.000706,0,0,78,0.154526,0,0
69,Polygon,69,69,69,69,69,69,721,7,21,GUNTUR,BOLLAPALLE,Bollapalle,308,BOLLAPALLE,639,0.225567,41,0.000287,29,0.010237,4,0.001412,19,0.242788,1,0.000353
70,Polygon,70,70,70,70,70,70,1202,12,2,ANANTAPUR,BOMMANAHAL,Bommanahal,606,BOMMANAHAL,1,0.000353,802,0.005614,30,0.01059,18,0.006354,5,0.077218,44,0.015532
71,Polygon,71,71,71,71,71,71,220,2,20,VIZIANAGARAM,BONDAPALLE,Bondapalle,577,BONDAPALLE,13,0.004589,2256,0.015792,165,0.058245,20,0.00706,443,1.323779,10,0.00353
72,Polygon,72,72,72,72,72,72,1107,11,7,KADAPA,BRAHMAMGARIMATTAM,Brahmamgarimattam,54,BRAHMAMGARIMATTAM,32,0.011296,505,0.003535,112,0.039536,7,0.002471,2,0.00632,10,0.00353
73,Polygon,73,73,73,73,73,73,1220,12,20,ANANTAPUR,BRAHMASAMUDRAM,Brahmasamudram,18,BRAHMASAMUDRAM,99,0.034947,769,0.005383,132,0.046596,4,0.001412,78,0.520167,7,0.002471
74,Polygon,74,74,74,74,74,74,1016,10,16,CHITTOOR,BUCHINAIDU  KANDRIGA,Buchinaidu  Kandriga,683,BUCHINAIDU KHANDRI,22,0.007766,454,0.003178,24,0.008472,51,0.018003,141,0.722228,20,0.00706
75,Polygon,75,75,75,75,75,75,918,9,18,NELLORE,BUCHIREDDIPALEM,Buchireddipalem,679,BUCCHIREDDIPALEM,0,0,31,0.000217,0,0,0,0,2,0.023353,0,0
76,Polygon,76,76,76,76,76,76,1250,12,50,ANANTAPUR,BUKKAPATNAM,Bukkapatnam,113,BUKKAPATNAM,17,0.006001,475,0.003325,104,0.036712,11,0.003883,170,1.059856,24,0.008472
77,Polygon,77,77,77,77,77,77,1226,12,26,ANANTAPUR,BUKKARAYA  SAMUDRAM,Bukkaraya  Samudram,62,BUKKARAYASAMUDRAM,24,0.008472,501,0.003507,143,0.050479,41,0.014473,15,0.578425,9,0.003177
78,Polygon,78,78,78,78,78,78,111,1,11,SRIKAKULAM,BURJA,Burja,613,BURJA,0,0,118,0.000826,236,0.083308,43,0.015179,484,0.635511,18,0.006354
