FID,Shape,RWHS_Proposed_FID,FID_1_1,FID_1_1_1,FID_1_1__1,FID_1_1__2,FID_1_1__3,dmcode,dcode91,mcode91,DNAME,DMNAME,MANDAL_,loctn_d,dsply_n,RWHS_C,RWHS_Cap,fp,fp_cap,cd,cd_cap,others,others_cap,miTank,MITANK_CAP,PT,PT_CAP
271,Polygon,271,271,271,271,271,271,1101,11,1,KADAPA,KONDAPURAM1,Kondapuram1,75,KONDAPURAM,7,0.002471,352,0.002464,105,0.037065,12,0.004236,5,0.009806,3,0.001059
272,Polygon,272,272,272,272,272,272,903,9,3,NELLORE,KONDAPURAM2,Kondapuram2,624,KONDAPURAM (NELLORE),53,0.018709,1044,0.007308,78,0.027534,9,0.003177,21,0.199833,12,0.004236
273,Polygon,273,273,273,273,273,273,827,8,27,PRAKASAM,KORISAPADU,Korisapadu,276,KORISAPADU,0,0,124,0.000868,11,0.003883,4,0.001412,6,0.139242,42,0.014826
274,Polygon,274,274,274,274,274,274,416,4,16,EAST GODAVARI,KORUKONDA,Korukonda,453,KORUKONDA,15,0.005295,243,0.001701,0,0,0,0,122,6.118296,0,0
275,Polygon,275,275,275,275,275,275,1302,13,2,KURNOOL,KOSIGI,Kosigi,540,KOSIGI,72,0.025416,331,0.002317,86,0.030358,13,0.004589,30,0.09968,4,0.001412
276,Polygon,276,276,276,276,276,276,939,9,39,NELLORE,KOTA,Kota,252,KOTA,0,0,51,0.000357,0,0,0,0,4,0.010802,10,0.00353
277,Polygon,277,277,277,277,277,277,128,1,28,SRIKAKULAM,KOTABOMMALI,Kotabommali,652,KOTABOMMAL,1,0.000353,84,0.000588,113,0.039889,38,0.013414,350,0.997441,13,0.004589
278,Polygon,278,278,278,278,278,278,405,4,5,EAST GODAVARI,KOTANANDURU,Kotananduru,433,KOTANANDURU,18,0.006354,354,0.002478,49,0.017297,9,0.003177,86,0.115958,1,0.000353
279,Polygon,279,279,279,279,279,279,337,3,37,VISHAKAPATNAM,KOTAURATLA,Kotauratla,530,KOTAURATLA,22,0.007766,328,0.002296,30,0.01059,6,0.002118,61,0.14457,1,0.000353
280,Polygon,280,280,280,280,280,280,847,8,47,PRAKASAM,KOTHA PATNAM,Kotha Patnam,327,KOTHAPATNAM,0,0,76,0.000532,4,0.001412,7,0.002471,2,0.05329,0,0
281,Polygon,281,281,281,281,281,281,1251,12,51,ANANTAPUR,KOTHACHERUVU,Kothacheruvu,112,KOTHACHERUVU,21,0.007413,661,0.004627,88,0.031064,8,0.002824,54,0.38131,8,0.002824
282,Polygon,282,282,282,282,282,282,422,4,22,EAST GODAVARI,KOTHAPALLE1,Kothapalle1,663,KOTHAPALLEE,0,0,152,0.001064,0,0,0,0,0,0,0,0
283,Polygon,283,283,283,283,283,283,1310,13,10,KURNOOL,KOTHAPALLE2,Kothapalle2,579,KOTHAPALLE,12,0.004236,25,0.000175,49,0.017297,14,0.004942,7,0.120964,3,0.001059
284,Polygon,284,284,284,284,284,284,446,4,46,EAST GODAVARI,KOTHAPETA,Kothapeta,500,KOTHAPETA,0,0,3,0.000021,0,0,0,0,1,0.00003,0,0
285,Polygon,285,285,285,285,285,285,234,2,34,VIZIANAGARAM,KOTHAVALASA,Kothavalasa,609,KOTHAVALASA,0,0,1214,0.008498,259,0.091427,6,0.002118,163,0.387413,0,0
286,Polygon,286,286,286,286,286,286,115,1,15,SRIKAKULAM,KOTHURU,Kothuru,601,KOTHURU,9,0.003177,204,0.001428,111,0.039183,39,0.013767,353,0.802408,14,0.004942
287,Polygon,287,287,287,287,287,287,926,9,26,NELLORE,KOVUR,Kovur,237,KOVUR,0,0,3,0.000021,0,0,0,0,0,0,0,0
288,Polygon,288,288,288,288,288,288,516,5,16,WEST GODAVARI,KOVVUR,Kovvur,400,KOVVUR,0,0,34,0.000238,0,0,0,0,1,0.000039,0,0
289,Polygon,289,289,289,289,289,289,1301,13,1,KURNOOL,KOWTHALAM,Kowthalam,544,KOWTHALAM,6,0.002118,61,0.000427,35,0.012355,5,0.001765,10,0.028512,5,0.001765
290,Polygon,290,290,290,290,290,290,506,5,6,WEST GODAVARI,KOYYALAGUDEM,Koyyalagudem,376,KOYYALAGUDEM,11,0.003883,776,0.005432,6,0.002118,20,0.00706,45,0.252101,1,0.000353
291,Polygon,291,291,291,291,291,291,314,3,14,VISHAKAPATNAM,KOYYURU,Koyyuru,478,KOYYURU,56,0.019768,0,0,13,0.004589,0,0,17,0.106539,0,0
292,Polygon,292,292,292,292,292,292,1328,13,28,KURNOOL,KRISHNAGIRI,Krishnagiri,620,KRISHNAGIRI,99,0.034947,195,0.001365,168,0.059304,9,0.003177,42,0.422375,4,0.001412
293,Polygon,293,293,293,293,293,293,708,7,8,GUNTUR,KROSURU,Krosuru,272,KROSURU,0,0,100,0.0007,3,0.001059,2,0.000706,3,0.030325,0,0
294,Polygon,294,294,294,294,294,294,650,6,50,KRISHNA,KRUTHIVENNU,Kruthivennu,445,KRUTHIVENNU,0,0,34,0.000238,0,0,0,0,0,0,0,0
295,Polygon,295,295,295,295,295,295,1214,12,14,ANANTAPUR,KUDAIR,Kudair,30,KUDAIR,57,0.020121,426,0.002982,216,0.076248,10,0.00353,88,0.701025,25,0.008825
296,Polygon,296,296,296,296,296,296,547,5,47,WEST GODAVARI,KUKUNOOR,Kukunoor,474,KUKUNOOR,0,0,0,0,0,0,0,0,0,0,0,0
297,Polygon,297,297,297,297,297,297,462,4,62,EAST GODAVARI,KUNAVARAM,Kunavaram,578,KUNAVARAM,0,0,5,0.000035,0,0,0,0,18,0.071233,0,0
298,Polygon,298,298,298,298,298,298,1222,12,22,ANANTAPUR,KUNDURPI,Kundurpi,655,KUNDURPI,89,0.031417,499,0.003493,137,0.048361,64,0.022592,13,0.127613,21,0.007413
299,Polygon,299,299,299,299,299,299,1066,10,66,CHITTOOR,KUPPAM,Kuppam,200,KUPPAM,27,0.009531,784,0.005488,151,0.053303,104,0.036712,105,0.464337,64,0.022592
300,Polygon,300,300,300,300,300,300,1006,10,6,CHITTOOR,KURABALAKOTA,Kurabalakota,119,KURABALAKOTA,10,0.00353,187,0.001309,36,0.012708,79,0.027887,211,0.285521,45,0.015885
301,Polygon,301,301,301,301,301,301,804,8,4,PRAKASAM,KURICHEDU,Kurichedu,235,KURICHEDU,38,0.013414,35,0.000245,120,0.04236,16,0.005648,35,0.197926,15,0.005295
302,Polygon,302,302,302,302,302,302,1307,13,7,KURNOOL,KURNOOL,Kurnool,636,KURNOOL MANDAL,50,0.01765,100,0.0007,101,0.035653,13,0.004589,30,0.128927,1,0.000353
303,Polygon,303,303,303,303,303,303,203,2,3,VIZIANAGARAM,KURUPAM,Kurupam,507,KURUPAM,59,0.020827,112,0.000784,34,0.012002,23,0.008119,98,0.73506,18,0.006354
304,Polygon,304,304,304,304,304,304,232,2,32,VIZIANAGARAM,LAKKAVARAPUKOTA,Lakkavarapukota,614,LAKKAVARAPUKOTA,0,0,1625,0.011375,172,0.060716,20,0.00706,282,1.06674,0,0
305,Polygon,305,305,305,305,305,305,1136,11,36,KADAPA,LAKKIREDDIPALLE,Lakkireddipalle,157,LAKKIREDDIPALLE,1,0.000353,242,0.001694,107,0.037771,43,0.015179,158,0.420775,31,0.010943
306,Polygon,306,306,306,306,306,306,138,1,38,SRIKAKULAM,LAKSHMINARSUPETA,Lakshminarsupeta,653,LAXMINARASAMPET,0,0,30,0.00021,59,0.020827,14,0.004942,149,0.313945,40,0.01412
307,Polygon,307,307,307,307,307,307,106,1,6,SRIKAKULAM,LAVERU,Laveru,563,LAVERU,0,0,248,0.001736,383,0.135199,43,0.015179,352,0.552784,9,0.003177
308,Polygon,308,308,308,308,308,308,1256,12,56,ANANTAPUR,LEPAKSHI,Lepakshi,160,LEPAKSHI,4,0.001412,800,0.0056,174,0.061422,11,0.003883,47,0.446271,13,0.004589
309,Polygon,309,309,309,309,309,309,1119,11,19,KADAPA,LINGALA,Lingala,106,LINGALA,26,0.009178,162,0.001134,109,0.038477,8,0.002824,12,0.048207,2,0.000706
310,Polygon,310,310,310,310,310,310,510,5,10,WEST GODAVARI,LINGAPALEM,Lingapalem,390,LINGAPALEM,8,0.002824,157,0.001099,5,0.001765,1,0.000353,59,0.671829,3,0.001059
311,Polygon,311,311,311,311,311,311,853,8,53,PRAKASAM,LINGASAMUDRAM,Lingasamudram,336,LINGASAMUDRAM,28,0.009884,75,0.000525,27,0.009531,22,0.007766,48,0.515756,16,0.005648
312,Polygon,312,312,312,312,312,312,705,7,5,GUNTUR,MACHAVARAM,Machavaram,274,MACHAVARAM,0,0,374,0.002618,1,0.000353,2,0.000706,4,0.031676,0,0
313,Polygon,313,313,313,313,313,313,701,7,1,GUNTUR,MACHERLA,Macherla,283,MACHERLA,67,0.023651,165,0.001155,21,0.007413,4,0.001412,2,0.004945,2,0.000706
314,Polygon,314,314,314,314,314,314,637,6,37,KRISHNA,MACHILIPATNAM,Machilipatnam,401,MACHILIPATNAM,0,0,175,0.001225,0,0,0,0,24,0.118327,0,0
315,Polygon,315,315,315,315,315,315,1259,12,59,ANANTAPUR,MADAKASIRA,Madakasira,153,MADAKASIRA,100,0.0353,537,0.003759,180,0.06354,12,0.004236,38,1.005632,69,0.024357
316,Polygon,316,316,316,316,316,316,1035,10,35,CHITTOOR,MADANAPALLE,Madanapalle,646,MANDAPALLE,24,0.008472,196,0.001372,81,0.028593,45,0.015885,137,0.52909,64,0.022592
317,Polygon,317,317,317,317,317,317,1352,13,52,KURNOOL,MADDIKERA (EAST),Maddikera (East),50,MADDIKERA EAST,45,0.015885,218,0.001526,48,0.016944,19,0.006707,25,0.253959,0,0
318,Polygon,318,318,318,318,318,318,828,8,28,PRAKASAM,MADDIPADU,Maddipadu,271,MADDIPADU,0,0,94,0.000658,19,0.006707,2,0.000706,9,0.122195,0,0
319,Polygon,319,319,319,319,319,319,309,3,9,VISHAKAPATNAM,MADUGULA,Madugula,469,MADUGULA,10,0.00353,108,0.000756,30,0.01059,1,0.000353,81,0.351479,0,0
320,Polygon,320,320,320,320,320,320,1335,13,35,KURNOOL,MAHANANDI,Mahanandi,31,MAHANANDI,9,0.003177,56,0.000392,11,0.003883,0,0,6,0.084857,0,0
321,Polygon,321,321,321,321,321,321,336,3,36,VISHAKAPATNAM,MAKAVARAPALEM,Makavarapalem,527,MAKAVARAPALEM,21,0.007413,867,0.006069,65,0.022945,6,0.002118,82,0.145387,5,0.001765
322,Polygon,322,322,322,322,322,322,207,2,7,VIZIANAGARAM,MAKKUVA,Makkuva,521,MAKKUVA,16,0.005648,55,0.000385,27,0.009531,1,0.000353,0,0,10,0.00353
323,Polygon,323,323,323,323,323,323,458,4,58,EAST GODAVARI,MALIKIPURAM,Malikipuram,531,MALIKIPURAM,0,0,713,0.004991,0,0,0,0,0,0,0,0
324,Polygon,324,324,324,324,324,324,456,4,56,EAST GODAVARI,MAMIDIKUDURU,Mamidikuduru,539,MAMIDIKUDURU,0,0,38,0.000266,0,0,0,0,0,0,0,0
325,Polygon,325,325,325,325,325,325,432,4,32,EAST GODAVARI,MANDAPETA,Mandapeta,489,MANDAPETA,0,0,9,0.000063,0,0,0,0,26,0.042587,0,0
326,Polygon,326,326,326,326,326,326,133,1,33,SRIKAKULAM,MANDASA,Mandasa,77,MANDASA,33,0.011649,65,0.000455,245,0.086485,119,0.042007,262,0.267402,79,0.027887
327,Polygon,327,327,327,327,327,327,647,6,47,KRISHNA,MANDAVALLI,Mandavalli,435,MANDAVALLI,0,0,4,0.000028,0,0,0,0,0,0,0,0
328,Polygon,328,328,328,328,328,328,712,7,12,GUNTUR,MANGALAGIRI,Mangalagiri,304,MANGALAGIRI,2,0.000706,39,0.000273,0,0,0,0,7,0.028173,0,0
329,Polygon,329,329,329,329,329,329,1303,13,3,KURNOOL,MANTRALAYAM,Mantralayam,536,MANTRALAYAM,20,0.00706,169,0.001183,158,0.055774,40,0.01412,16,0.140102,0,0
330,Polygon,330,330,330,330,330,330,931,9,31,NELLORE,MANUBOLU,Manubolu,248,MANUBOLU,0,0,48,0.000336,0,0,0,0,21,0.105364,1,0.000353
331,Polygon,331,331,331,331,331,331,401,4,1,EAST GODAVARI,MAREDUMILLI,Maredumilli,416,MAREDUMILLI,43,0.015179,0,0,23,0.008119,2,0.000706,69,0.077113,5,0.001765
332,Polygon,332,332,332,332,332,332,809,8,9,PRAKASAM,MARKAPUR,Markapur,229,MARKAPUR,1,0.000353,400,0.0028,75,0.026475,32,0.011296,33,0.371136,14,0.004942
333,Polygon,333,333,333,333,333,333,911,9,11,NELLORE,MARRIPADU,Marripadu,226,MARRIPADU,206,0.072718,452,0.003164,109,0.038477,14,0.004942,27,0.129912,52,0.018356
334,Polygon,334,334,334,334,334,334,830,8,30,PRAKASAM,MARRIPUDI,Marripudi,292,MARRIPUDI,79,0.027887,260,0.00182,119,0.042007,43,0.015179,33,0.363384,95,0.033535
335,Polygon,335,335,335,335,335,335,820,8,20,PRAKASAM,MARTUR,Martur,266,MARTUR,10,0.00353,570,0.00399,19,0.006707,42,0.014826,8,0.131237,38,0.013414
336,Polygon,336,336,336,336,336,336,725,7,25,GUNTUR,MEDIKONDURU,Medikonduru,324,MEDIKONDURU,0,0,248,0.001736,1,0.000353,0,0,1,0.017055,0,0
337,Polygon,337,337,337,337,337,337,126,1,26,SRIKAKULAM,MELIAPUTTI,Meliaputti,650,MELIAPUTTI,16,0.005648,107,0.000749,291,0.102723,41,0.014473,251,0.326765,42,0.014826
338,Polygon,338,338,338,338,338,338,218,2,18,VIZIANAGARAM,MENTADA,Mentada,558,MENTADA,43,0.015179,1409,0.009863,73,0.025769,7,0.002471,247,0.854168,0,0
339,Polygon,339,339,339,339,339,339,216,2,16,VIZIANAGARAM,MERAKAMUDIDAM,Merakamudidam,529,MERAKAMUDIDAM,49,0.017297,528,0.003696,234,0.082602,17,0.006001,149,0.388322,0,0
340,Polygon,340,340,340,340,340,340,1316,13,16,KURNOOL,MIDTHUR,Midthur,562,MIDTHUR,67,0.023651,42,0.000294,101,0.035653,8,0.002824,11,0.190437,17,0.006001
341,Polygon,341,341,341,341,341,341,546,5,46,WEST GODAVARI,MOGALTHUR,Mogalthur,458,MOGALTHUR,0,0,0,0,0,0,0,0,0,0,0,0
342,Polygon,342,342,342,342,342,342,633,6,33,KRISHNA,MOPIDEVI,Mopidevi,386,MOPIDEVI,0,0,3,0.000021,0,0,0,0,0,0,0,0
343,Polygon,343,343,343,343,343,343,630,6,30,KRISHNA,MOVVA,Movva,396,MOVVA,0,0,26,0.000182,0,0,0,0,0,0,0,0
344,Polygon,344,344,344,344,344,344,1117,11,17,KADAPA,MUDDANUR,Muddanur,90,MUDDANUR,57,0.020121,312,0.002184,106,0.037418,33,0.011649,4,0.017453,39,0.013767
345,Polygon,345,345,345,345,345,345,1238,12,38,ANANTAPUR,MUDIGUBBA,Mudigubba,91,MUDIGUBBA,84,0.029652,1422,0.009954,151,0.053303,24,0.008472,83,0.21023,35,0.012355
346,Polygon,346,346,346,346,346,346,646,6,46,KRISHNA,MUDINEPALLE,Mudinepalle,673,MUDINAPALLE,0,0,40,0.00028,1,0.000353,0,0,0,0,0,0
347,Polygon,347,347,347,347,347,347,1003,10,3,CHITTOOR,MULAKALACHERUVU,Mulakalacheruvu,127,MULAKALACHERUVU,15,0.005295,344,0.002408,46,0.016238,59,0.020827,111,0.549359,21,0.007413
348,Polygon,348,348,348,348,348,348,450,4,50,EAST GODAVARI,MUMMIDIVARAM,Mummidivaram,497,MUMMIDIVARAM,0,0,22,0.000154,0,0,0,0,1,0.000569,0,0
349,Polygon,349,349,349,349,349,349,334,3,34,VISHAKAPATNAM,MUNAGAPAKA,Munagapaka,534,MUNAGAPAKA,2,0.000706,51,0.000357,21,0.007413,10,0.00353,47,0.083299,0,0
350,Polygon,350,350,350,350,350,350,301,3,1,VISHAKAPATNAM,MUNCHINGIPUTTU,Munchingiputtu,459,MUNCHINGIPUTTU,24,0.008472,0,0,0,0,0,0,0,0,0,0
351,Polygon,351,351,351,351,351,351,814,8,14,PRAKASAM,MUNDLAMURU,Mundlamuru,259,MUNDLAMURU,0,0,130,0.00091,52,0.018356,53,0.018709,48,0.485635,53,0.018709
352,Polygon,352,352,352,352,352,352,723,7,23,GUNTUR,MUPPALLA,Muppalla,329,MUPPALLA,0,0,221,0.001547,1,0.000353,0,0,4,0.067833,0,0
353,Polygon,353,353,353,353,353,353,625,6,25,KRISHNA,MUSUNURU,Musunuru,383,MUSUNURU,49,0.017297,167,0.001169,32,0.011296,7,0.002471,106,1.594249,0,0
354,Polygon,354,354,354,354,354,354,929,9,29,NELLORE,MUTHUKUR,Muthukur,228,MUTHUKUR,0,0,0,0,0,0,0,0,0,0,0,0
355,Polygon,355,355,355,355,355,355,1102,11,2,KADAPA,MYLAVARAM1,Mylavaram1,72,MYLAVARAM,3,0.001059,714,0.004998,163,0.057539,5,0.001765,10,0.04466,1,0.000353
356,Polygon,356,356,356,356,356,356,610,6,10,KRISHNA,MYLAVARAM2,Mylavaram2,684,MYLAVARAM (KRISHNA),53,0.018709,161,0.001127,32,0.011296,11,0.003883,69,1.325625,1,0.000353
357,Polygon,357,357,357,357,357,357,738,7,38,GUNTUR,NADENDLA,Nadendla,347,NADENDLA,0,0,416,0.002912,3,0.001059,0,0,4,0.014913,0,0
358,Polygon,358,358,358,358,358,358,1019,10,19,CHITTOOR,NAGALAPURAM,Nagalapuram,148,NAGALAPURAM,1,0.000353,463,0.003241,53,0.018709,9,0.003177,16,0.113828,10,0.00353
359,Polygon,359,359,359,359,359,359,753,7,53,GUNTUR,NAGARAM,Nagaram,394,NAGARAM,0,0,363,0.002541,0,0,0,0,0,0,0,0
360,Polygon,360,360,360,360,360,360,1045,10,45,CHITTOOR,NAGARI,Nagari,199,NAGARI,5,0.001765,991,0.006937,31,0.010943,14,0.004942,30,0.418136,78,0.027534
361,Polygon,361,361,361,361,361,361,635,6,35,KRISHNA,NAGAYALANKA,Nagayalanka,404,NAGAYALANKA,0,0,11,0.000077,0,0,0,0,5,0.03421,0,0
362,Polygon,362,362,362,362,362,362,845,8,45,PRAKASAM,NAGULUPPALAPADU,Naguluppalapadu,333,NAGULUPPALAPADU,4,0.001412,82,0.000574,7,0.002471,6,0.002118,12,0.118092,4,0.001412
363,Polygon,363,363,363,363,363,363,942,9,42,NELLORE,NAIDUPET,Naidupet,269,NAIDUPETA,0,0,110,0.00077,0,0,0,0,2,0.001988,3,0.001059
364,Polygon,364,364,364,364,364,364,339,3,39,VISHAKAPATNAM,NAKKAPALLI,Nakkapalli,662,NAKKAPALLE,18,0.006354,247,0.001729,4,0.001412,8,0.002824,116,0.239861,0,0
365,Polygon,365,365,365,365,365,365,1242,12,42,ANANTAPUR,NALLACHERUVU,Nallacheruvu,84,NALLACHERUVU,24,0.008472,750,0.00525,86,0.030358,72,0.025416,12,0.26709,52,0.018356
366,Polygon,366,366,366,366,366,366,513,5,13,WEST GODAVARI,NALLAJERLA,Nallajerla,388,NALLAJERLA,7,0.002471,1754,0.012278,3,0.001059,0,0,32,0.280961,1,0.000353
367,Polygon,367,367,367,367,367,367,1247,12,47,ANANTAPUR,NALLAMADA,Nallamada,124,NALLAMADA,45,0.015885,709,0.004963,118,0.041654,91,0.032123,121,0.424194,27,0.009531
368,Polygon,368,368,368,368,368,368,1240,12,40,ANANTAPUR,NAMBULIPULIKUNTA,Nambulipulikunta,87,NAMBULIPULIKUNTA,140,0.04942,869,0.006083,106,0.037418,63,0.022239,50,0.55965,8,0.002824
369,Polygon,369,369,369,369,369,369,1140,11,40,KADAPA,NANDALUR,Nandalur,145,NANDALUR,0,0,744,0.005208,43,0.015179,4,0.001412,41,0.639821,10,0.00353
370,Polygon,370,370,370,370,370,370,1304,13,4,KURNOOL,NANDAVARAM,Nandavaram,532,NANDAVARAM,35,0.012355,96,0.000672,94,0.033182,3,0.001059,25,0.095626,1,0.000353
371,Polygon,371,371,371,371,371,371,130,1,30,SRIKAKULAM,NANDIGAM,Nandigam,17,NANDIGAM,7,0.002471,65,0.000455,187,0.066011,45,0.015885,602,0.872538,46,0.016238
372,Polygon,372,372,372,372,372,372,604,6,4,KRISHNA,NANDIGAMA,Nandigama,323,NANDIGAMA,16,0.005648,412,0.002884,10,0.00353,22,0.007766,0,0,3,0.001059
373,Polygon,373,373,373,373,373,373,1308,13,8,KURNOOL,NANDIKOTKUR,Nandikotkur,554,NANDI KOTKUR,19,0.006707,72,0.000504,23,0.008119,8,0.002824,4,0.028615,4,0.001412
374,Polygon,374,374,374,374,374,374,641,6,41,KRISHNA,NANDIVADA,Nandivada,421,NANDIVADA,0,0,25,0.000175,0,0,0,0,15,0.010423,0,0
375,Polygon,375,375,375,375,375,375,1334,13,34,KURNOOL,NANDYAL,Nandyal,34,NANDYAL,9,0.003177,52,0.000364,13,0.004589,0,0,3,0.128253,0,0
376,Polygon,376,376,376,376,376,376,122,1,22,SRIKAKULAM,NARASANNAPETA,Narasannapeta,41,NARASANNAPETA,2,0.000706,183,0.001281,31,0.010943,40,0.01412,20,0.161537,0,0
377,Polygon,377,377,377,377,377,377,545,5,45,WEST GODAVARI,NARASAPURAM,Narasapuram,455,NARASAPURAM,0,0,0,0,0,0,0,0,0,0,0,0
378,Polygon,378,378,378,378,378,378,739,7,39,GUNTUR,NARASARAOPET,Narasaraopet,349,NARASARAOPETA,0,0,372,0.002604,0,0,0,0,17,0.02926,0,0
379,Polygon,379,379,379,379,379,379,1024,10,24,CHITTOOR,NARAYANAVANAM,Narayanavanam,177,NARAYANAVANAM,11,0.003883,801,0.005607,22,0.007766,5,0.001765,30,0.414012,25,0.008825
380,Polygon,380,380,380,380,380,380,1227,12,27,ANANTAPUR,NARPALA,Narpala,58,NARPALA,8,0.002824,854,0.005978,165,0.058245,19,0.006707,96,1.291446,12,0.004236
381,Polygon,381,381,381,381,381,381,317,3,17,VISHAKAPATNAM,NARSIPATNAM,Narsipatnam,495,NARSIPATNAM,4,0.001412,389,0.002723,5,0.001765,3,0.001059,80,0.143537,0,0
382,Polygon,382,382,382,382,382,382,316,3,16,VISHAKAPATNAM,NATHAVARAM,Nathavaram,493,NATHAVARAM,8,0.002824,378,0.002646,46,0.016238,12,0.004236,106,0.22897,2,0.000706
383,Polygon,383,383,383,383,383,383,722,7,22,GUNTUR,NEKARIKALLU,Nekarikallu,676,NAKARIKALLU,49,0.017297,528,0.003696,3,0.001059,6,0.002118,7,0.025946,0,0
384,Polygon,384,384,384,384,384,384,224,2,24,VIZIANAGARAM,NELLIMARLA,Nellimarla,566,NELLIMARLA,8,0.002824,1540,0.01078,117,0.041301,27,0.009531,55,0.314952,3,0.001059
385,Polygon,385,385,385,385,385,385,925,9,25,NELLORE,NELLORE,Nellore,626,NELLORE MANDAL,0,0,93,0.000651,1,0.000353,0,0,39,0.079177,0,0
386,Polygon,386,386,386,386,386,386,517,5,17,WEST GODAVARI,NIDADAVOLE,Nidadavole,402,NIDADAVOLE,0,0,0,0,0,0,0,0,21,0.601724,0,0
387,Polygon,387,387,387,387,387,387,525,5,25,WEST GODAVARI,NIDAMARRU,Nidamarru,432,NIDAMARRU,0,0,0,0,0,0,0,0,3,0.045972,0,0
388,Polygon,388,388,388,388,388,388,1034,10,34,CHITTOOR,NIMMANAPALLE,Nimmanapalle,189,NIMMANAPALLE,4,0.001412,113,0.000791,44,0.015532,8,0.002824,129,0.327422,5,0.001765
389,Polygon,389,389,389,389,389,389,1022,10,22,CHITTOOR,NINDRA,Nindra,137,NINDRA,3,0.001059,968,0.006776,18,0.006354,34,0.012002,40,0.240227,65,0.022945
390,Polygon,390,390,390,390,390,390,754,7,54,GUNTUR,NIZAMPATNAM,Nizampatnam,387,NIZAMPATNAM,0,0,114,0.000798,0,0,0,0,0,0,0,0
391,Polygon,391,391,391,391,391,391,744,7,44,GUNTUR,NUZENDLA,Nuzendla,365,NUZENDLA,0,0,132,0.000924,5,0.001765,6,0.002118,11,0.155354,0,0
392,Polygon,392,392,392,392,392,392,623,6,23,KRISHNA,NUZVID,Nuzvid,364,NUZVID,61,0.021533,284,0.001988,28,0.009884,4,0.001412,95,0.953086,1,0.000353
393,Polygon,393,393,393,393,393,393,1246,12,46,ANANTAPUR,OBULADEVARACHERUVU,Obuladevaracheruvu,126,OBULADEVARACHERUVU,64,0.022592,807,0.005649,126,0.044478,23,0.008119,120,0.422343,28,0.009884
394,Polygon,394,394,394,394,394,394,1144,11,44,KADAPA,OBULAVARIPALLE,Obulavaripalle,179,OBULAVARIPALLE,6,0.002118,489,0.003423,101,0.035653,15,0.005295,65,0.529717,10,0.00353
395,Polygon,395,395,395,395,395,395,937,9,37,NELLORE,OJILI,Ojili,256,OJILI,0,0,127,0.000889,10,0.00353,1,0.000353,0,0,3,0.001059
396,Polygon,396,396,396,396,396,396,844,8,44,PRAKASAM,ONGOLE,Ongole,330,ONGOLE,0,0,252,0.001764,12,0.004236,8,0.002824,5,0.116593,3,0.001059
397,Polygon,397,397,397,397,397,397,1317,13,17,KURNOOL,ORVAKAL,Orvakal,589,ORVAKAL,77,0.027181,203,0.001421,152,0.053656,41,0.014473,9,0.142668,15,0.005295
398,Polygon,398,398,398,398,398,398,1347,13,47,KURNOOL,OWK,Owk,63,OWK,99,0.034947,73,0.000511,47,0.016591,5,0.001765,43,0.29062,4,0.001412
399,Polygon,399,399,399,399,399,399,447,4,47,EAST GODAVARI,P.GANNAVARAM,P.Gannavaram,503,P GANNAVARAM,0,0,32,0.000224,0,0,0,0,0,0,0,0
400,Polygon,400,400,400,400,400,400,212,2,12,VIZIANAGARAM,PACHIPENTA,Pachipenta,545,PACHIPENTA,73,0.025769,17,0.000119,57,0.020121,45,0.015885,0,0,92,0.032476
401,Polygon,401,401,401,401,401,401,310,3,10,VISHAKAPATNAM,PADERU,Paderu,486,PADERU,61,0.021533,0,0,5,0.001765,0,0,0,0,0,0
402,Polygon,402,402,402,402,402,402,326,3,26,VISHAKAPATNAM,PADMANABHAM,Padmanabham,502,PADMANABHAM,22,0.007766,282,0.001974,18,0.006354,16,0.005648,85,0.217724,1,0.000353
403,Polygon,403,403,403,403,403,403,1309,13,9,KURNOOL,PAGIDYALA,Pagidyala,553,PAGIDYALA,0,0,1,0.000007,14,0.004942,1,0.000353,0,0,0,0
404,Polygon,404,404,404,404,404,404,1042,10,42,CHITTOOR,PAKALA,Pakala,182,PAKALA,11,0.003883,477,0.003339,65,0.022945,26,0.009178,116,0.190628,39,0.013767
405,Polygon,405,405,405,405,405,405,537,5,37,WEST GODAVARI,PALACODERU,Palacoderu,454,PALAKODERU,0,0,0,0,0,0,0,0,0,0,0,0
406,Polygon,406,406,406,406,406,406,543,5,43,WEST GODAVARI,PALACOLE,Palacole,460,PALACOLE,0,0,0,0,0,0,0,0,0,0,0,0
407,Polygon,407,407,407,407,407,407,112,1,12,SRIKAKULAM,PALAKONDA,Palakonda,604,PALAKONDA,2,0.000706,99,0.000693,70,0.02471,19,0.006707,44,0.122876,2,0.000706
408,Polygon,408,408,408,408,408,408,1058,10,58,CHITTOOR,PALAMANER,Palamaner,208,PALAMANER,4,0.001412,432,0.003024,42,0.014826,14,0.004942,58,0.496483,0,0
409,Polygon,409,409,409,409,409,409,132,1,32,SRIKAKULAM,PALASA,Palasa,74,PALASA,19,0.006707,65,0.000455,131,0.046243,41,0.014473,230,0.337354,25,0.008825
410,Polygon,410,410,410,410,410,410,1048,10,48,CHITTOOR,PALASAMUDRAM,Palasamudram,196,PALASAMUDRAM,18,0.006354,453,0.003171,87,0.030711,40,0.01412,49,0.297835,8,0.002824
411,Polygon,411,411,411,411,411,411,445,4,45,EAST GODAVARI,PAMARRU1,Pamarru1,634,PAMARRU (EAST GODAVARI),0,0,9,0.000063,0,0,0,0,0,0,0,0
