West Godavari,ELURU,0,0,53,0.000371,1,0.000353,0,0,10,0.038528,0,0
Srikakulam,ETCHERLA,4,0.001412,207,0.001449,85,0.030005,38,0.013414,209,0.145909,32,0.011296
Visakhapatnam,GUDEM KOTHAVEEDHI,90,0.03177,0,0,1,0.000353,0,0,0,0,0,0
Visakhapatnam,GANGARAJU MADUGULA,45,0.015885,0,0,0,0,0,0,100,0.109938,0,0
Krishna,G KONDURU,98,0.034594,436,0.003052,16,0.005648,6,0.002118,44,0.642664,10,0.00353
Kurnool,GADIVEMULA,31,0.010943,47,0.000329,19,0.006707,0,0,3,0.174264,1,0.000353
Vizianagaram,GAJAPATHINAGARAM,9,0.003177,1892,0.013244,181,0.063893,23,0.008119,154,0.267997,9,0.003177
Visakhapatnam,GAJUWAKA,9,0.003177,8,0.000056,0,0,0,0,5,0.004825,0,0
Kadapa,GALIVEEDU,8,0.002824,584,0.004088,108,0.038124,87,0.030711,330,0.946753,39,0.013767
Krishna,GAMPALAGUDEM,11,0.003883,572,0.004004,42,0.014826,15,0.005295,11,0.059818,5,0.001765
West Godavari,GANAPAVARAM,0,0,0,0,0,0,0,0,0,0,0,0
East Godavari,GANDEPALLE,19,0.006707,524,0.003668,14,0.004942,14,0.004942,101,0.213099,0,0
Anantapur,GANDLAPENTA,40,0.01412,722,0.005054,95,0.033535,21,0.007413,101,0.153443,60,0.02118
Chittoor,GANGADHARA NELLORE,6,0.002118,702,0.004914,64,0.022592,63,0.022239,136,0.399947,19,0.006707
Chittoor,GANGAVARAM,3,0.001059,467,0.003269,32,0.011296,58,0.020474,171,0.544345,23,0.008119
East Godavari,GANGAVARAM (EAST GODAVARI),192,0.067776,2,0.000014,17,0.006001,2,0.000706,102,0.193852,13,0.004589
Srikakulam,GANGUVARI SINGADAM,1,0.000353,180,0.00126,142,0.050126,4,0.001412,447,0.64839,8,0.002824
Krishna,GANNAVARAM,25,0.008825,214,0.001498,3,0.001059,6,0.002118,33,1.550762,0,0
Vizianagaram,GANTYADA,3,0.001059,984,0.006888,158,0.055774,36,0.012708,265,0.87281,14,0.004942
Srikakulam,GARA,1,0.000353,96,0.000672,32,0.011296,11,0.003883,182,0.308308,3,0.001059
Vizianagaram,GARIVIDI,13,0.004589,1464,0.010248,325,0.114725,25,0.008825,192,0.648181,12,0.004236
Anantapur,GARLADINNE,20,0.00706,653,0.004571,184,0.064952,14,0.004942,4,0.091685,28,0.009884
Vizianagaram,GARUGUBILLI,0,0,560,0.00392,2,0.000706,9,0.003177,53,0.149022,0,0
Krishna,GHANTASALA,0,0,27,0.000189,0,0,0,0,0,0,0,0
Prakasam,GIDDALURU,117,0.041301,856,0.005992,97,0.034241,52,0.018356,41,0.356596,44,0.015532
East Godavari,GOKAVARAM,71,0.025063,663,0.004641,20,0.00706,0,0,109,0.025989,2,0.000706
East Godavari,GOLLAPROLU,0,0,333,0.002331,22,0.007766,0,0,28,0.055538,0,0
Visakhapatnam,GOLUGONDA,12,0.004236,403,0.002821,76,0.026828,21,0.007413,110,0.205914,0,0
Kurnool,GONEGANDLA,40,0.01412,288,0.002016,51,0.018003,3,0.001059,2,0.005063,4,0.001412
Anantapur,GOOTY,13,0.004589,1064,0.007448,200,0.0706,16,0.005648,56,1.101763,27,0.009531
