dmcode,dcode91,mcode91,DNAME,DMNAME,MANDAL_,loctn_d,dsply_n,RWHS_C,RWHS_Cap,fp,fp_cap,cd,cd_cap,others,others_cap,miTank,MITANK_CAP,PT,PT_CAP
838,8,38,Prakasam,CHANDRASEKHARA PURAM,Chandrasekhara Puram,299,CHADRASEKARAPURAM,53,0.018709,414,0.002898,91,0.032123,102,0.036006,45,0.246228,69,0.024357
1114,11,14,Kadapa,CHAPAD,Chapad,96,CHAPAD,1,0.000353,206,0.001442,16,0.005648,0,0,0,0,0,0
624,6,24,Krishna,CHATRAI,Chatrai,380,CHATRAI,3,0.001059,320,0.00224,29,0.010237,25,0.008825,110,2.10003,4,0.001412
734,7,34,Guntur,CHEBROLU,Chebrolu,355,CHEBROLE,0,0,398,0.002786,0,0,0,0,0,0,0,0
308,3,8,Visakhapatnam,CHEEDIKADA,Cheedikada,471,CHEEDIKADA,13,0.004589,250,0.00175,13,0.004589,3,0.001059,180,0.493193,3,0.001059
223,2,23,Vizianagaram,CHEEPURUPALLE,Cheepurupalle,576,CHEEPURUPALLE,0,0,1451,0.010157,400,0.1412,6,0.002118,136,0.277941,11,0.003883
920,9,20,Nellore,CHEJERLA,Chejerla,230,CHEJERLA,0,0,219,0.001533,0,0,1,0.000353,36,0.074254,8,0.002824
1236,12,36,Anantapur,CHENNEKOTHAPALLE,Chennekothapalle,95,CHENNE KOTHAPALLE,115,0.040595,1208,0.008456,113,0.039889,19,0.006707,50,0.718206,26,0.009178
1127,11,27,Kadapa,CHENNUR2,Chennur2,120,CHENNUR,2,0.000706,10,0.00007,10,0.00353,2,0.000706,16,0.07847,2,0.000706
750,7,50,Guntur,CHERUKUPALLE,Cherukupalle,395,CHERUKUPALLE,0,0,631,0.004417,0,0,0,0,0,0,0,0
745,7,45,Guntur,CHILAKALURIPET,Chilakaluripet,381,CHILAKALURIPET,0,0,607,0.004249,1,0.000353,2,0.000706,1,0.003309,0,0
1255,12,55,Anantapur,CHILAMATHUR,Chilamathur,163,CHILAMATHUR,32,0.011296,813,0.005691,157,0.055421,61,0.021533,93,0.906716,138,0.048714
938,9,38,Nellore,CHILLAKUR,Chillakur,250,CHILLAKUR,0,0,130,0.00091,5,0.001765,0,0,6,0.009526,3,0.001059
829,8,29,Prakasam,CHIMAKURTHI,Chimakurthi,273,CHIMAKURTHI,0,0,522,0.003654,52,0.018356,3,0.001059,22,0.3063,5,0.001765
846,8,46,Prakasam,CHINAGANJAM,Chinaganjam,325,CHINAGANJAM,0,0,59,0.000413,6,0.002118,1,0.000353,2,0.028366,0,0
1029,10,29,Chittoor,CHINNAGOTTIGALLU,Chinnagottigallu,171,CHINNAGOTTIGALLU,14,0.004942,216,0.001512,59,0.020827,64,0.022592,241,0.198145,40,0.01412
1148,11,48,Kadapa,CHINNAMANDEM,Chinnamandem,173,CHINNAMANDEM,4,0.001412,238,0.001666,184,0.064952,56,0.019768,164,0.20725,74,0.026122
509,5,9,West Godavari,CHINTALAPUDI,Chintalapudi,368,CHINTALAPUDI,81,0.028593,424,0.002968,40,0.01412,5,0.001765,110,0.770226,0,0
312,3,12,Visakhapatnam,CHINTAPALLE,Chintapalle,482,CHINTAPALLE,97,0.034241,0,0,4,0.001412,0,0,44,0.112475,0,0
1132,11,32,Kadapa,CHINTHAKOMMADINNE,Chinthakommadinne,108,CHINTHA KOMMADINNE,18,0.006354,284,0.001988,33,0.011649,9,0.003177,27,0.076034,2,0.000706
463,4,63,East Godavari,CHINTUR,Chintur,582,CHINTUR,0,0,74,0.000518,0,0,0,0,41,0.04016,1,0.000353
1353,13,53,Kurnool,CHIPPAGIRI,Chippagiri,105,CHIPPAGIRI,20,0.00706,148,0.001036,37,0.013061,41,0.014473,1,0.054353,1,0.000353
823,8,23,Prakasam,CHIRALA,Chirala,286,CHIRALA,0,0,17,0.000119,0,0,0,0,1,0.054223,0,0
941,9,41,Nellore,CHITTAMUR,Chittamur,267,CHITTAMUR,0,0,26,0.000182,0,0,1,0.000353,5,0.006555,64,0.022592
1054,10,54,Chittoor,CHITTOOR,Chittoor,623,CHITTOOR MANDAL,12,0.004236,586,0.004102,55,0.019415,9,0.003177,94,0.250819,23,0.008119
1142,11,42,Kadapa,CHITVEL,Chitvel,140,CHITVEL,3,0.001059,329,0.002303,107,0.037771,4,0.001412,38,0.716249,28,0.009884
321,3,21,Visakhapatnam,CHODAVARAM,Chodavaram,509,CHODAVARAM,21,0.007413,338,0.002366,19,0.006707,2,0.000706,82,0.257314,1,0.000353
1038,10,38,Chittoor,CHOWDEPALLE,Chowdepalle,186,CHOWDEPALLE,5,0.001765,584,0.004088,69,0.024357,78,0.027534,264,0.916593,40,0.01412
834,8,34,Prakasam,CUMBUM,Cumbum,307,CUMBUM,7,0.002471,298,0.002086,47,0.016591,30,0.01059,10,0.08899,11,0.003883
